Batch	m_SP	4	N7a_L	T1a_L	T4a_L	N1a_L					
5.394004e-12	9.789536405356e-06	0.1	5.394004e-12	1.69310031e-16	0.1	5.394004e-12	2.1026707199999998e-07	0.1	5.394004e-12	2.8824692939999998e-33	0.1
1.200529e-11	9.537943337317998e-06	0.1	1.200529e-11	3.7190549e-16	0.1	1.200529e-11	4.6186541500000004e-07	0.1	1.200529e-11	1.3954514198e-32	0.1
2.490892e-11	9.0656555932618e-06	0.1	2.490892e-11	7.5222513e-16	0.1	2.490892e-11	9.34162113e-07	0.1	2.490892e-11	5.744701506e-32	0.1
4.784872e-11	8.283839789890597e-06	0.1	4.784872e-11	1.3818086600000001e-15	0.1	4.784872e-11	1.71599305e-06	0.1	4.784872e-11	1.9593525566e-31	0.1
7.955591e-11	7.3143367303396e-06	0.1	7.955591e-11	2.16249059e-15	0.1	7.955591e-11	2.6855143999999997e-06	0.1	7.955591e-11	4.866022608e-31	0.1
1.233929e-10	6.1598559704166e-06	0.1	1.233929e-10	3.09192775e-15	0.1	1.233929e-10	3.84001639e-06	0.1	1.233929e-10	1.0125501825000001e-30	0.1
1.672298e-10	5.1891186355516005e-06	0.1	1.672298e-10	3.8731179000000005e-15	0.1	1.672298e-10	4.8107724000000004e-06	0.1	1.672298e-10	1.6145243653e-30	0.1
2.320953e-10	4.0278670510478e-06	0.1	2.320953e-10	4.8069588000000005e-15	0.1	2.320953e-10	5.9720454e-06	0.1	2.320953e-10	2.539540121e-30	0.1
2.969607e-10	3.12770242570038e-06	0.1	2.969607e-10	5.5300663999999994e-15	0.1	2.969607e-10	6.87222613e-06	0.1	2.969607e-10	3.42183483e-30	0.1
3.618262e-10	2.4294087158539e-06	0.1	3.618262e-10	6.090310099999999e-15	0.1	3.618262e-10	7.5705342300000005e-06	0.1	3.618262e-10	4.2140867490000004e-30	0.1
4.266917e-10	1.88741767889144e-06	0.1	4.266917e-10	6.5245538e-15	0.1	4.266917e-10	8.11253646e-06	0.1	4.266917e-10	4.899283949e-30	0.1
4.915571e-10	1.4665724239648799e-06	0.1	4.915571e-10	6.861242300000001e-15	0.1	4.915571e-10	8.53338873e-06	0.1	4.915571e-10	5.4770903e-30	0.1
5.564226e-10	1.13969794758516e-06	0.1	5.564226e-10	7.1223555e-15	0.1	5.564226e-10	8.86026987e-06	0.1	5.564226e-10	5.955648598e-30	0.1
6.21288e-10	8.857543287591161e-07	0.1	6.21288e-10	7.3248966e-15	0.1	6.21288e-10	9.11421822e-06	0.1	6.21288e-10	6.346772309e-30	0.1
6.861535e-10	6.88437890666806e-07	0.1	6.861535e-10	7.4820262e-15	0.1	6.861535e-10	9.31153773e-06	0.1	6.861535e-10	6.663221952e-30	0.1
7.615548e-10	5.13646867557186e-07	0.1	7.615548e-10	7.6209815e-15	0.1	7.615548e-10	9.48633316e-06	0.1	7.615548e-10	6.953391948e-30	0.1
8.395901e-10	3.7935191870988205e-07	0.1	8.395901e-10	7.7275469e-15	0.1	8.395901e-10	9.620629929999999e-06	0.1	8.395901e-10	7.183088504e-30	0.1
9.176254e-10	2.8017884484102944e-07	0.1	9.176254e-10	7.8060931e-15	0.1	9.176254e-10	9.719805059999999e-06	0.1	9.176254e-10	7.356756611e-30	0.1
9.956607e-10	2.0693772643269461e-07	0.1	9.956607e-10	7.8639928e-15	0.1	9.956607e-10	9.793047350000002e-06	0.1	9.956607e-10	7.487355055e-30	0.1
1.089707e-09	1.436327294079576e-07	0.1	1.089707e-09	7.9139382e-15	0.1	1.089707e-09	9.85635308e-06	0.1	1.089707e-09	7.601909826000001e-30	0.1
