	T[K]	P2	P5
600 0.00168 0.99663
700 0.00218 0.99617
800 0.00352 0.99098
900 0.00687 0.99155
1000 0.01581 0.98263
1100 0.03475 0.96371
1200 0.06917 0.92931
1300 0.12258 0.87591
1400 0.18970 0.80881
1500 0.26671 0.73181
1600 0.34249 0.65604
1700 0.41195 0.58660
1800 0.47025 0.52830
1900 0.51027 0.48829
2000 0.54027 0.45830
2100 0.55514 0.44343
2200 0.56474 0.43346
2300 0.56654 0.43166
2400 0.56212 0.43608
2500 0.55852 0.43968
