	T[K]	P2	P5
600 0.00705 0.99124
700 0.02527 0.97305
800 0.07127 0.92708
900 0.15327 0.84512
1000 0.25954 0.73890
1100 0.37288 0.62544
1200 0.47440 0.52412
1300 0.56122 0.43735
1400 0.62023 0.37841
1500 0.65349 0.34520
1600 0.67278 0.32597
1700 0.67305 0.32576
1800 0.66474 0.33005
1900 0.65422 0.34067
2000 0.64516 0.34983
2100 0.62884 0.36623
2200 0.61541 0.37928
2300 0.59796 0.39680
2400 0.58281 0.41203
2500 0.56773 0.42759
