	T[K]	P2	P5
600 0.00409 0.99149
700 0.00412 0.99149
800 0.00402 0.99181
900 0.00394 0.99193
1000 0.00462 0.99130
1100 0.00723 0.98875
1200 0.01247 0.98357
1300 0.02431 0.97145
1400 0.04387 0.95197
1500 0.07432 0.92156
1600 0.11656 0.87939
1700 0.16875 0.82730
1800 0.22647 0.76964
1900 0.28665 0.70957
2000 0.34053 0.65577
2100 0.38837 0.60802
2200 0.42717 0.56930
2300 0.45622 0.54031
2400 0.47699 0.51957
2500 0.48953 0.50708
