	T[K]	P2	P5
600 0.03993 0.95712
700 0.11155 0.88522
800 0.22065 0.77572
900 0.34401 0.65230
1000 0.46470 0.53163
1100 0.56701 0.42939
1200 0.63851 0.35825
1300 0.68388 0.31291
1400 0.71073 0.28606
1500 0.71205 0.28475
1600 0.70685 0.28994
1700 0.69462 0.30216
1800 0.67868 0.31809
1900 0.66354 0.33323
2000 0.65012 0.34664
2100 0.62981 0.36661
2200 0.61654 0.37986
2300 0.59900 0.39740
2400 0.58372 0.41267
2500 0.56835 0.42803
