# T[K]         W1         Pr2         Pr3         Pr1         sum_k_Pr_i
3.00e+02	2.92e-16	6.79e-27	7.54e-36	2.94e-16	2.92e-16
4.00e+02	2.12e-10	8.41e-19	3.06e-24	2.12e-10	2.12e-10
5.00e+02	1.12e-06	1.57e-13	4.50e-17	1.12e-06	1.12e-06
6.00e+02	4.44e-04	6.25e-10	3.02e-12	4.44e-04	4.44e-04
7.00e+02	3.95e-02	3.11e-07	9.65e-09	3.95e-02	3.95e-02
8.00e+02	1.30e+00	4.15e-05	4.65e-06	1.30e+00	1.30e+00
9.00e+02	2.12e+01	2.24e-03	6.22e-04	2.12e+01	2.12e+01
1.00e+03	2.12e+02	6.29e-02	3.37e-02	2.12e+02	2.12e+02
1.10e+03	1.46e+03	1.06e+00	9.27e-01	1.46e+03	1.46e+03
1.20e+03	7.54e+03	1.21e+01	1.51e+01	7.56e+03	7.56e+03
1.30e+03	3.10e+04	9.83e+01	1.63e+02	3.13e+04	3.13e+04
1.40e+03	1.06e+05	6.11e+02	1.26e+03	1.08e+05	1.08e+05
1.50e+03	3.12e+05	3.01e+03	7.35e+03	3.22e+05	3.22e+05
1.60e+03	8.04e+05	1.23e+04	3.44e+04	8.51e+05	8.51e+05
1.70e+03	1.85e+06	4.21e+04	1.33e+05	2.02e+06	2.02e+06
1.80e+03	3.86e+06	1.26e+05	4.37e+05	4.42e+06	4.42e+06
1.90e+03	7.36e+06	3.32e+05	1.26e+06	8.95e+06	8.95e+06
2.00e+03	1.30e+07	7.89e+05	3.22e+06	1.70e+07	1.70e+07
2.10e+03	2.15e+07	1.71e+06	7.50e+06	3.07e+07	3.07e+07
2.20e+03	3.34e+07	3.44e+06	1.60e+07	5.28e+07	5.28e+07
2.30e+03	4.90e+07	6.44e+06	3.16e+07	8.71e+07	8.71e+07
2.40e+03	6.87e+07	1.14e+07	5.88e+07	1.39e+08	1.39e+08
2.50e+03	9.22e+07	1.90e+07	1.03e+08	2.14e+08	2.14e+08
