Batch	m_SP	2	Pr2	Pr1	
0.000000000000e+00	9.999900000000e-06	1.000000000000e-01	0.000000000000e+00	0.000000000000e+00	1.000000000000e-01
2.003000000000e-01	9.999900000000e-06	1.000000000000e-01	2.003000000000e-01	6.879673000000e-18	1.000000000000e-01
8.950614000000e+01	9.999899000010e-06	1.000000000000e-01	8.950614000000e+01	2.136455000000e-13	1.000000000000e-01
3.055751000000e+02	9.999898000020e-06	1.000000000000e-01	3.055751000000e+02	1.280807000000e-12	1.000000000000e-01
8.812565000000e+02	9.999894000060e-06	1.000000000000e-01	8.812565000000e+02	4.502317000000e-12	1.000000000000e-01
6.794020000000e+03	9.999861000390e-06	1.000000000000e-01	6.794020000000e+03	3.790190000000e-11	1.000000000000e-01
1.163821000000e+04	9.999833000670e-06	1.000000000000e-01	1.163821000000e+04	6.535354000000e-11	1.000000000000e-01
2.859287000000e+04	9.999737001630e-06	1.000000000000e-01	2.859287000000e+04	1.614936000000e-10	1.000000000000e-01
8.187893000000e+04	9.999435004650e-06	1.000000000000e-01	8.187893000000e+04	4.636475000000e-10	1.000000000000e-01
2.175162000000e+05	9.998666012340e-06	1.000000000000e-01	2.175162000000e+05	1.232725000000e-09	1.000000000000e-01
5.275442000000e+05	9.996908029920e-06	1.000000000000e-01	5.275442000000e+05	2.990377000000e-09	1.000000000000e-01
1.225107000000e+06	9.992955069450e-06	1.000000000000e-01	1.225107000000e+06	6.943753000000e-09	1.000000000000e-01
2.620233000000e+06	9.985055148450e-06	1.000000000000e-01	2.620233000000e+06	1.484386000000e-08	1.000000000000e-01
5.410486000000e+06	9.969290306100e-06	1.000000000000e-01	5.410486000000e+06	3.060887000000e-08	1.000000000000e-01
9.407887000000e+06	9.946818536118e-06	1.000000000000e-01	9.407887000000e+06	5.307922000000e-08	1.000000000000e-01
1.612202000000e+07	9.909524912787e-06	1.000000000000e-01	1.612202000000e+07	9.037381000000e-08	1.000000000000e-01
2.638871000000e+07	9.854084472742e-06	1.000000000000e-01	2.638871000000e+07	1.458142000000e-07	1.000000000000e-01
3.860837000000e+07	9.791573124935e-06	1.000000000000e-01	3.860837000000e+07	2.083257000000e-07	1.000000000000e-01
5.333184000000e+07	9.722658855582e-06	1.000000000000e-01	5.333184000000e+07	2.772395000000e-07	1.000000000000e-01
6.805531000000e+07	9.661806482368e-06	1.000000000000e-01	6.805531000000e+07	3.380923000000e-07	1.000000000000e-01
8.277878000000e+07	9.609427060919e-06	1.000000000000e-01	8.277878000000e+07	3.904708000000e-07	1.000000000000e-01
9.659974000000e+07	9.567801493830e-06	1.000000000000e-01	9.659974000000e+07	4.320968000000e-07	1.000000000000e-01
1.109719000000e+08	9.531704916047e-06	1.000000000000e-01	1.109719000000e+08	4.681935000000e-07	1.000000000000e-01
1.284512000000e+08	9.496533285354e-06	1.000000000000e-01	1.284512000000e+08	5.033649000000e-07	1.000000000000e-01
1.441827000000e+08	9.471823544808e-06	1.000000000000e-01	1.441827000000e+08	5.280748000000e-07	1.000000000000e-01
1.529223000000e+08	9.460492663784e-06	1.000000000000e-01	1.529223000000e+08	5.394055000000e-07	1.000000000000e-01
1.616620000000e+08	9.450638767251e-06	1.000000000000e-01	1.616620000000e+08	5.492602000000e-07	1.000000000000e-01
1.708161000000e+08	9.441711916793e-06	1.000000000000e-01	1.708161000000e+08	5.581857000000e-07	1.000000000000e-01
1.816278000000e+08	9.432770011578e-06	1.000000000000e-01	1.816278000000e+08	5.671281000000e-07	1.000000000000e-01
1.974825000000e+08	9.422271122867e-06	1.000000000000e-01	1.974825000000e+08	5.776272000000e-07	1.000000000000e-01
2.158949000000e+08	9.413160219444e-06	1.000000000000e-01	2.158949000000e+08	5.867380000000e-07	1.000000000000e-01
2.360126000000e+08	9.406024295086e-06	1.000000000000e-01	2.360126000000e+08	5.938738000000e-07	1.000000000000e-01
2.561302000000e+08	9.401008348255e-06	1.000000000000e-01	2.561302000000e+08	5.988897000000e-07	1.000000000000e-01
2.771705000000e+08	9.397360386924e-06	1.000000000000e-01	2.771705000000e+08	6.025381000000e-07	1.000000000000e-01
3.019010000000e+08	9.394498417261e-06	1.000000000000e-01	3.019010000000e+08	6.053992000000e-07	1.000000000000e-01
3.266315000000e+08	9.392659436755e-06	1.000000000000e-01	3.266315000000e+08	6.072390000000e-07	1.000000000000e-01
3.524756000000e+08	9.391436449718e-06	1.000000000000e-01	3.524756000000e+08	6.084621000000e-07	1.000000000000e-01
3.827740000000e+08	9.390566458940e-06	1.000000000000e-01	3.827740000000e+08	6.093314000000e-07	1.000000000000e-01
4.155840000000e+08	9.390031464611e-06	1.000000000000e-01	4.155840000000e+08	6.098665000000e-07	1.000000000000e-01
4.521614000000e+08	9.389711468003e-06	1.000000000000e-01	4.521614000000e+08	6.101872000000e-07	1.000000000000e-01
