	T[K]	N7a	N7b	N7c
700 0.02601 0.10969 0.86270
800 0.03259 0.12374 0.84219
900 0.03843 0.13510 0.82507
1000 0.04347 0.14421 0.81046
1100 0.04782 0.15175 0.79902
1200 0.05152 0.15779 0.78930
1300 0.05468 0.16263 0.78131
1400 0.05740 0.16647 0.77464
1500 0.05982 0.16955 0.76929
1600 0.06196 0.17191 0.76469
1700 0.06387 0.17362 0.76042
1800 0.06572 0.17513 0.75781
1900 0.06738 0.17607 0.75478
2000 0.06892 0.17669 0.75196
