Batch	m_SP	2	W1	Pr2	
5.234839000000e+33	9.837629000000e-01	1.000000000000e-01	5.234839000000e+33	8.118566000000e-03	1.000000000000e-01
9.920586000000e+33	9.695611000000e-01	1.000000000000e-01	9.920586000000e+33	1.521944000000e-02	1.000000000000e-01
1.812064000000e+34	9.454334000000e-01	1.000000000000e-01	1.812064000000e+34	2.728328000000e-02	1.000000000000e-01
3.201424000000e+34	9.065412000000e-01	1.000000000000e-01	3.201424000000e+34	4.672942000000e-02	1.000000000000e-01
5.462475000000e+34	8.481106000000e-01	1.000000000000e-01	5.462475000000e+34	7.594470000000e-02	1.000000000000e-01
9.602415000000e+34	7.544720000000e-01	1.000000000000e-01	9.602415000000e+34	1.227640000000e-01	1.000000000000e-01
1.465003000000e+35	6.591030000000e-01	1.000000000000e-01	1.465003000000e+35	1.704485000000e-01	1.000000000000e-01
2.105915000000e+35	5.606370000000e-01	1.000000000000e-01	2.105915000000e+35	2.196815000000e-01	1.000000000000e-01
2.746826000000e+35	4.811472000000e-01	1.000000000000e-01	2.746826000000e+35	2.594264000000e-01	1.000000000000e-01
3.387738000000e+35	4.159316000000e-01	1.000000000000e-01	3.387738000000e+35	2.920342000000e-01	1.000000000000e-01
4.028650000000e+35	3.617142000000e-01	1.000000000000e-01	4.028650000000e+35	3.191429000000e-01	1.000000000000e-01
4.747783000000e+35	3.110830000000e-01	1.000000000000e-01	4.747783000000e+35	3.444585000000e-01	1.000000000000e-01
5.519063000000e+35	2.661621000000e-01	1.000000000000e-01	5.519063000000e+35	3.669189000000e-01	1.000000000000e-01
6.290343000000e+35	2.288602000000e-01	1.000000000000e-01	6.290343000000e+35	3.855699000000e-01	1.000000000000e-01
7.061623000000e+35	1.976019000000e-01	1.000000000000e-01	7.061623000000e+35	4.011990000000e-01	1.000000000000e-01
7.832903000000e+35	1.712078000000e-01	1.000000000000e-01	7.832903000000e+35	4.143961000000e-01	1.000000000000e-01
8.604183000000e+35	1.487771000000e-01	1.000000000000e-01	8.604183000000e+35	4.256114000000e-01	1.000000000000e-01
9.375463000000e+35	1.296104000000e-01	1.000000000000e-01	9.375463000000e+35	4.351948000000e-01	1.000000000000e-01
