Batch	m_SP	5	T4a_L	C5H5	T1a_L	N1a_L	N7a_L							
1.831902e-06	0.97775775	0.1	1.831902e-06	0.001698053	0.1	1.831902e-06	0.005891515999999999	0.1	1.831902e-06	6.371531229999999e-06	0.1	1.831902e-06	0.00039006835000000004	0.1
1.969279e-06	0.97706541	0.1	1.969279e-06	0.001839034	0.1	1.969279e-06	0.0063847758999999995	0.1	1.969279e-06	6.8984719e-06	0.1	1.969279e-06	0.00042250345	0.1
2.118682e-06	0.97631347	0.1	2.118682e-06	0.001992246	0.1	2.118682e-06	0.0069208298	0.1	2.118682e-06	7.4711307e-06	0.1	2.118682e-06	0.00045775256999999996	0.1
2.286123e-06	0.9754716	0.1	2.286123e-06	0.002163817	0.1	2.286123e-06	0.007521119500000001	0.1	2.286123e-06	8.1124064e-06	0.1	2.286123e-06	0.00049722554	0.1
2.48906e-06	0.97445234	0.1	2.48906e-06	0.00237156	0.1	2.48906e-06	0.008247967299999999	0.1	2.48906e-06	8.8888831e-06	0.1	2.48906e-06	0.00054502067	0.1
2.72277e-06	0.9732801	0.1	2.72277e-06	0.002610532	0.1	2.72277e-06	0.0090840772	0.1	2.72277e-06	9.7820802e-06	0.1	2.72277e-06	0.00060000037	0.1
2.993664e-06	0.97192323	0.1	2.993664e-06	0.002887155	0.1	2.993664e-06	0.0100519255	0.1	2.993664e-06	1.0816007700000002e-05	0.1	2.993664e-06	0.0006636424999999999	0.1
3.331231e-06	0.9702354799999999	0.1	3.331231e-06	0.003231302	0.1	3.331231e-06	0.0112560243	0.1	3.331231e-06	1.2102315799999998e-05	0.1	3.331231e-06	0.00074281979	0.1
3.784672e-06	0.96797381	0.1	3.784672e-06	0.003692597	0.1	3.784672e-06	0.0128700016	0.1	3.784672e-06	1.38264779e-05	0.1	3.784672e-06	0.0008489490999999999	0.1
4.380483e-06	0.9650105499999999	0.1	4.380483e-06	0.004296996	0.1	4.380483e-06	0.0149846765	0.1	4.380483e-06	1.60855226e-05	0.1	4.380483e-06	0.00098800244	0.1
5.146397e-06	0.96121675	0.1	5.146397e-06	0.005071037	0.1	5.146397e-06	0.017692895800000004	0.1	5.146397e-06	1.89786292e-05	0.1	5.146397e-06	0.00116608476	0.1
6.393376e-06	0.9550761699999999	0.1	6.393376e-06	0.006324175	0.1	6.393376e-06	0.022077390199999998	0.1	6.393376e-06	2.36624372e-05	0.1	6.393376e-06	0.00145439262	0.1
7.640355e-06	0.9489798500000001	0.1	7.640355e-06	0.007568495	0.1	7.640355e-06	0.026431034800000003	0.1	7.640355e-06	2.83132793e-05	0.1	7.640355e-06	0.0017406714200000001	0.1
8.939353e-06	0.9426764199999998	0.1	8.939353e-06	0.008855319	0.1	8.939353e-06	0.030933398000000004	0.1	8.939353e-06	3.3122981e-05	0.1	8.939353e-06	0.0020367301	0.1
1.044643e-05	0.93542285	0.1	1.044643e-05	0.01033626	0.1	1.044643e-05	0.036114942	0.1	1.044643e-05	3.86582308e-05	0.1	1.044643e-05	0.0023774481000000004	0.1
1.19535e-05	0.9282327300000002	0.1	1.19535e-05	0.01180436	0.1	1.19535e-05	0.041251557	0.1	1.19535e-05	4.41454625e-05	0.1	1.19535e-05	0.0027152122	0.1
1.36415e-05	0.92025408	0.1	1.36415e-05	0.01343355	0.1	1.36415e-05	0.046951817	0.1	1.36415e-05	5.02348263e-05	0.1	1.36415e-05	0.0030900389	0.1
1.545011e-05	0.91179204	0.1	1.545011e-05	0.01516155	0.1	1.545011e-05	0.052997801	0.1	1.545011e-05	5.66935104e-05	0.1	1.545011e-05	0.0034875991	0.1
1.74101e-05	0.90272121	0.1	1.74101e-05	0.01701386	0.1	1.74101e-05	0.059478684000000004	0.1	1.74101e-05	6.3616762e-05	0.1	1.74101e-05	0.0039137558999999995	0.1
1.959716e-05	0.89272058	0.1	1.959716e-05	0.0190561	0.1	1.959716e-05	0.066624142	0.1	1.959716e-05	7.1249964e-05	0.1	1.959716e-05	0.0043836134999999995	0.1
2.198151e-05	0.8819607599999999	0.1	2.198151e-05	0.02125338	0.1	2.198151e-05	0.074312054	0.1	2.198151e-05	7.9462638e-05	0.1	2.198151e-05	0.0048891392999999995	0.1
2.466181e-05	0.87004055	0.1	2.466181e-05	0.02368762	0.1	2.466181e-05	0.082829036	0.1	2.466181e-05	8.856098699999999e-05	0.1	2.466181e-05	0.0054491826	0.1
2.771769e-05	0.85667222	0.1	2.771769e-05	0.02641763	0.1	2.771769e-05	0.092380861	0.1	2.771769e-05	9.8764806e-05	0.1	2.771769e-05	0.0060772735999999996	0.1
