Batch	m_SP	13	W5	W1	W2	W3	W4	W6	R	P1	P2	P3	P4	P5	P6																							
1.792923e-06	0.9832465	0.1	1.792923e-06	0.0001780254	0.1	1.792923e-06	2.866194e-17	0.1	1.792923e-06	1.37916e-16	0.1	1.792923e-06	0.01657545	0.1	1.792923e-06	8.088852e-12	0.1	1.792923e-06	2.312604e-15	0.1	1.792923e-06	1.095354e-12	0.1	1.792923e-06	2.688964e-13	0.1	1.792923e-06	3.352378e-15	0.1	1.792923e-06	8.808737e-25	0.1	1.792923e-06	3.800397e-16	0.1	1.792923e-06	4.428057e-27	0.1
2.804851e-06	0.9740789	0.1	2.804851e-06	0.0002645571	0.1	2.804851e-06	6.96143e-17	0.1	2.804851e-06	3.25723e-16	0.1	2.804851e-06	0.02565659	0.1	2.804851e-06	1.265591e-11	0.1	2.804851e-06	3.617422e-15	0.1	2.804851e-06	1.713378e-12	0.1	2.804851e-06	4.206036e-13	0.1	2.804851e-06	5.243856e-15	0.1	2.804851e-06	1.45657e-24	0.1	2.804851e-06	5.944519e-16	0.1	2.804851e-06	6.926497e-27	0.1
3.871527e-06	0.9646338	0.1	3.871527e-06	0.0003474641	0.1	3.871527e-06	1.315789e-16	0.1	3.871527e-06	5.99176e-16	0.1	3.871527e-06	0.03501877	0.1	3.871527e-06	1.747077e-11	0.1	3.871527e-06	4.992359e-15	0.1	3.871527e-06	2.364615e-12	0.1	3.871527e-06	5.804559e-13	0.1	3.871527e-06	7.236978e-15	0.1	3.871527e-06	2.122146e-24	0.1	3.871527e-06	8.203753e-16	0.1	3.871527e-06	9.559228e-27	0.1
5.275365e-06	0.9525364	0.1	5.275365e-06	0.0004462505	0.1	5.275365e-06	2.41776e-16	0.1	5.275365e-06	1.065955e-15	0.1	5.275365e-06	0.04701735	0.1	5.275365e-06	2.380801e-11	0.1	5.275365e-06	6.801004e-15	0.1	5.275365e-06	3.22128e-12	0.1	5.275365e-06	7.907207e-13	0.1	5.275365e-06	9.858806e-15	0.1	5.275365e-06	3.086746e-24	0.1	5.275365e-06	1.117547e-15	0.1	5.275365e-06	1.302247e-26	0.1
6.903979e-06	0.9389624	0.1	6.903979e-06	0.0005494797	0.1	6.903979e-06	4.091835e-16	0.1	6.903979e-06	1.745022e-15	0.1	6.903979e-06	0.06048814	0.1	6.903979e-06	3.115983e-11	0.1	6.903979e-06	8.897805e-15	0.1	6.903979e-06	4.214433e-12	0.1	6.903979e-06	1.03447e-12	0.1	6.903979e-06	1.289834e-14	0.1	6.903979e-06	4.327155e-24	0.1	6.903979e-06	1.462043e-15	0.1	6.903979e-06	1.703755e-26	0.1
8.532592e-06	0.9258661	0.1	8.532592e-06	0.0006434221	0.1	8.532592e-06	6.176461e-16	0.1	8.532592e-06	2.558029e-15	0.1	8.532592e-06	0.07349049	0.1	8.532592e-06	3.851089e-11	0.1	8.532592e-06	1.099294e-14	0.1	8.532592e-06	5.2068e-12	0.1	8.532592e-06	1.278009e-12	0.1	8.532592e-06	1.593547e-14	0.1	8.532592e-06	5.69256e-24	0.1	8.532592e-06	1.80624e-15	0.1	8.532592e-06	2.10495e-26	0.1
1.016121e-05	0.9132306	0.1	1.016121e-05	0.0007302226	0.1	1.016121e-05	8.65707e-16	0.1	1.016121e-05	3.493882e-15	0.1	1.016121e-05	0.08603914	0.1	1.016121e-05	4.586075e-11	0.1	1.016121e-05	1.308634e-14	0.1	1.016121e-05	6.198346e-12	0.1	1.016121e-05	1.521331e-12	0.1	1.016121e-05	1.897007e-14	0.1	1.016121e-05	7.177852e-24	0.1	1.016121e-05	2.15013e-15	0.1	1.016121e-05	2.50582e-26	0.1
1.178982e-05	0.9010398	0.1	1.178982e-05	0.0008113663	0.1	1.178982e-05	1.151964e-15	0.1	1.178982e-05	4.543931e-15	0.1	1.178982e-05	0.09814886	0.1	1.178982e-05	5.320913e-11	0.1	1.178982e-05	1.517798e-14	0.1	1.178982e-05	7.18906e-12	0.1	1.178982e-05	1.764434e-12	0.1	1.178982e-05	2.200212e-14	0.1	1.178982e-05	8.77833e-24	0.1	1.178982e-05	2.493709e-15	0.1	1.178982e-05	2.906358e-26	0.1
1.341843e-05	0.8892778	0.1	1.341843e-05	0.0008878893	0.1	1.341843e-05	1.475068e-15	0.1	1.341843e-05	5.701222e-15	0.1	1.341843e-05	0.1098343	0.1	1.341843e-05	6.055587e-11	0.1	1.341843e-05	1.726786e-14	0.1	1.341843e-05	8.178943e-12	0.1	1.341843e-05	2.007317e-12	0.1	1.341843e-05	2.503162e-14	0.1	1.341843e-05	1.048962e-23	0.1	1.341843e-05	2.836977e-15	0.1	1.341843e-05	3.306567e-26	0.1
1.504705e-05	0.8779296	0.1	1.504705e-05	0.0009605221	0.1	1.504705e-05	1.833717e-15	0.1	1.504705e-05	6.95999e-15	0.1	1.504705e-05	0.1211098	0.1	1.504705e-05	6.790087e-11	0.1	1.504705e-05	1.935601e-14	0.1	1.504705e-05	9.168006e-12	0.1	1.504705e-05	2.249986e-12	0.1	1.504705e-05	2.805861e-14	0.1	1.504705e-05	1.230759e-23	0.1	1.504705e-05	3.179939e-15	0.1	1.504705e-05	3.706448e-26	0.1
