	T[K]	N7a	N7b	N7c
600 0.03034 0.14771 0.82183
700 0.03440 0.15624 0.80923
800 0.03833 0.16257 0.79897
900 0.04216 0.16734 0.79035
1000 0.04589 0.17088 0.78308
1100 0.04947 0.17256 0.77779
1200 0.05280 0.17156 0.77553
1300 0.05596 0.17132 0.77262
1400 0.05894 0.17243 0.76853
1500 0.06166 0.17373 0.76451
1600 0.06411 0.17496 0.76082
1700 0.06633 0.17608 0.75748
1800 0.06836 0.17707 0.75446
1900 0.07027 0.17794 0.75167
2000 0.07212 0.17870 0.74907
