Batch	m_SP	5	N1a_L	C5H5	T1a_L	T4a_L	N7a_L							
6.387198e-12	9.784546348159139e-06	0.1	6.387198e-12	9.34697e-09	0.1	6.387198e-12	2.10583352e-07	0.1	6.387198e-12	5.3690847679999995e-14	0.1	6.387198e-12	5.0181774999999995e-24	0.1
1.424561e-11	9.52605893601078e-06	0.1	1.424561e-11	2.057119e-08	0.1	1.424561e-11	4.63462831e-07	0.1	1.424561e-11	1.1816648146e-13	0.1	1.424561e-11	2.4742581e-23	0.1
2.958284e-11	9.0410757798679e-06	0.1	2.958284e-11	4.163016e-08	0.1	2.958284e-11	9.3792494e-07	0.1	2.958284e-11	2.391408059e-13	0.1	2.958284e-11	1.04880156e-22	0.1
5.682821e-11	8.23962757215264e-06	0.1	5.682821e-11	7.642971e-08	0.1	5.682821e-11	1.7219871100000002e-06	0.1	5.682821e-11	4.390626802e-13	0.1	5.682821e-11	3.755173e-22	0.1
9.469594e-11	7.242328120278751e-06	0.1	9.469594e-11	1.197314e-07	0.1	9.469594e-11	2.6976518800000004e-06	0.1	9.469594e-11	6.878566773e-13	0.1	9.469594e-11	1.00063754e-21	0.1
1.478424e-10	6.04286044306367e-06	0.1	1.478424e-10	1.718078e-07	0.1	1.478424e-10	3.87110102e-06	0.1	1.478424e-10	9.871161235e-13	0.1	1.478424e-10	2.3054337e-21	0.1
2.009889e-10	5.042052077716157e-06	0.1	2.009889e-10	2.15256e-07	0.1	2.009889e-10	4.8502024299999995e-06	0.1	2.009889e-10	1.2368452442e-12	0.1	2.009889e-10	4.0343558e-21	0.1
2.816099e-10	3.831083967664422e-06	0.1	2.816099e-10	2.678233e-07	0.1	2.816099e-10	6.0349067e-06	0.1	2.816099e-10	1.5390732265e-12	0.1	2.816099e-10	7.3129532e-21	0.1
3.622308e-10	2.910964021338955e-06	0.1	3.622308e-10	3.077607e-07	0.1	3.622308e-10	6.935074299999999e-06	0.1	3.622308e-10	1.7687773825e-12	0.1	3.622308e-10	1.1212513799999999e-20	0.1
4.428518e-10	2.211835704016243e-06	0.1	4.428518e-10	3.381028e-07	0.1	4.428518e-10	7.6190430999999995e-06	0.1	4.428518e-10	1.9433724735000003e-12	0.1	4.428518e-10	1.55839093e-20	0.1
5.234727e-10	1.6806206247776052e-06	0.1	5.234727e-10	3.611549e-07	0.1	5.234727e-10	8.138741100000001e-06	0.1	5.234727e-10	2.0760916319e-12	0.1	5.234727e-10	2.03138123e-20	0.1
6.040937e-10	1.276989198297121e-06	0.1	6.040937e-10	3.786686e-07	0.1	6.040937e-10	8.533622100000001e-06	0.1	6.040937e-10	2.176990276e-12	0.1	6.040937e-10	2.531615e-20	0.1
6.847146e-10	9.702992863584868e-07	0.1	6.847146e-10	3.919745e-07	0.1	6.847146e-10	8.8336638e-06	0.1	6.847146e-10	2.2537092969999998e-12	0.1	6.847146e-10	3.0525496e-20	0.1
7.653356e-10	7.372672282011497e-07	0.1	7.653356e-10	4.020836e-07	0.1	7.653356e-10	9.061646499999999e-06	0.1	7.653356e-10	2.3120546659999998e-12	0.1	7.653356e-10	3.589215e-20	0.1
8.459566e-10	5.602024700815148e-07	0.1	8.459566e-10	4.09764e-07	0.1	8.459566e-10	9.2348732e-06	0.1	8.459566e-10	2.356438176e-12	0.1	8.459566e-10	4.1378344e-20	0.1
9.265775e-10	4.2566304483280337e-07	0.1	9.265775e-10	4.155991e-07	0.1	9.265775e-10	9.3664986e-06	0.1	9.265775e-10	2.390212527e-12	0.1	9.265775e-10	4.6955384e-20	0.1
1.023997e-09	3.0544622866154417e-07	0.1	1.023997e-09	4.208124e-07	0.1	1.023997e-09	9.484110199999998e-06	0.1	1.023997e-09	2.4204559820000002e-12	0.1	1.023997e-09	5.3784978e-20	0.1
1.121416e-09	2.1918199473426953e-07	0.1	1.121416e-09	4.245528e-07	0.1	1.121416e-09	9.568504499999999e-06	0.1	1.121416e-09	2.442227808e-12	0.1	1.121416e-09	6.0687159e-20	0.1
1.218835e-09	1.5728090056163046e-07	0.1	1.218835e-09	4.272365e-07	0.1	1.218835e-09	9.629064500000002e-06	0.1	1.218835e-09	2.45792e-12	0.1	1.218835e-09	6.7641444e-20	0.1
1.324541e-09	1.0972077659554139e-07	0.1	1.324541e-09	4.292982e-07	0.1	1.324541e-09	9.675594999999999e-06	0.1	1.324541e-09	2.470053502e-12	0.1	1.324541e-09	7.5229243e-20	0.1
