Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
2.519286e-08	0.99999987327108	0.1	2.519286e-08	5.451081e-13	0.1	2.519286e-08	6.941708e-15	0.1	2.519286e-08	2.327321e-13	0.1	2.519286e-08	1.54587e-13	0.1	2.519286e-08	5.74884e-12	0.1	2.519286e-08	5.107888e-15	0.1	2.519286e-08	6.625701e-10	0.1	2.519286e-08	2.236154e-15	0.1	2.519286e-08	1.259028e-14	0.1	2.519286e-08	5.466234e-09	0.1	2.519286e-08	5.685205e-08	0.1
3.796209e-08	0.99999979020814	0.1	3.796209e-08	9.199308e-13	0.1	3.796209e-08	7.446069e-15	0.1	3.796209e-08	2.774188e-13	0.1	3.796209e-08	1.844713e-13	0.1	3.796209e-08	5.629408e-12	0.1	3.796209e-08	5.003953e-15	0.1	3.796209e-08	7.589692e-10	0.1	3.796209e-08	2.220721e-15	0.1	3.796209e-08	1.899587e-14	0.1	3.796209e-08	8.42778e-09	0.1	3.796209e-08	8.566769e-08	0.1
5.355065e-08	0.9999997750774999	0.1	5.355065e-08	1.41035e-12	0.1	5.355065e-08	7.672901e-15	0.1	5.355065e-08	3.061332e-13	0.1	5.355065e-08	2.036678e-13	0.1	5.355065e-08	5.506036e-12	0.1	5.355065e-08	4.896589e-15	0.1	5.355065e-08	8.036834e-10	0.1	5.355065e-08	2.204675e-15	0.1	5.355065e-08	2.682228e-14	0.1	5.355065e-08	1.207937e-08	0.1	5.355065e-08	1.208453e-07	0.1
6.984405e-08	0.99999968223241	0.1	6.984405e-08	1.939889e-12	0.1	6.984405e-08	7.780416e-15	0.1	6.984405e-08	3.217554e-13	0.1	6.984405e-08	2.141047e-13	0.1	6.984405e-08	5.3992e-12	0.1	6.984405e-08	4.803615e-15	0.1	6.984405e-08	8.148919e-10	0.1	6.984405e-08	2.190729e-15	0.1	6.984405e-08	3.500469e-14	0.1	6.984405e-08	1.589544e-08	0.1	6.984405e-08	1.576131e-07	0.1
8.613744e-08	0.99999958471022	0.1	8.613744e-08	2.475778e-12	0.1	8.613744e-08	7.847647e-15	0.1	8.613744e-08	3.309047e-13	0.1	8.613744e-08	2.20211e-13	0.1	8.613744e-08	5.311065e-12	0.1	8.613744e-08	4.726917e-15	0.1	8.613744e-08	8.129515e-10	0.1	8.613744e-08	2.179203e-15	0.1	8.613744e-08	4.31868e-14	0.1	8.613744e-08	1.969416e-08	0.1	8.613744e-08	1.943806e-07	0.1
1.024308e-07	0.99999949445451	0.1	1.024308e-07	3.013209e-12	0.1	1.024308e-07	7.900798e-15	0.1	1.024308e-07	3.372758e-13	0.1	1.024308e-07	2.244585e-13	0.1	1.024308e-07	5.238358e-12	0.1	1.024308e-07	4.663644e-15	0.1	1.024308e-07	8.069643e-10	0.1	1.024308e-07	2.169686e-15	0.1	1.024308e-07	5.136787e-14	0.1	1.024308e-07	2.34718e-08	0.1	1.024308e-07	2.311478e-07	0.1
1.187242e-07	0.99999938641862	0.1	1.187242e-07	3.550172e-12	0.1	1.187242e-07	7.948754e-15	0.1	1.187242e-07	3.424786e-13	0.1	1.187242e-07	2.27924e-13	0.1	1.187242e-07	5.178379e-12	0.1	1.187242e-07	4.611448e-15	0.1	1.187242e-07	8.003054e-10	0.1	1.187242e-07	2.161832e-15	0.1	1.187242e-07	5.954787e-14	0.1	1.187242e-07	2.72294e-08	0.1	1.187242e-07	2.679147e-07	0.1
1.350176e-07	0.99999930456406	0.1	1.350176e-07	4.085867e-12	0.1	1.350176e-07	7.994911e-15	0.1	1.350176e-07	3.472097e-13	0.1	1.350176e-07	2.310737e-13	0.1	1.350176e-07	5.128899e-12	0.1	1.350176e-07	4.568388e-15	0.1	1.350176e-07	7.941377e-10	0.1	1.350176e-07	2.155352e-15	0.1	1.350176e-07	6.772703e-14	0.1	1.350176e-07	3.096941e-08	0.1	1.350176e-07	3.046814e-07	0.1
1.51311e-07	0.99999922185909	0.1	1.51311e-07	4.62001e-12	0.1	1.51311e-07	8.040614e-15	0.1	1.51311e-07	3.517666e-13	0.1	1.51311e-07	2.341068e-13	0.1	1.51311e-07	5.088081e-12	0.1	1.51311e-07	4.532867e-15	0.1	1.51311e-07	7.887853e-10	0.1	1.51311e-07	2.150006e-15	0.1	1.51311e-07	7.590565e-14	0.1	1.51311e-07	3.469451e-08	0.1	1.51311e-07	3.414477e-07	0.1
1.696226e-07	0.9999991142129799	0.1	1.696226e-07	5.21838e-12	0.1	1.696226e-07	8.092056e-15	0.1	1.696226e-07	3.568308e-13	0.1	1.696226e-07	2.374771e-13	0.1	1.696226e-07	5.050671e-12	0.1	1.696226e-07	4.50031e-15	0.1	1.696226e-07	7.837607e-10	0.1	1.696226e-07	2.145105e-15	0.1	1.696226e-07	8.509701e-14	0.1	1.696226e-07	3.886626e-08	0.1	1.696226e-07	3.827677e-07	0.1
