Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
1.146318e-09	0.9863924	0.1	1.146318e-09	3.029468e-06	0.1	1.146318e-09	8.000331e-06	0.1	1.146318e-09	0.001239824	0.1	1.146318e-09	2.3851163999999998e-05	0.1	1.146318e-09	4.470447e-06	0.1	1.146318e-09	0.005514277	0.1
2.148197e-09	0.9747206	0.1	2.148197e-09	5.627016e-06	0.1	2.148197e-09	1.486171e-05	0.1	2.148197e-09	0.002307284	0.1	2.148197e-09	4.4303492e-05	0.1	2.148197e-09	8.303523e-06	0.1	2.148197e-09	0.01024232	0.1
3.370405e-09	0.9607546	0.1	3.370405e-09	8.734158e-06	0.1	3.370405e-09	2.307089e-05	0.1	3.370405e-09	0.003588663	0.1	3.370405e-09	6.8769964e-05	0.1	3.370405e-09	1.288857e-05	0.1	3.370405e-09	0.01589786	0.1
4.744561e-09	0.9454008	0.1	4.744561e-09	1.214904e-05	0.1	4.744561e-09	3.209494e-05	0.1	4.744561e-09	0.005001677	0.1	4.744561e-09	9.5661519e-05	0.1	4.744561e-09	1.792774e-05	0.1	4.744561e-09	0.02211351	0.1
6.372057e-09	0.9276784	0.1	6.372057e-09	1.608964e-05	0.1	6.372057e-09	4.251011e-05	0.1	6.372057e-09	0.006637187	0.1	6.372057e-09	0.000126694873	0.1	6.372057e-09	2.374266e-05	0.1	6.372057e-09	0.02928596	0.1
7.999553e-09	0.9104399	0.1	7.999553e-09	1.992179e-05	0.1	7.999553e-09	5.264019e-05	0.1	7.999553e-09	0.008231726	0.1	7.999553e-09	0.000156875726	0.1	7.999553e-09	2.939755e-05	0.1	7.999553e-09	0.03626099	0.1
9.62705e-09	0.8936673	0.1	9.62705e-09	2.36497e-05	0.1	9.62705e-09	6.249587e-05	0.1	9.62705e-09	0.009785876	0.1	9.62705e-09	0.000186236759	0.1	9.62705e-09	3.489862e-05	0.1	9.62705e-09	0.04304626	0.1
1.151857e-08	0.8747366	0.1	1.151857e-08	2.785669e-05	0.1	1.151857e-08	7.361916e-05	0.1	1.151857e-08	0.01154247	0.1	1.151857e-08	0.00021937211	0.1	1.151857e-08	4.110664e-05	0.1	1.151857e-08	0.05070348	0.1
1.347609e-08	0.8557561	0.1	1.347609e-08	3.207427e-05	0.1	1.347609e-08	8.477126e-05	0.1	1.347609e-08	0.01330568	0.1	1.347609e-08	0.0002525917	0.1	1.347609e-08	4.733028e-05	0.1	1.347609e-08	0.05837995	0.1
1.543361e-08	0.83737	0.1	1.543361e-08	3.615945e-05	0.1	1.543361e-08	9.557386e-05	0.1	1.543361e-08	0.01501509	0.1	1.543361e-08	0.00028476901	0.1	1.543361e-08	5.335853e-05	0.1	1.543361e-08	0.0658154	0.1
1.770609e-08	0.8167369	0.1	1.770609e-08	4.074359e-05	0.1	1.770609e-08	0.0001076964	0.1	1.770609e-08	0.01693461	0.1	1.770609e-08	0.00032087703999999996	0.1	1.770609e-08	6.012309e-05	0.1	1.770609e-08	0.07415902	0.1
2.005732e-08	0.7961546	0.1	2.005732e-08	4.531622e-05	0.1	2.005732e-08	0.0001197889	0.1	2.005732e-08	0.01885032	0.1	2.005732e-08	0.00035689476	0.1	2.005732e-08	6.687064e-05	0.1	2.005732e-08	0.08248166	0.1
