Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
0.0	0.9999999399999999	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
5.470445e-15	0.99999993	0.1	5.470445e-15	0.0	0.1	5.470445e-15	0.0	0.1	5.470445e-15	0.0	0.1	5.470445e-15	0.0	0.1	5.470445e-15	0.0	0.1	5.470445e-15	0.0	0.1	5.470445e-15	0.0	0.1	5.470445e-15	0.0	0.1	5.470445e-15	0.0	0.1	5.470445e-15	0.0	0.1
4.208821e-14	1.00000008	0.1	4.208821e-14	0.0	0.1	4.208821e-14	0.0	0.1	4.208821e-14	0.0	0.1	4.208821e-14	0.0	0.1	4.208821e-14	0.0	0.1	4.208821e-14	0.0	0.1	4.208821e-14	0.0	0.1	4.208821e-14	0.0	0.1	4.208821e-14	0.0	0.1	4.208821e-14	0.0	0.1
1.097974e-13	0.99999992	0.1	1.097974e-13	0.0	0.1	1.097974e-13	0.0	0.1	1.097974e-13	0.0	0.1	1.097974e-13	0.0	0.1	1.097974e-13	0.0	0.1	1.097974e-13	0.0	0.1	1.097974e-13	0.0	0.1	1.097974e-13	0.0	0.1	1.097974e-13	0.0	0.1	1.097974e-13	0.0	0.1
2.237538e-13	1.00000003	0.1	2.237538e-13	0.0	0.1	2.237538e-13	0.0	0.1	2.237538e-13	0.0	0.1	2.237538e-13	0.0	0.1	2.237538e-13	0.0	0.1	2.237538e-13	0.0	0.1	2.237538e-13	0.0	0.1	2.237538e-13	0.0	0.1	2.237538e-13	0.0	0.1	2.237538e-13	0.0	0.1
3.758907e-13	1.00000004	0.1	3.758907e-13	0.0	0.1	3.758907e-13	0.0	0.1	3.758907e-13	0.0	0.1	3.758907e-13	0.0	0.1	3.758907e-13	0.0	0.1	3.758907e-13	0.0	0.1	3.758907e-13	0.0	0.1	3.758907e-13	0.0	0.1	3.758907e-13	0.0	0.1	3.758907e-13	0.0	0.1
5.280277e-13	1.00000004	0.1	5.280277e-13	0.0	0.1	5.280277e-13	0.0	0.1	5.280277e-13	0.0	0.1	5.280277e-13	0.0	0.1	5.280277e-13	0.0	0.1	5.280277e-13	0.0	0.1	5.280277e-13	0.0	0.1	5.280277e-13	0.0	0.1	5.280277e-13	0.0	0.1	5.280277e-13	0.0	0.1
8.245093e-13	0.99999996	0.1	8.245093e-13	0.0	0.1	8.245093e-13	0.0	0.1	8.245093e-13	0.0	0.1	8.245093e-13	0.0	0.1	8.245093e-13	0.0	0.1	8.245093e-13	0.0	0.1	8.245093e-13	0.0	0.1	8.245093e-13	0.0	0.1	8.245093e-13	0.0	0.1	8.245093e-13	0.0	0.1
1.358176e-12	0.99999993	0.1	1.358176e-12	0.0	0.1	1.358176e-12	0.0	0.1	1.358176e-12	0.0	0.1	1.358176e-12	0.0	0.1	1.358176e-12	0.0	0.1	1.358176e-12	0.0	0.1	1.358176e-12	0.0	0.1	1.358176e-12	0.0	0.1	1.358176e-12	0.0	0.1	1.358176e-12	0.0	0.1
2.003848e-12	1.00000006	0.1	2.003848e-12	0.0	0.1	2.003848e-12	0.0	0.1	2.003848e-12	0.0	0.1	2.003848e-12	0.0	0.1	2.003848e-12	0.0	0.1	2.003848e-12	0.0	0.1	2.003848e-12	0.0	0.1	2.003848e-12	0.0	0.1	2.003848e-12	0.0	0.1	2.003848e-12	0.0	0.1
