Batch	m_SP	2	P2_L	W4_L	
5.130326000000e-13	9.857501816021e-06	1.000000000000e-01	5.130326000000e-13	1.252545590000e-07	1.000000000000e-01
1.559415000000e-12	9.606604014077e-06	1.000000000000e-01	1.559415000000e-12	3.758678400000e-07	1.000000000000e-01
4.176439000000e-12	9.006728681824e-06	1.000000000000e-01	4.176439000000e-12	9.750840000000e-07	1.000000000000e-01
8.841639000000e-12	8.028820090387e-06	1.000000000000e-01	8.841639000000e-12	1.951979900000e-06	1.000000000000e-01
1.206204000000e-11	7.416473267568e-06	1.000000000000e-01	1.206204000000e-11	2.563731300000e-06	1.000000000000e-01
1.616634000000e-11	6.703307930160e-06	1.000000000000e-01	1.616634000000e-11	3.276244100000e-06	1.000000000000e-01
2.209885000000e-11	5.791985654970e-06	1.000000000000e-01	2.209885000000e-11	4.186798300000e-06	1.000000000000e-01
2.988978000000e-11	4.780724902590e-06	1.000000000000e-01	2.988978000000e-11	5.197294100000e-06	1.000000000000e-01
3.836855000000e-11	3.879819661055e-06	1.000000000000e-01	3.836855000000e-11	6.097600600000e-06	1.000000000000e-01
4.959875000000e-11	2.942487226078e-06	1.000000000000e-01	4.959875000000e-11	7.034397600000e-06	1.000000000000e-01
6.082894000000e-11	2.231667128765e-06	1.000000000000e-01	6.082894000000e-11	7.744875300000e-06	1.000000000000e-01
7.205913000000e-11	1.692598002863e-06	1.000000000000e-01	7.205913000000e-11	8.283724400000e-06	1.000000000000e-01
8.328933000000e-11	1.283766577955e-06	1.000000000000e-01	8.328933000000e-11	8.692414600000e-06	1.000000000000e-01
9.451952000000e-11	9.736991318279e-07	1.000000000000e-01	9.451952000000e-11	9.002391000000e-06	1.000000000000e-01
1.057497000000e-10	7.385309664853e-07	1.000000000000e-01	1.057497000000e-10	9.237498100000e-06	1.000000000000e-01
1.169799000000e-10	5.601662498509e-07	1.000000000000e-01	1.169799000000e-10	9.415823400000e-06	1.000000000000e-01
1.286761000000e-10	4.200372354173e-07	1.000000000000e-01	1.286761000000e-10	9.555925600000e-06	1.000000000000e-01
1.422361000000e-10	3.008419348110e-07	1.000000000000e-01	1.422361000000e-10	9.675099900000e-06	1.000000000000e-01
1.557961000000e-10	2.154727828882e-07	1.000000000000e-01	1.557961000000e-10	9.760456900000e-06	1.000000000000e-01
1.693561000000e-10	1.543295097581e-07	1.000000000000e-01	1.693561000000e-10	9.821591500000e-06	1.000000000000e-01
1.850947000000e-10	1.047659618689e-07	1.000000000000e-01	1.850947000000e-10	9.871149700000e-06	1.000000000000e-01
