Batch	m_SP	13	P2	W1	W2	W3	W4	W5	W6	R	P1	P3	P4	P5	P6																							
2.687331e-12	9.6498845701734e-06	0.1	2.687331e-12	2.074585e-118	0.1	2.687331e-12	2.616056e-12	0.1	2.687331e-12	4.204892e-10	0.1	2.687331e-12	2.074585e-118	0.1	2.687331e-12	1.27945e-07	0.1	2.687331e-12	4.958335e-09	0.1	2.687331e-12	1.133051e-08	0.1	2.687331e-12	1.851167e-07	0.1	2.687331e-12	1.6034e-08	0.1	2.687331e-12	7.201189e-11	0.1	2.687331e-12	4.137931e-09	0.1	2.687331e-12	3.831218e-13	0.1
6.013491e-12	9.233838967076e-06	0.1	6.013491e-12	5.042985e-118	0.1	6.013491e-12	5.739332e-12	0.1	6.013491e-12	9.215645e-10	0.1	6.013491e-12	5.042985e-118	0.1	6.013491e-12	2.806603e-07	0.1	6.013491e-12	1.085571e-08	0.1	6.013491e-12	2.489325e-08	0.1	6.013491e-12	4.053747e-07	0.1	6.013491e-12	3.425911e-08	0.1	6.013491e-12	1.579216e-10	0.1	6.013491e-12	8.938954e-09	0.1	6.013491e-12	8.307303e-13	0.1
1.057339e-11	8.6928999849749e-06	0.1	1.057339e-11	9.802909e-118	0.1	1.057339e-11	9.823415e-12	0.1	1.057339e-11	1.575203e-09	0.1	1.057339e-11	9.802909e-118	0.1	1.057339e-11	4.802968e-07	0.1	1.057339e-11	1.852958e-08	0.1	1.057339e-11	4.268867e-08	0.1	1.057339e-11	6.921243e-07	0.1	1.057339e-11	5.654078e-08	0.1	1.057339e-11	2.701528e-10	0.1	1.057339e-11	1.497575e-08	0.1	1.057339e-11	1.398835e-12	0.1
1.802771e-11	7.8769627770288e-06	0.1	1.802771e-11	1.920192e-117	0.1	1.802771e-11	1.603662e-11	0.1	1.802771e-11	2.566044e-09	0.1	1.802771e-11	1.920192e-117	0.1	1.802771e-11	7.838902e-07	0.1	1.802771e-11	3.011854e-08	0.1	1.802771e-11	6.990008e-08	0.1	1.802771e-11	1.125502e-06	0.1	1.802771e-11	8.69289e-08	0.1	1.802771e-11	4.406582e-10	0.1	1.802771e-11	2.359339e-08	0.1	1.802771e-11	2.221949e-12	0.1
3.091068e-11	6.6456219161581e-06	0.1	3.091068e-11	3.973331e-117	0.1	3.091068e-11	2.55461e-11	0.1	3.091068e-11	4.073823e-09	0.1	3.091068e-11	3.973331e-117	0.1	3.091068e-11	1.248314e-06	0.1	3.091068e-11	4.764229e-08	0.1	3.091068e-11	1.119037e-07	0.1	3.091068e-11	1.781685e-06	0.1	3.091068e-11	1.246795e-07	0.1	3.091068e-11	7.010685e-10	0.1	3.091068e-11	3.528461e-08	0.1	3.091068e-11	3.369671e-12	0.1
4.504946e-11	5.5175140302125e-06	0.1	4.504946e-11	6.771808e-117	0.1	4.504946e-11	3.441927e-11	0.1	4.504946e-11	5.470548e-09	0.1	4.504946e-11	6.771808e-117	0.1	4.504946e-11	1.6815e-06	0.1	4.504946e-11	6.373818e-08	0.1	4.504946e-11	1.515398e-07	0.1	4.504946e-11	2.385522e-06	0.1	4.504946e-11	1.494283e-07	0.1	4.504946e-11	9.434573e-10	0.1	4.504946e-11	4.425248e-08	0.1	4.504946e-11	4.289917e-12	0.1
6.107192e-11	4.4717054198916e-06	0.1	6.107192e-11	1.052411e-116	0.1	6.107192e-11	4.280754e-11	0.1	6.107192e-11	6.781265e-09	0.1	6.107192e-11	1.052411e-116	0.1	6.107192e-11	2.091039e-06	0.1	6.107192e-11	7.870042e-08	0.1	6.107192e-11	1.894778e-07	0.1	6.107192e-11	2.94807e-06	0.1	6.107192e-11	1.623759e-07	0.1	6.107192e-11	1.172105e-09	0.1	6.107192e-11	5.059345e-08	0.1	6.107192e-11	4.986809e-12	0.1
7.709439e-11	3.6266456769480004e-06	0.1	7.709439e-11	1.478997e-116	0.1	7.709439e-11	4.972132e-11	0.1	7.709439e-11	7.854099e-09	0.1	7.709439e-11	1.478997e-116	0.1	7.709439e-11	2.42882e-06	0.1	7.709439e-11	9.08233e-08	0.1	7.709439e-11	2.211633e-07	0.1	7.709439e-11	3.40502e-06	0.1	7.709439e-11	1.643813e-07	0.1	7.709439e-11	1.360266e-09	0.1	7.709439e-11	5.38529e-08	0.1	7.709439e-11	5.39515e-12	0.1
9.311686e-11	2.943320792932e-06	0.1	9.311686e-11	1.947983e-116	0.1	9.311686e-11	5.541713e-11	0.1	9.311686e-11	8.732715e-09	0.1	9.311686e-11	1.947983e-116	0.1	9.311686e-11	2.707495e-06	0.1	9.311686e-11	1.006501e-07	0.1	9.311686e-11	2.476184e-07	0.1	9.311686e-11	3.776451e-06	0.1	9.311686e-11	1.593034e-07	0.1	9.311686e-11	1.515171e-09	0.1	9.311686e-11	5.48387e-08	0.1	9.311686e-11	5.582297e-12	0.1
1.091393e-10	2.3903928168939e-06	0.1	1.091393e-10	2.451986e-116	0.1	1.091393e-10	6.010678e-11	0.1	1.091393e-10	9.452677e-09	0.1	1.091393e-10	2.451986e-116	0.1	1.091393e-10	2.937476e-06	0.1	1.091393e-10	1.086187e-07	0.1	1.091393e-10	2.69701e-07	0.1	1.091393e-10	4.078575e-06	0.1	1.091393e-10	1.498882e-07	0.1	1.091393e-10	1.642751e-09	0.1	1.091393e-10	5.41827e-08	0.1	1.091393e-10	5.602707e-12	0.1
