Batch	m_SP	4	Pr2	W1	Pr1	Pr3					
7.059901e+43	9.893785061160001e-06	0.1	7.059901e+43	1.061167e-07	0.1	7.059901e+43	1.177006e-19	0.1	7.059901e+43	2.433268e-28	0.1
1.453681e+44	9.78263017272e-06	0.1	1.453681e+44	2.172739e-07	0.1	1.453681e+44	2.409919e-19	0.1	1.453681e+44	4.982114e-28	0.1
2.949062e+44	9.56405335851e-06	0.1	2.949062e+44	4.358558e-07	0.1	2.949062e+44	4.834346e-19	0.1	2.949062e+44	9.994221e-28	0.1
5.607518e+44	9.18745912449e-06	0.1	5.607518e+44	8.124569e-07	0.1	5.607518e+44	9.01146e-19	0.1	5.607518e+44	1.862972e-27	0.1
1.025982e+45	8.56375036164e-06	0.1	1.025982e+45	1.436178e-06	0.1	1.025982e+45	1.592954e-18	0.1	1.025982e+45	3.293173e-27	0.1
1.783676e+45	7.63728762636e-06	0.1	1.783676e+45	2.36266e-06	0.1	1.783676e+45	2.620572e-18	0.1	1.783676e+45	5.417605e-27	0.1
2.913689e+45	6.43843361502e-06	0.1	2.913689e+45	3.561538e-06	0.1	2.913689e+45	3.950321e-18	0.1	2.913689e+45	8.166644e-27	0.1
4.190954e+45	5.3083269162e-06	0.1	4.190954e+45	4.691667e-06	0.1	4.190954e+45	5.203817e-18	0.1	4.190954e+45	1.075804e-26	0.1
5.566386e+45	4.31213887818e-06	0.1	5.566386e+45	5.687875e-06	0.1	5.566386e+45	6.308773e-18	0.1	5.566386e+45	1.304236e-26	0.1
6.941819e+45	3.50290097064e-06	0.1	6.941819e+45	6.497129e-06	0.1	6.941819e+45	7.206367e-18	0.1	6.941819e+45	1.489799e-26	0.1
8.317251e+45	2.8455285444300004e-06	0.1	8.317251e+45	7.154515e-06	0.1	8.317251e+45	7.935514e-18	0.1	8.317251e+45	1.640538e-26	0.1
9.692684e+45	2.31152188455e-06	0.1	9.692684e+45	7.688532e-06	0.1	9.692684e+45	8.527825e-18	0.1	9.692684e+45	1.762989e-26	0.1
1.129281e+46	1.81504484937e-06	0.1	1.129281e+46	8.185019e-06	0.1	1.129281e+46	9.07851e-18	0.1	1.129281e+46	1.876834e-26	0.1
1.294911e+46	1.4131558683e-06	0.1	1.294911e+46	8.586916e-06	0.1	1.294911e+46	9.524278e-18	0.1	1.294911e+46	1.968989e-26	0.1
1.460541e+46	1.10025399735e-06	0.1	1.460541e+46	8.899824e-06	0.1	1.460541e+46	9.871344e-18	0.1	1.460541e+46	2.040739e-26	0.1
1.62617e+46	8.56634733567e-07	0.1	1.62617e+46	9.143448e-06	0.1	1.62617e+46	1.014156e-17	0.1	1.62617e+46	2.096602e-26	0.1
1.798625e+46	6.60114898785e-07	0.1	1.798625e+46	9.339972e-06	0.1	1.798625e+46	1.035954e-17	0.1	1.798625e+46	2.141666e-26	0.1
1.998379e+46	4.8812111874e-07	0.1	1.998379e+46	9.511969e-06	0.1	1.998379e+46	1.055031e-17	0.1	1.998379e+46	2.181105e-26	0.1
2.198134e+46	3.60940590558e-07	0.1	2.198134e+46	9.639152e-06	0.1	2.198134e+46	1.069138e-17	0.1	2.198134e+46	2.210268e-26	0.1
2.397888e+46	2.6689703100300005e-07	0.1	2.397888e+46	9.733198e-06	0.1	2.397888e+46	1.079569e-17	0.1	2.397888e+46	2.231833e-26	0.1
2.61397e+46	1.92546774513e-07	0.1	2.61397e+46	9.807549e-06	0.1	2.61397e+46	1.087816e-17	0.1	2.61397e+46	2.248882e-26	0.1
2.854545e+46	1.33861461372e-07	0.1	2.854545e+46	9.866236e-06	0.1	2.854545e+46	1.094325e-17	0.1	2.854545e+46	2.262338e-26	0.1
