Batch	m_SP	2	Pr2	Pr1	
2.512241000000e-03	9.999900000000e-06	1.000000000000e-01	2.512241000000e-03	9.936335000000e-14	1.000000000000e-01
1.264464000000e-02	9.999899000010e-06	1.000000000000e-01	1.264464000000e-02	8.507822000000e-13	1.000000000000e-01
5.701187000000e-02	9.999894000060e-06	1.000000000000e-01	5.701187000000e-02	4.480928000000e-12	1.000000000000e-01
2.279963000000e+00	9.999674002260e-06	1.000000000000e-01	2.279963000000e+00	1.862257000000e-10	1.000000000000e-01
6.602369000000e+00	9.999247006530e-06	1.000000000000e-01	6.602369000000e+00	5.402987000000e-10	1.000000000000e-01
1.648215000000e+01	9.998277016230e-06	1.000000000000e-01	1.648215000000e+01	1.358215000000e-09	1.000000000000e-01
2.883188000000e+01	9.997085028150e-06	1.000000000000e-01	2.883188000000e+01	2.407442000000e-09	1.000000000000e-01
3.871167000000e+01	9.996149037510e-06	1.000000000000e-01	3.871167000000e+01	3.269213000000e-09	1.000000000000e-01
4.735648000000e+01	9.995339045610e-06	1.000000000000e-01	4.735648000000e+01	4.036152000000e-09	1.000000000000e-01
6.202311000000e+01	9.993980059200e-06	1.000000000000e-01	6.202311000000e+01	5.355333000000e-09	1.000000000000e-01
8.016509000000e+01	9.992311075890e-06	1.000000000000e-01	8.016509000000e+01	7.003483000000e-09	1.000000000000e-01
1.017932000000e+02	9.990329095710e-06	1.000000000000e-01	1.017932000000e+02	8.977385000000e-09	1.000000000000e-01
1.294935000000e+02	9.987794121060e-06	1.000000000000e-01	1.294935000000e+02	1.150937000000e-08	1.000000000000e-01
1.687285000000e+02	9.984207156930e-06	1.000000000000e-01	1.687285000000e+02	1.509639000000e-08	1.000000000000e-01
2.330100000000e+02	9.978332215680e-06	1.000000000000e-01	2.330100000000e+02	2.097102000000e-08	1.000000000000e-01
3.588365000000e+02	9.966843330570e-06	1.000000000000e-01	3.588365000000e+02	3.246022000000e-08	1.000000000000e-01
6.943738000000e+02	9.936270642653e-06	1.000000000000e-01	6.943738000000e+02	6.303320000000e-08	1.000000000000e-01
1.477294000000e+03	9.865303359430e-06	1.000000000000e-01	1.477294000000e+03	1.340032000000e-07	1.000000000000e-01
3.266826000000e+03	9.705019037274e-06	1.000000000000e-01	3.266826000000e+03	2.942924000000e-07	1.000000000000e-01
6.444803000000e+03	9.426975073005e-06	1.000000000000e-01	6.444803000000e+03	5.723441000000e-07	1.000000000000e-01
1.123299000000e+04	9.023926735714e-06	1.000000000000e-01	1.123299000000e+04	9.754047000000e-07	1.000000000000e-01
1.921974000000e+04	8.393557633602e-06	1.000000000000e-01	1.921974000000e+04	1.605792000000e-06	1.000000000000e-01
2.492456000000e+04	7.974707302364e-06	1.000000000000e-01	2.492456000000e+04	2.024654000000e-06	1.000000000000e-01
3.201860000000e+04	7.489227383488e-06	1.000000000000e-01	3.201860000000e+04	2.510148000000e-06	1.000000000000e-01
4.221624000000e+04	6.857036171649e-06	1.000000000000e-01	4.221624000000e+04	3.142357000000e-06	1.000000000000e-01
5.568002000000e+04	6.132713754094e-06	1.000000000000e-01	5.568002000000e+04	3.866698000000e-06	1.000000000000e-01
6.969938000000e+04	5.498568269604e-06	1.000000000000e-01	6.969938000000e+04	4.500858000000e-06	1.000000000000e-01
8.594103000000e+04	4.896744058048e-06	1.000000000000e-01	8.594103000000e+04	5.102698000000e-06	1.000000000000e-01
1.021827000000e+05	4.415206121710e-06	1.000000000000e-01	1.021827000000e+05	5.584245000000e-06	1.000000000000e-01
1.184243000000e+05	4.032636476784e-06	1.000000000000e-01	1.184243000000e+05	5.966824000000e-06	1.000000000000e-01
1.367067000000e+05	3.697285733260e-06	1.000000000000e-01	1.367067000000e+05	6.302181000000e-06	1.000000000000e-01
1.474453000000e+05	3.538650611302e-06	1.000000000000e-01	1.474453000000e+05	6.460819000000e-06	1.000000000000e-01
1.606081000000e+05	3.375977957836e-06	1.000000000000e-01	1.606081000000e+05	6.623495000000e-06	1.000000000000e-01
1.743770000000e+05	3.237126615359e-06	1.000000000000e-01	1.743770000000e+05	6.762349000000e-06	1.000000000000e-01
1.881459000000e+05	3.124552194176e-06	1.000000000000e-01	1.881459000000e+05	6.874925000000e-06	1.000000000000e-01
2.082679000000e+05	2.997448042517e-06	1.000000000000e-01	2.082679000000e+05	7.002032000000e-06	1.000000000000e-01
2.314934000000e+05	2.892359539806e-06	1.000000000000e-01	2.314934000000e+05	7.107122000000e-06	1.000000000000e-01
2.567878000000e+05	2.813791601952e-06	1.000000000000e-01	2.567878000000e+05	7.185691000000e-06	1.000000000000e-01
2.820822000000e+05	2.760864512314e-06	1.000000000000e-01	2.820822000000e+05	7.238619000000e-06	1.000000000000e-01
3.073766000000e+05	2.725252852310e-06	1.000000000000e-01	3.073766000000e+05	7.274231000000e-06	1.000000000000e-01
3.326710000000e+05	2.701313266472e-06	1.000000000000e-01	3.326710000000e+05	7.298171000000e-06	1.000000000000e-01
3.612275000000e+05	2.683581573236e-06	1.000000000000e-01	3.612275000000e+05	7.315903000000e-06	1.000000000000e-01
3.919587000000e+05	2.671598780542e-06	1.000000000000e-01	3.919587000000e+05	7.327886000000e-06	1.000000000000e-01
4.226899000000e+05	2.664212908319e-06	1.000000000000e-01	4.226899000000e+05	7.335272000000e-06	1.000000000000e-01
4.597458000000e+05	2.658968999041e-06	1.000000000000e-01	4.597458000000e+05	7.340517000000e-06	1.000000000000e-01
4.968017000000e+05	2.656044049643e-06	1.000000000000e-01	4.968017000000e+05	7.343441000000e-06	1.000000000000e-01
