Batch	m_SP	7	P1	R	W4_L	W3	P2_L	P3	P4											
15177.65	9.886346135550001e-06	0.1	15177.65	2.548104e-11	0.1	15177.65	5.5637918000000005e-08	0.1	15177.65	4.392855e-08	0.1	15177.65	1.3854941076000001e-08	0.1	15177.65	2.603654e-11	0.1	15177.65	3.389414e-13	0.1
31157.4	9.768270316320001e-06	0.1	31157.4	5.19963e-11	0.1	31157.4	1.1353404300000001e-07	0.1	31157.4	8.964005e-08	0.1	31157.4	2.827220746e-08	0.1	31157.4	5.312984e-11	0.1	31157.4	6.916397e-13	0.1
63116.91	9.5363326820671e-06	0.1	63116.91	1.040805e-10	0.1	63116.91	2.272601e-07	0.1	63116.91	1.794317e-07	0.1	63116.91	5.659224408e-08	0.1	63116.91	1.063496e-10	0.1	63116.91	1.384449e-12	0.1
120644.0	9.1326347594573e-06	0.1	120644.0	1.947355e-10	0.1	120644.0	4.2520552000000003e-07	0.1	120644.0	3.357182e-07	0.1	120644.0	1.0588452337e-07	0.1	120644.0	1.989808e-10	0.1	120644.0	2.590315e-12	0.1
222914.4	8.4566817409664e-06	0.1	222914.4	3.465284e-10	0.1	222914.4	7.566456800000001e-07	0.1	222914.4	5.974045e-07	0.1	222914.4	1.8841969164e-07	0.1	222914.4	3.540829e-10	0.1	222914.4	4.609421e-12	0.1
394233.7	7.4345764230741e-06	0.1	394233.7	5.760538e-10	0.1	394233.7	1.25781504e-06	0.1	394233.7	9.930995e-07	0.1	394233.7	3.13220694e-07	0.1	394233.7	5.886121e-10	0.1	394233.7	7.662502e-12	0.1
630774.7	6.223210655602e-06	0.1	630774.7	8.480798e-10	0.1	630774.7	1.8517848200000002e-06	0.1	630774.7	1.462064e-06	0.1	630774.7	4.6113075520000003e-07	0.1	630774.7	8.665684e-10	0.1	630774.7	1.128091e-11	0.1
915053.7	5.025555728544601e-06	0.1	915053.7	1.117027e-09	0.1	915053.7	2.4390316e-06	0.1	915053.7	1.925721e-06	0.1	915053.7	6.073667457000001e-07	0.1	915053.7	1.141379e-09	0.1	915053.7	1.485837e-11	0.1
1211267.0	4.0221349626954e-06	0.1	1211267.0	1.342357e-09	0.1	1211267.0	2.9310393000000002e-06	0.1	1211267.0	2.314183e-06	0.1	1211267.0	7.298866341e-07	0.1	1211267.0	1.371621e-09	0.1	1211267.0	1.785564e-11	0.1
1507481.0	3.219060233774e-06	0.1	1507481.0	1.522697e-09	0.1	1507481.0	3.3248127e-06	0.1	1507481.0	2.625083e-06	0.1	1507481.0	8.279436213e-07	0.1	1507481.0	1.555892e-09	0.1	1507481.0	2.025447e-11	0.1
1803694.0	2.5763309176868997e-06	0.1	1803694.0	1.667029e-09	0.1	1803694.0	3.6399624000000003e-06	0.1	1803694.0	2.873908e-06	0.1	1803694.0	9.064221643000001e-07	0.1	1803694.0	1.703371e-09	0.1	1803694.0	2.217434e-11	0.1
2099908.0	2.061931318506e-06	0.1	2099908.0	1.782543e-09	0.1	2099908.0	3.892188800000001e-06	0.1	2099908.0	3.073051e-06	0.1	2099908.0	9.692315293e-07	0.1	2099908.0	1.821404e-09	0.1	2099908.0	2.371088e-11	0.1
2431808.0	1.606546327796e-06	0.1	2431808.0	1.884805e-09	0.1	2431808.0	4.1154781e-06	0.1	2431808.0	3.249348e-06	0.1	2431808.0	1.0248346072e-06	0.1	2431808.0	1.925895e-09	0.1	2431808.0	2.507114e-11	0.1
2787499.0	1.2295433519173e-06	0.1	2787499.0	1.969466e-09	0.1	2787499.0	4.3003339e-06	0.1	2787499.0	3.3953e-06	0.1	2787499.0	1.0708680506e-06	0.1	2787499.0	2.012401e-09	0.1	2787499.0	2.619727e-11	0.1
3143190.0	9.4100965467689e-07	0.1	3143190.0	2.034259e-09	0.1	3143190.0	4.4418104e-06	0.1	3143190.0	3.507002e-06	0.1	3143190.0	1.1060981659000001e-06	0.1	3143190.0	2.078607e-09	0.1	3143190.0	2.705913e-11	0.1
3498881.0	7.201856058510399e-07	0.1	3498881.0	2.083848e-09	0.1	3498881.0	4.5500879e-06	0.1	3498881.0	3.592492e-06	0.1	3498881.0	1.1330609689e-06	0.1	3498881.0	2.129277e-09	0.1	3498881.0	2.771875e-11	0.1
3869490.0	5.4503379555312e-07	0.1	3869490.0	2.123181e-09	0.1	3869490.0	4.6359698e-06	0.1	3869490.0	3.660299e-06	0.1	3869490.0	1.1544475375e-06	0.1	3869490.0	2.169467e-09	0.1	3869490.0	2.824193e-11	0.1
4299770.0	3.9438198287232e-07	0.1	4299770.0	2.157011e-09	0.1	4299770.0	4.7098395e-06	0.1	4299770.0	3.718623e-06	0.1	4299770.0	1.1728429075e-06	0.1	4299770.0	2.204035e-09	0.1	4299770.0	2.869194e-11	0.1
4730051.0	2.8537150380336e-07	0.1	4730051.0	2.181491e-09	0.1	4730051.0	4.7632906999999995e-06	0.1	4730051.0	3.760825e-06	0.1	4730051.0	1.1861532404e-06	0.1	4730051.0	2.229048e-09	0.1	4730051.0	2.901756e-11	0.1
5160331.0	2.0649248725824e-07	0.1	5160331.0	2.199204e-09	0.1	5160331.0	4.8019676e-06	0.1	5160331.0	3.791362e-06	0.1	5160331.0	1.1957840992999999e-06	0.1	5160331.0	2.247148e-09	0.1	5160331.0	2.925318e-11	0.1
5643916.0	1.4354609226576e-07	0.1	5643916.0	2.213339e-09	0.1	5643916.0	4.8328322e-06	0.1	5643916.0	3.815731e-06	0.1	5643916.0	1.2034701787000001e-06	0.1	5643916.0	2.261591e-09	0.1	5643916.0	2.94412e-11	0.1
