Batch	m_SP	4	N7a_L	T1a_L	T4a_L	N1a_L					
9.438527e-12	9.746972156658e-06	0.1	9.438527e-12	2.02772513e-14	0.1	9.438527e-12	2.52807206e-07	0.1	9.438527e-12	1.1995523380000001e-26	0.1
2.0214e-11	9.46625867104e-06	0.1	2.0214e-11	4.2792636e-14	0.1	2.0214e-11	5.3349778e-07	0.1	2.0214e-11	5.36658801e-26	0.1
4.512049e-11	8.8484081082984e-06	0.1	4.512049e-11	9.235436100000001e-14	0.1	4.512049e-11	1.15129746e-06	0.1	4.512049e-11	2.525109592e-25	0.1
8.995219e-11	7.837390299058999e-06	0.1	8.995219e-11	1.7346642299999999e-13	0.1	8.995219e-11	2.1622327099999997e-06	0.1	8.995219e-11	9.06447507e-25	0.1
1.463487e-10	6.72971840294e-06	0.1	1.463487e-10	2.6233964199999997e-13	0.1	1.463487e-10	3.26981379e-06	0.1	1.463487e-10	2.115781509e-24	0.1
2.126205e-10	5.6281864740192e-06	0.1	2.126205e-10	3.50711968e-13	0.1	2.126205e-10	4.37125542e-06	0.1	2.126205e-10	3.8648281480000005e-24	0.1
2.868158e-10	4.6089061800328e-06	0.1	2.868158e-10	4.324598e-13	0.1	2.868158e-10	5.3904517e-06	0.1	2.868158e-10	6.00720034e-24	0.1
3.927046e-10	3.4670337479381997e-06	0.1	3.927046e-10	5.239797599999999e-13	0.1	3.927046e-10	6.53223173e-06	0.1	3.927046e-10	9.062583569999999e-24	0.1
4.985934e-10	2.6090868342196602e-06	0.1	4.985934e-10	5.9267149e-13	0.1	4.985934e-10	7.39010899e-06	0.1	4.985934e-10	1.1863132109999999e-23	0.1
6.044822e-10	1.96399660528228e-06	0.1	6.044822e-10	6.4425652e-13	0.1	6.044822e-10	8.03514747e-06	0.1	6.044822e-10	1.428777417e-23	0.1
7.10371e-10	1.47869959441662e-06	0.1	7.10371e-10	6.8300952e-13	0.1	7.10371e-10	8.52040504e-06	0.1	7.10371e-10	1.631222062e-23	0.1
8.162598e-10	1.113477644701706e-06	0.1	8.162598e-10	7.121311099999999e-13	0.1	8.162598e-10	8.885596960000001e-06	0.1	8.162598e-10	1.796074381e-23	0.1
9.221486e-10	8.385488245880819e-07	0.1	9.221486e-10	7.3401935e-13	0.1	9.221486e-10	9.160503210000001e-06	0.1	9.221486e-10	1.9278689189999997e-23	0.1
1.028037e-09	6.31550071345948e-07	0.1	1.028037e-09	7.504736700000001e-13	0.1	1.028037e-09	9.36748522e-06	0.1	1.028037e-09	2.03174744e-23	0.1
1.133926e-09	4.7567602108930395e-07	0.1	1.133926e-09	7.6284482e-13	0.1	1.133926e-09	9.52334716e-06	0.1	1.133926e-09	2.112681388e-23	0.1
1.239815e-09	3.582883044105936e-07	0.1	1.239815e-09	7.721467700000001e-13	0.1	1.239815e-09	9.640725090000001e-06	0.1	1.239815e-09	2.175113891e-23	0.1
1.358884e-09	2.60525450286782e-07	0.1	1.358884e-09	7.798808299999999e-13	0.1	1.358884e-09	9.73848092e-06	0.1	1.358884e-09	2.2279096509999998e-23	0.1
1.486739e-09	1.850417976500288e-07	0.1	1.486739e-09	7.8584225e-13	0.1	1.486739e-09	9.813957739999999e-06	0.1	1.486739e-09	2.2688858360000003e-23	0.1
1.614595e-09	1.3143178258377456e-07	0.1	1.614595e-09	7.900683700000001e-13	0.1	1.614595e-09	9.86756419e-06	0.1	1.614595e-09	2.297739257e-23	0.1
