Batch	m_SP	13	W2	W1	W3	W4	W5	W6	R	P1	P2	P3	P4	P5	P6																							
0.000986771	0.9873511	0.1	0.000986771	1.101386e-09	0.1	0.000986771	0.01264867	0.1	0.000986771	1.149757e-07	0.1	0.000986771	1.423871e-07	0.1	0.000986771	9.211324e-10	0.1	0.000986771	3.765149e-13	0.1	0.000986771	8.155818e-12	0.1	0.000986771	1.029441e-12	0.1	0.000986771	1.441171e-13	0.1	0.000986771	9.474677e-15	0.1	0.000986771	7.147385e-15	0.1	0.000986771	2.490376e-22	0.1
0.001856679	0.9763329	0.1	0.001856679	1.744839e-09	0.1	0.001856679	0.02366659	0.1	0.001856679	2.117568e-07	0.1	0.001856679	2.701042e-07	0.1	0.001856679	2.557207e-09	0.1	0.001856679	7.044696e-13	0.1	0.001856679	1.685942e-11	0.1	0.001856679	1.925547e-12	0.1	0.001856679	2.695634e-13	0.1	0.001856679	1.774882e-14	0.1	0.001856679	1.337045e-14	0.1	0.001856679	4.659027e-22	0.1
0.003290273	0.9584428	0.1	0.003290273	2.78961e-09	0.1	0.003290273	0.04155633	0.1	0.003290273	3.688997e-07	0.1	0.003290273	4.774775e-07	0.1	0.003290273	6.914531e-09	0.1	0.003290273	1.23689e-12	0.1	0.003290273	3.429544e-11	0.1	0.003290273	3.37773e-12	0.1	0.003290273	4.728573e-13	0.1	0.003290273	3.122625e-14	0.1	0.003290273	2.346237e-14	0.1	0.003290273	8.17743e-22	0.1
0.005476406	0.9317907	0.1	0.005476406	4.346078e-09	0.1	0.005476406	0.06820788	0.1	0.005476406	6.030063e-07	0.1	0.005476406	7.864158e-07	0.1	0.005476406	1.746348e-08	0.1	0.005476406	2.029757e-12	0.1	0.005476406	6.828792e-11	0.1	0.005476406	5.529554e-12	0.1	0.005476406	7.741344e-13	0.1	0.005476406	5.140628e-14	0.1	0.005476406	3.844674e-14	0.1	0.005476406	1.340764e-21	0.1
0.008595444	0.8950431	0.1	0.008595444	6.492118e-09	0.1	0.008595444	0.1049547	0.1	0.008595444	9.257899e-07	0.1	0.008595444	1.212377e-06	0.1	0.008595444	4.044509e-08	0.1	0.008595444	3.121909e-12	0.1	0.008595444	1.322462e-10	0.1	0.008595444	8.458262e-12	0.1	0.008595444	1.184363e-12	0.1	0.008595444	7.944122e-14	0.1	0.008595444	5.894241e-14	0.1	0.008595444	2.05817e-21	0.1
0.01435027	0.8310028	0.1	0.01435027	1.023204e-08	0.1	0.01435027	0.1689937	0.1	0.01435027	1.488307e-06	0.1	0.01435027	1.954701e-06	0.1	0.01435027	1.061898e-07	0.1	0.01435027	5.02025e-12	0.1	0.01435027	2.9786e-10	0.1	0.01435027	1.338522e-11	0.1	0.01435027	1.875457e-12	0.1	0.01435027	1.289371e-13	0.1	0.01435027	9.389714e-14	0.1	0.01435027	3.291053e-21	0.1
0.02123616	0.7603688	0.1	0.02123616	1.435703e-08	0.1	0.02123616	0.2396261	0.1	0.02123616	2.108742e-06	0.1	0.02123616	2.773457e-06	0.1	0.02123616	2.220398e-07	0.1	0.02123616	7.101913e-12	0.1	0.02123616	5.769233e-10	0.1	0.02123616	1.841234e-11	0.1	0.02123616	2.582995e-12	0.1	0.02123616	1.846e-13	0.1	0.02123616	1.306755e-13	0.1	0.02123616	4.610243e-21	0.1
0.02981863	0.680677	0.1	0.02981863	1.9011e-08	0.1	0.02981863	0.3193161	0.1	0.02981863	2.808741e-06	0.1	0.02981863	3.69721e-06	0.1	0.02981863	4.182038e-07	0.1	0.02981863	9.425808e-12	0.1	0.02981863	1.047667e-09	0.1	0.02981863	2.334555e-11	0.1	0.02981863	3.281874e-12	0.1	0.02981863	2.490051e-13	0.1	0.02981863	1.688713e-13	0.1	0.02981863	6.022059e-21	0.1
0.0384011	0.6093375	0.1	0.0384011	2.317721e-08	0.1	0.0384011	0.3906538	0.1	0.0384011	3.435375e-06	0.1	0.0384011	4.524147e-06	0.1	0.0384011	6.661686e-07	0.1	0.0384011	1.147253e-11	0.1	0.0384011	1.654282e-09	0.1	0.0384011	2.691208e-11	0.1	0.0384011	3.792717e-12	0.1	0.0384011	3.084184e-13	0.1	0.0384011	1.991265e-13	0.1	0.0384011	7.192663e-21	0.1
0.04698357	0.545475	0.1	0.04698357	2.690677e-08	0.1	0.04698357	0.4545148	0.1	0.04698357	3.996335e-06	0.1	0.04698357	5.264416e-06	0.1	0.04698357	9.604912e-07	0.1	0.04698357	1.326609e-11	0.1	0.04698357	2.396251e-09	0.1	0.04698357	2.931315e-11	0.1	0.04698357	4.142429e-12	0.1	0.04698357	3.633485e-13	0.1	0.04698357	2.223588e-13	0.1	0.04698357	8.146925e-21	0.1
0.05556604	0.4883058	0.1	0.05556604	3.024545e-08	0.1	0.05556604	0.5116825	0.1	0.05556604	4.498502e-06	0.1	0.05556604	5.9271e-06	0.1	0.05556604	1.296299e-06	0.1	0.05556604	1.482946e-11	0.1	0.05556604	3.273108e-09	0.1	0.05556604	3.077674e-11	0.1	0.05556604	4.361587e-12	0.1	0.05556604	4.142523e-13	0.1	0.05556604	2.396256e-13	0.1	0.05556604	8.912709e-21	0.1
0.06414851	0.4371283	0.1	0.06414851	3.323422e-08	0.1	0.06414851	0.5628585	0.1	0.06414851	4.948039e-06	0.1	0.06414851	6.520331e-06	0.1	0.06414851	1.669231e-06	0.1	0.06414851	1.618437e-11	0.1	0.06414851	4.284434e-09	0.1	0.06414851	3.151823e-11	0.1	0.06414851	4.479256e-12	0.1	0.06414851	4.615399e-13	0.1	0.06414851	2.519678e-13	0.1	0.06414851	9.517619e-21	0.1
0.0737686	0.3861117	0.1	0.0737686	3.62136e-08	0.1	0.0737686	0.6138736	0.1	0.0737686	5.396165e-06	0.1	0.0737686	7.1117e-06	0.1	0.0737686	2.126564e-06	0.1	0.0737686	1.748045e-11	0.1	0.0737686	5.577399e-09	0.1	0.0737686	3.17175e-11	0.1	0.0737686	4.521292e-12	0.1	0.0737686	5.106998e-13	0.1	0.0737686	2.611063e-13	0.1	0.0737686	1.003581e-20	0.1
0.08408043	0.3380195	0.1	0.08408043	3.902221e-08	0.1	0.08408043	0.6619643	0.1	0.08408043	5.818605e-06	0.1	0.08408043	7.669172e-06	0.1	0.08408043	2.657591e-06	0.1	0.08408043	1.863753e-11	0.1	0.08408043	7.149876e-09	0.1	0.08408043	3.141245e-11	0.1	0.08408043	4.491462e-12	0.1	0.08408043	5.593863e-13	0.1	0.08408043	2.666114e-13	0.1	0.08408043	1.043781e-20	0.1
0.09439227	0.2959175	0.1	0.09439227	4.1481e-08	0.1	0.09439227	0.7040648	0.1	0.09439227	6.188429e-06	0.1	0.09439227	8.157208e-06	0.1	0.09439227	3.225673e-06	0.1	0.09439227	1.958353e-11	0.1	0.09439227	8.914856e-09	0.1	0.09439227	3.075296e-11	0.1	0.09439227	4.409397e-12	0.1	0.09439227	6.044153e-13	0.1	0.09439227	2.687581e-13	0.1	0.09439227	1.071251e-20	0.1
0.1047041	0.2590597	0.1	0.1047041	4.363353e-08	0.1	0.1047041	0.7409213	0.1	0.1047041	6.512189e-06	0.1	0.1047041	8.584457e-06	0.1	0.1047041	3.826173e-06	0.1	0.1047041	2.034548e-11	0.1	0.1047041	1.087188e-08	0.1	0.1047041	2.987161e-11	0.1	0.1047041	4.293694e-12	0.1	0.1047041	6.462272e-13	0.1	0.1047041	2.684085e-13	0.1	0.1047041	1.08862e-20	0.1
0.1150159	0.2267929	0.1	0.1150159	4.551796e-08	0.1	0.1150159	0.7731868	0.1	0.1150159	6.795623e-06	0.1	0.1150159	8.958491e-06	0.1	0.1150159	4.455027e-06	0.1	0.1150159	2.094758e-11	0.1	0.1150159	1.302052e-08	0.1	0.1150159	2.886005e-11	0.1	0.1150159	4.157394e-12	0.1	0.1150159	6.852084e-13	0.1	0.1150159	2.662223e-13	0.1	0.1150159	1.098002e-20	0.1
