	T[K]	P2	P5
500 0.99991 0.00009
600 0.99813 0.00044
700 0.99727 0.00141
800 0.99517 0.00335
900 0.99216 0.00645
1000 0.98786 0.01069
1100 0.98285 0.01572
1200 0.87956 0.12044
1300 0.66702 0.33298
1400 0.86600 0.13400
1500 0.88638 0.11362
1600 0.87436 0.12564
1700 0.64803 0.35197
1800 0.77790 0.22210
1900 0.65893 0.34107
2000 0.79674 0.20326
2100 0.68457 0.31543
2200 0.80715 0.19285
2300 0.85675 0.14325
