Batch	m_SP	4	Pr2	W1	Pr1	Pr3					
0.001489571	9.8482885312812e-06	0.1	0.001489571	5.536718e-08	0.1	0.001489571	3.092575e-08	0.1	0.001489571	6.53195e-08	0.1
0.004159157	9.58230130128e-06	0.1	0.004159157	1.525035e-07	0.1	0.004159157	8.518197e-08	0.1	0.004159157	1.799162e-07	0.1
0.009498329	9.0716848391214e-06	0.1	0.009498329	3.389765e-07	0.1	0.009498329	1.893378e-07	0.1	0.009498329	3.999079e-07	0.1
0.01884786	8.2421995105699e-06	0.1	0.01884786	6.418982e-07	0.1	0.01884786	3.58537e-07	0.1	0.01884786	7.572802e-07	0.1
0.03174995	7.220618795692801e-06	0.1	0.03174995	1.014972e-06	0.1	0.03174995	5.669201e-07	0.1	0.03174995	1.197414e-06	0.1
0.04974999	6.00341695635e-06	0.1	0.04974999	1.459486e-06	0.1	0.04974999	8.152067e-07	0.1	0.04974999	1.72183e-06	0.1
0.06775003	4.991403112609199e-06	0.1	0.06775003	1.829067e-06	0.1	0.06775003	1.021639e-06	0.1	0.06775003	2.157843e-06	0.1
0.09495985	3.7759371361400003e-06	0.1	0.09495985	2.272948e-06	0.1	0.09495985	1.269572e-06	0.1	0.09495985	2.681513e-06	0.1
0.1221697	2.8564535808225e-06	0.1	0.1221697	2.608739e-06	0.1	0.1221697	1.45713e-06	0.1	0.1221697	3.077662e-06	0.1
0.1493795	2.160874586395e-06	0.1	0.1493795	2.86276e-06	0.1	0.1493795	1.599016e-06	0.1	0.1493795	3.377345e-06	0.1
0.1765893	1.6346769890594e-06	0.1	0.1765893	3.054925e-06	0.1	0.1765893	1.706351e-06	0.1	0.1765893	3.604052e-06	0.1
0.2037991	1.236615708494e-06	0.1	0.2037991	3.200296e-06	0.1	0.2037991	1.787549e-06	0.1	0.2037991	3.775553e-06	0.1
0.231009	9.3548591908894e-07	0.1	0.231009	3.310267e-06	0.1	0.231009	1.848974e-06	0.1	0.231009	3.905291e-06	0.1
0.2582188	7.0768494763042e-07	0.1	0.2582188	3.393459e-06	0.1	0.2582188	1.895442e-06	0.1	0.2582188	4.003437e-06	0.1
0.2854286	5.35355934168e-07	0.1	0.2854286	3.456393e-06	0.1	0.2854286	1.930594e-06	0.1	0.2854286	4.077683e-06	0.1
0.3137609	4.0035545417341e-07	0.1	0.3137609	3.505694e-06	0.1	0.3137609	1.958132e-06	0.1	0.3137609	4.135847e-06	0.1
0.346583	2.8592376795991995e-07	0.1	0.346583	3.547484e-06	0.1	0.346583	1.981474e-06	0.1	0.346583	4.185149e-06	0.1
0.3794052	2.0419959191302e-07	0.1	0.3794052	3.57733e-06	0.1	0.3794052	1.998144e-06	0.1	0.3794052	4.220359e-06	0.1
0.4122273	1.4583422286341998e-07	0.1	0.4122273	3.598644e-06	0.1	0.4122273	2.01005e-06	0.1	0.4122273	4.245505e-06	0.1
