Batch	m_SP	2	P2_L	W4_L	
7.794413e-13	9.89917901246e-06	0.1	7.794413e-13	8.6445139e-08	0.1
2.871872e-12	9.6340523151e-06	0.1	2.871872e-12	3.1437238000000003e-07	0.1
6.501003e-12	9.190987257442801e-06	0.1	6.501003e-12	6.9577295e-07	0.1
1.147662e-11	8.6165518038275e-06	0.1	1.147662e-11	1.1912142e-06	0.1
1.955205e-11	7.75983984806868e-06	0.1	1.955205e-11	1.9321751e-06	0.1
3.344812e-11	6.48062389257556e-06	0.1	3.344812e-11	3.0433956e-06	0.1
4.867466e-11	5.320152134645401e-06	0.1	4.867466e-11	4.0568462e-06	0.1
6.589692e-11	4.25633651766148e-06	0.1	6.589692e-11	4.9907959e-06	0.1
8.311918e-11	3.4054933048293402e-06	0.1	8.311918e-11	5.7414853e-06	0.1
1.003414e-10	2.7249013208736e-06	0.1	1.003414e-10	6.3445844e-06	0.1
1.175637e-10	2.1804359459889594e-06	0.1	1.175637e-10	6.8289063e-06	0.1
1.369179e-10	1.6973560245176502e-06	0.1	1.369179e-10	7.2601421e-06	0.1
1.576934e-10	1.297282886221e-06	0.1	1.576934e-10	7.6184854999999995e-06	0.1
1.784688e-10	9.915422763333e-07	0.1	1.784688e-10	7.8931562e-06	0.1
1.992443e-10	7.578774842385999e-07	0.1	1.992443e-10	8.103615e-06	0.1
2.208904e-10	5.7280169091188e-07	0.1	2.208904e-10	8.270682399999999e-06	0.1
2.460189e-10	4.138606087447e-07	0.1	2.460189e-10	8.4144557e-06	0.1
2.711474e-10	2.9902536033556e-07	0.1	2.711474e-10	8.5185263e-06	0.1
2.962759e-10	2.1605438276268e-07	0.1	2.962759e-10	8.593834600000002e-06	0.1
3.245059e-10	1.4996745061739999e-07	0.1	3.245059e-10	8.653899199999999e-06	0.1
3.548034e-10	1.0134784165063e-07	0.1	3.548034e-10	8.698140400000001e-06	0.1
