Batch	m_SP	4	W1	Pr1	Pr2	Pr3					
1.144407e-05	0.9892621	0.1	1.144407e-05	0.002743424	0.1	1.144407e-05	0.002493916	0.1	1.144407e-05	9.854092e-05	0.1
1.317011e-05	0.9876842	0.1	1.317011e-05	0.003159468	0.1	1.317011e-05	0.002867017	0.1	1.317011e-05	9.842328e-05	0.1
1.583288e-05	0.9852572	0.1	1.583288e-05	0.003799352	0.1	1.583288e-05	0.003440854	0.1	1.583288e-05	9.824227e-05	0.1
2.009331e-05	0.9813927	0.1	2.009331e-05	0.004818282	0.1	2.009331e-05	0.004354616	0.1	2.009331e-05	9.795395e-05	0.1
2.754905e-05	0.9746841	0.1	2.754905e-05	0.006587077	0.1	2.754905e-05	0.005940855	0.1	2.754905e-05	9.745322e-05	0.1
4.033033e-05	0.9633419	0.1	4.033033e-05	0.009577527	0.1	4.033033e-05	0.008622701	0.1	4.033033e-05	9.660598e-05	0.1
6.163247e-05	0.944871	0.1	6.163247e-05	0.01444745	0.1	6.163247e-05	0.01299022	0.1	6.163247e-05	9.52244e-05	0.1
0.0001042367	0.9094743	0.1	0.0001042367	0.02377948	0.1	0.0001042367	0.0213604	0.1	0.0001042367	9.257011e-05	0.1
0.0001809244	0.8505174	0.1	0.0001809244	0.03932047	0.1	0.0001809244	0.03530427	0.1	0.0001809244	8.812774e-05	0.1
0.000288509	0.7768086	0.1	0.000288509	0.05874187	0.1	0.000288509	0.05274527	0.1	0.000288509	8.253045e-05	0.1
0.0004296577	0.693355	0.1	0.0004296577	0.08071055	0.1	0.0004296577	0.07251255	0.1	0.0004296577	7.612243e-05	0.1
0.0006227415	0.598473	0.1	0.0006227415	0.1056388	0.1	0.0006227415	0.09503572	0.1	0.0006227415	6.871991e-05	0.1
0.0008158254	0.520776	0.1	0.0008158254	0.1259832	0.1	0.0008158254	0.1135485	0.1	0.0008158254	6.253581e-05	0.1
0.001008909	0.4562743	0.1	0.001008909	0.1427931	0.1	0.001008909	0.1289968	0.1	0.001008909	5.729076e-05	0.1
