	T[K]	W4	W5	W1
600 0.50113 0.49170 0.00542
700 0.48904 0.50415 0.00525
800 0.36405 0.59857 0.03595
900 0.36460 0.58436 0.04947
1000 0.34657 0.57742 0.07464
1100 0.41228 0.58627 0.00000
1200 0.00000 0.99866 0.00000
1300 0.00000 0.99863 0.00000
1400 0.00000 0.99870 0.00000
1500 0.00000 0.99850 0.00000
1600 0.00000 0.99866 0.00000
1700 0.00000 0.99795 0.00000
1800 0.00000 0.99802 0.00000
1900 0.00000 0.99798 0.00000
2000 0.00000 0.99794 0.00000
2100 0.00000 0.99791 0.00000
2200 0.33262 0.33262 0.33262
2300 0.33261 0.33261 0.33261
