	T[K]	W4	W5	W1
600 0.41020 0.49834 0.08964
700 0.38827 0.54157 0.06833
800 0.38808 0.55224 0.05804
900 0.37013 0.57248 0.05576
1000 0.36392 0.57687 0.05768
1100 0.35577 0.57715 0.06557
1200 0.34270 0.57591 0.07990
1300 0.32659 0.57071 0.10125
1400 0.42904 0.56950 0.00000
1500 0.00000 0.99853 0.00000
1600 0.00000 0.99866 0.00000
1700 0.00000 0.99867 0.00000
1800 0.00000 0.99866 0.00000
1900 0.00000 0.99845 0.00000
2000 0.00000 0.99768 0.00000
2100 0.00000 0.99822 0.00000
2200 0.00000 0.99843 0.00000
2300 0.00000 0.99839 0.00000
2400 0.00000 0.99840 0.00000
2500 0.00000 0.99841 0.00000
