	T[K]	W4	W5	W1
600 0.36614 0.09099 0.54104
700 0.41924 0.16536 0.41356
800 0.44118 0.25493 0.30215
900 0.43770 0.34377 0.21688
1000 0.41999 0.42005 0.15838
1100 0.39783 0.47667 0.12388
1200 0.37637 0.51452 0.10766
1300 0.35883 0.53507 0.10461
1400 0.34184 0.54603 0.11060
1500 0.32560 0.54961 0.12327
1600 0.31026 0.54719 0.14112
1700 0.45863 0.53992 0.00000
1800 0.00000 0.99854 0.00000
1900 0.00000 0.99868 0.00000
2000 0.00000 0.99855 0.00000
2100 0.00000 0.99853 0.00000
2200 0.00000 0.99847 0.00000
2300 0.00000 0.99819 0.00000
2400 0.00000 0.99761 0.00000
2500 0.00000 0.99865 0.00000
