	T[K]	W4	W5	W1
600 0.65541 0.29334 0.05125
700 0.52762 0.41090 0.05907
800 0.45036 0.48844 0.05885
900 0.40642 0.53335 0.05677
1000 0.38250 0.55698 0.05706
1100 0.36657 0.56800 0.06174
1200 0.35169 0.57155 0.07236
1300 0.33055 0.56993 0.09598
1400 0.42224 0.57478 0.00000
1500 0.00000 0.99717 0.00000
1600 0.00000 0.99697 0.00000
1700 0.00000 0.99593 0.00000
1800 0.00000 0.99704 0.00000
1900 0.00000 0.99761 0.00000
2000 0.00000 0.99688 0.00000
2100 0.00000 0.99653 0.00000
2200 0.00000 0.99705 0.00000
2300 0.00000 0.99720 0.00000
2400 0.00000 0.99726 0.00000
2500 0.00000 0.99717 0.00000
