	T[K]	W4	W5	W1
600 0.92360 0.05912 0.01728
700 0.84898 0.11793 0.03309
800 0.75665 0.19312 0.04970
900 0.65935 0.27563 0.06314
1000 0.56953 0.35660 0.07179
1100 0.49708 0.42330 0.07612
1200 0.44310 0.47351 0.07976
1300 0.40478 0.50813 0.08423
1400 0.37646 0.52833 0.09252
1500 0.35119 0.53905 0.10738
1600 0.31449 0.54297 0.13834
1700 0.45865 0.53697 0.00000
1800 0.00000 0.99759 0.00000
1900 0.00000 0.99703 0.00000
2000 0.00000 0.99589 0.00000
2100 0.00000 0.99719 0.00000
2200 0.00000 0.99716 0.00000
2300 0.00000 0.99702 0.00000
2400 0.00000 0.99536 0.00000
2500 0.00000 0.99715 0.00000
