	T[K]	W4	W5	W1
600 0.38123 0.58317 0.03264
700 0.37904 0.58560 0.03251
800 0.37617 0.58675 0.03429
900 0.37047 0.58494 0.04128
1000 0.35428 0.58029 0.06214
1100 0.39622 0.59929 0.00000
1200 0.00000 0.99700 0.00000
1300 0.00000 0.99766 0.00000
1400 0.00000 0.99499 0.00000
1500 0.00000 0.99658 0.00000
1600 0.00000 0.99734 0.00000
1700 0.00000 0.99754 0.00000
1800 0.00000 0.99711 0.00000
1900 0.00000 0.99728 0.00000
2000 0.00000 0.99716 0.00000
2100 0.00000 0.99729 0.00000
2200 0.33237 0.33237 0.33237
2300 0.33242 0.33242 0.33242
2400 0.33240 0.33240 0.33240
2500 0.33243 0.33243 0.33243
