Batch	m_SP	5	W2	W1	Pr1	Pr2	Pr3							
2620.392	0.9887092	0.1	2620.392	0.005151093	0.1	2620.392	0.003069843	0.1	2620.392	4.630781e-09	0.1	2620.392	5.107649e-13	0.1
5472.959	0.9766014	0.1	5472.959	0.01067494	0.1	5472.959	0.006361835	0.1	5472.959	9.596669e-09	0.1	5472.959	7.007271e-13	0.1
10136.17	0.9572098	0.1	10136.17	0.0195218	0.1	10136.17	0.0116342	0.1	10136.17	1.754991e-08	0.1	10136.17	7.092576e-13	0.1
17151.82	0.9289422	0.1	17151.82	0.03241803	0.1	17151.82	0.01931983	0.1	17151.82	2.914349e-08	0.1	17151.82	1.513701e-12	0.1
25673.6	0.8960027	0.1	25673.6	0.04744574	0.1	25673.6	0.02827574	0.1	25673.6	4.265327e-08	0.1	25673.6	0.0	0.1
35667.68	0.8592109	0.1	35667.68	0.06423095	0.1	35667.68	0.03827904	0.1	35667.68	5.774301e-08	0.1	35667.68	1.094231e-12	0.1
46029.84	0.8230255	0.1	46029.84	0.08073945	0.1	46029.84	0.04811743	0.1	46029.84	7.258401e-08	0.1	46029.84	0.0	0.1
58610.84	0.781585	0.1	58610.84	0.09964552	0.1	58610.84	0.05938467	0.1	58610.84	8.958039e-08	0.1	58610.84	1.14182e-12	0.1
71191.84	0.7426736	0.1	71191.84	0.1173977	0.1	71191.84	0.06996423	0.1	71191.84	1.055395e-07	0.1	71191.84	0.0	0.1
83772.84	0.7060949	0.1	83772.84	0.1340857	0.1	83772.84	0.07990958	0.1	83772.84	1.205418e-07	0.1	83772.84	1.031624e-12	0.1
96353.83	0.6716715	0.1	96353.83	0.1497904	0.1	96353.83	0.0892689	0.1	96353.83	1.346602e-07	0.1	96353.83	0.0	0.1
108934.8	0.6392434	0.1	108934.8	0.1645848	0.1	108934.8	0.09808573	0.1	108934.8	1.479603e-07	0.1	108934.8	9.71711e-13	0.1
122550.0	0.6062301	0.1	122550.0	0.1796463	0.1	122550.0	0.1070617	0.1	122550.0	1.615004e-07	0.1	122550.0	0.0	0.1
137716.3	0.571804	0.1	137716.3	0.1953522	0.1	137716.3	0.1164217	0.1	137716.3	1.7562e-07	0.1	137716.3	1.008667e-12	0.1
152882.7	0.5396542	0.1	152882.7	0.2100197	0.1	152882.7	0.1251628	0.1	152882.7	1.88806e-07	0.1	152882.7	0.0	0.1
168049.1	0.5095956	0.1	168049.1	0.2237332	0.1	168049.1	0.1333354	0.1	168049.1	2.011343e-07	0.1	168049.1	8.989343e-13	0.1
183215.4	0.4814617	0.1	183215.4	0.2365686	0.1	183215.4	0.1409846	0.1	183215.4	2.126733e-07	0.1	183215.4	0.0	0.1
198381.8	0.4551029	0.1	198381.8	0.2485942	0.1	198381.8	0.1481512	0.1	198381.8	2.234842e-07	0.1	198381.8	8.028126e-13	0.1
213548.1	0.4303837	0.1	213548.1	0.2598718	0.1	213548.1	0.154872	0.1	213548.1	2.336227e-07	0.1	213548.1	0.0	0.1
