	T[K]	N7a	N7b	N7c
600 0.00000 0.99203 0.00797
700 0.00000 0.99361 0.00639
800 0.00000 0.99534 0.00466
900 0.00000 0.99491 0.00509
1000 0.00000 0.99600 0.00400
1100 0.00000 0.99657 0.00342
1200 0.00000 0.99651 0.00349
1300 0.00001 0.99701 0.00299
1400 0.00001 0.99660 0.00339
1500 0.00001 0.99697 0.00301
1600 0.00002 0.99684 0.00314
1700 0.00002 0.99696 0.00302
1800 0.00003 0.99718 0.00280
1900 0.00003 0.99684 0.00313
2000 0.00004 0.99716 0.00280
