	T[K]	N7a	N7b	N7c
700 0.00242 0.12691 0.86832
800 0.00420 0.13057 0.86286
900 0.00645 0.13399 0.85816
1000 0.00907 0.13705 0.85249
1100 0.01199 0.14001 0.84694
1200 0.01514 0.14286 0.84108
1300 0.01845 0.14563 0.83495
1400 0.02187 0.14838 0.82859
1500 0.02538 0.15118 0.82238
1600 0.02893 0.15398 0.81593
1700 0.03251 0.15682 0.80954
1800 0.03607 0.15966 0.80310
1900 0.03960 0.16248 0.79666
2000 0.04305 0.16520 0.79002
