Batch	m_SP	4	N1a_L	T1a_L	T4a_L	N7a_L					
1.336605e-11	9.7369991361224e-06	0.1	1.336605e-11	2.3485564e-07	0.1	1.336605e-11	1.4749039139999999e-12	0.1	1.336605e-11	6.2804953e-19	0.1
2.860746e-11	9.445743356742279e-06	0.1	2.860746e-11	4.95137935e-07	0.1	2.860746e-11	3.11012166e-12	0.1	2.860746e-11	2.8106308e-18	0.1
6.388565e-11	8.804580384377064e-06	0.1	6.388565e-11	1.0681066e-06	0.1	6.388565e-11	6.7123442510000005e-12	0.1	6.388565e-11	1.3283391000000001e-17	0.1
1.273864e-10	7.758173251734606e-06	0.1	1.273864e-10	2.00318026e-06	0.1	1.273864e-10	1.2599904990000001e-11	0.1	1.273864e-10	4.7999296e-17	0.1
2.071062e-10	6.618747234801895e-06	0.1	2.071062e-10	3.0213061400000004e-06	0.1	2.071062e-10	1.9026159980000002e-11	0.1	2.071062e-10	1.12767647e-16	0.1
2.92935e-10	5.578360971255735e-06	0.1	2.92935e-10	3.95085135e-06	0.1	2.92935e-10	2.491282342e-11	0.1	2.92935e-10	1.9924177999999998e-16	0.1
3.92684e-10	4.572909826116982e-06	0.1	3.92684e-10	4.84907017e-06	0.1	3.92684e-10	3.062634137e-11	0.1	3.92684e-10	3.1096809e-16	0.1
5.017132e-10	3.6800134521446593e-06	0.1	5.017132e-10	5.646599440000001e-06	0.1	5.017132e-10	3.573018414e-11	0.1	5.017132e-10	4.3700268e-16	0.1
6.107424e-10	2.9614692663172008e-06	0.1	6.107424e-10	6.2882540000000004e-06	0.1	6.107424e-10	3.986867694e-11	0.1	6.107424e-10	5.599556699999999e-16	0.1
7.197717e-10	2.3832307277697603e-06	0.1	7.197717e-10	6.804469e-06	0.1	7.197717e-10	4.323037692e-11	0.1	7.197717e-10	6.7545801e-16	0.1
8.332275e-10	1.9010592930303565e-06	0.1	8.332275e-10	7.234767500000001e-06	0.1	8.332275e-10	4.606676587e-11	0.1	8.332275e-10	7.8528126e-16	0.1
9.6439e-10	1.4638801592652204e-06	0.1	9.6439e-10	7.6247229e-06	0.1	9.6439e-10	4.868023709e-11	0.1	9.6439e-10	8.9778359e-16	0.1
1.095552e-09	1.1272415051601414e-06	0.1	1.095552e-09	7.924793e-06	0.1	1.095552e-09	5.0737217139999996e-11	0.1	1.095552e-09	9.948133699999999e-16	0.1
1.226715e-09	8.68020334190177e-07	0.1	1.226715e-09	8.1556513e-06	0.1	1.226715e-09	5.236575539e-11	0.1	1.226715e-09	1.07733249e-15	0.1
1.357877e-09	6.684122870471959e-07	0.1	1.357877e-09	8.3332196e-06	0.1	1.357877e-09	5.3664424050000005e-11	0.1	1.357877e-09	1.14677582e-15	0.1
1.510438e-09	4.93227265009917e-07	0.1	1.510438e-09	8.4888137e-06	0.1	1.510438e-09	5.48596619e-11	0.1	1.510438e-09	1.21322413e-15	0.1
1.668347e-09	3.6010060772843005e-07	0.1	1.668347e-09	8.606782200000001e-06	0.1	1.668347e-09	5.58301595e-11	0.1	1.668347e-09	1.26830623e-15	0.1
1.826257e-09	2.62907789820469e-07	0.1	1.826257e-09	8.692633799999999e-06	0.1	1.826257e-09	5.6601916659999997e-11	0.1	1.826257e-09	1.31195493e-15	0.1
1.9905e-09	1.8954242797038186e-07	0.1	1.9905e-09	8.7571564e-06	0.1	1.9905e-09	5.7251340989999995e-11	0.1	1.9905e-09	1.3475862e-15	0.1
2.180077e-09	1.2992592280518325e-07	0.1	2.180077e-09	8.809235399999999e-06	0.1	2.180077e-09	5.7862409950000004e-11	0.1	2.180077e-09	1.3789909e-15	0.1
