	T[K]	N1a	N1b	N1c
600 0.00043 0.94118 0.05838
700 0.00029 0.95628 0.04109
800 0.00087 0.93170 0.06506
900 0.00199 0.90388 0.09273
1000 0.00374 0.87337 0.12150
1100 0.00610 0.84345 0.14940
1200 0.00894 0.81498 0.17515
1300 0.01215 0.78858 0.19829
1400 0.01561 0.76439 0.21884
1500 0.01923 0.74262 0.23709
1600 0.02291 0.72272 0.25321
1700 0.02662 0.70470 0.26754
1800 0.03031 0.68829 0.28023
1900 0.03393 0.67331 0.29150
2000 0.03745 0.65943 0.30139
