Batch	m_SP	7	W4_L	W3	R	P1	P2_L	P3	P4											
5.626055e-07	0.9880458	0.1	5.626055e-07	4.699112e-06	0.1	5.626055e-07	0.0002399834	0.1	5.626055e-07	0.002832335	0.1	5.626055e-07	0.00207080896	0.1	5.626055e-07	0.0002202689	0.1	5.626055e-07	5.208988e-08	0.1
6.574659e-07	0.9862764	0.1	6.574659e-07	5.539087e-06	0.1	6.574659e-07	0.0002832076	0.1	6.574659e-07	0.00334214	0.1	6.574659e-07	0.00236810504	0.1	6.574659e-07	0.000253338	0.1	6.574659e-07	7.265863e-08	0.1
7.238749e-07	0.9850464	0.1	7.238749e-07	6.138607e-06	0.1	7.238749e-07	0.0003141368	0.1	7.238749e-07	0.003706882	0.1	7.238749e-07	0.00256431264	0.1	7.238749e-07	0.0002755244	0.1	7.238749e-07	8.984268e-08	0.1
8.513478e-07	0.9827063	0.1	8.513478e-07	7.317102e-06	0.1	8.513478e-07	0.0003751145	0.1	8.513478e-07	0.004425954	0.1	8.513478e-07	0.00291238194	0.1	8.513478e-07	0.0003157506	0.1	8.513478e-07	1.295489e-07	0.1
9.907192e-07	0.9801792	0.1	9.907192e-07	8.647971e-06	0.1	9.907192e-07	0.000444223	0.1	9.907192e-07	0.005241112	0.1	9.907192e-07	0.00324952428	0.1	9.907192e-07	0.0003560381	0.1	9.907192e-07	1.832649e-07	0.1
1.177685e-06	0.9768398	0.1	1.177685e-06	1.050106e-05	0.1	1.177685e-06	0.0005407605	0.1	1.177685e-06	0.00638091	0.1	1.177685e-06	0.00363261704	0.1	1.177685e-06	0.000403941	0.1	1.177685e-06	2.719189e-07	0.1
1.30856e-06	0.9745351	0.1	1.30856e-06	1.184129e-05	0.1	1.30856e-06	0.0006107029	0.1	1.30856e-06	0.007208143	0.1	1.30856e-06	0.00385676496	0.1	1.30856e-06	0.0004333785	0.1	1.30856e-06	3.446488e-07	0.1
1.402043e-06	0.9729044	0.1	1.402043e-06	1.281834e-05	0.1	1.402043e-06	0.0006617069	0.1	1.402043e-06	0.00781248	0.1	1.402043e-06	0.0039965905	0.1	1.402043e-06	0.0004524328	0.1	1.402043e-06	4.015654e-07	0.1
1.557423e-06	0.9702207	0.1	1.557423e-06	1.447492e-05	0.1	1.557423e-06	0.0007481209	0.1	1.557423e-06	0.008839129	0.1	1.557423e-06	0.004195294600000001	0.1	1.557423e-06	0.0004806843	0.1	1.557423e-06	5.045011e-07	0.1
1.712804e-06	0.9675677	0.1	1.712804e-06	1.616688e-05	0.1	1.712804e-06	0.0008361799	0.1	1.712804e-06	0.009889816	0.1	1.712804e-06	0.0043569414	0.1	1.712804e-06	0.0005050008	0.1	1.712804e-06	6.166963e-07	0.1
