Batch	m_SP	7	W3	W4_L	R	P1	P2_L	P3	P4											
1.252671e-09	0.981239	0.1	1.252671e-09	3.705108e-109	0.1	1.252671e-09	7.596765e-06	0.1	1.252671e-09	0.002420818	0.1	1.252671e-09	5.0644257e-05	0.1	1.252671e-09	1.026519e-05	0.1	1.252671e-09	0.006891196	0.1
2.547382e-09	0.9623978	0.1	2.547382e-09	7.426395000000001e-109	0.1	2.547382e-09	1.52348e-05	0.1	2.547382e-09	0.004853128	0.1	2.547382e-09	0.00010155832500000001	0.1	2.547382e-09	2.058794e-05	0.1	2.547382e-09	0.01381057	0.1
4.203215e-09	0.9390824	0.1	4.203215e-09	1.2032505e-108	0.1	4.203215e-09	2.471362e-05	0.1	4.203215e-09	0.007866586	0.1	4.203215e-09	0.000164726698	0.1	4.203215e-09	3.3404e-05	0.1	4.203215e-09	0.02236935	0.1
6.736629e-09	0.9050182	0.1	6.736629e-09	1.8766059e-108	0.1	6.736629e-09	3.865769e-05	0.1	6.736629e-09	0.0122818	0.1	6.736629e-09	0.00025759398999999997	0.1	6.736629e-09	5.227655e-05	0.1	6.736629e-09	0.03486059	0.1
1.005432e-08	0.8631466	0.1	1.005432e-08	2.7053565e-108	0.1	1.005432e-08	5.605696e-05	0.1	1.005432e-08	0.01774288	0.1	1.005432e-08	0.0003733112	0.1	1.005432e-08	7.587644e-05	0.1	1.005432e-08	0.05017858	0.1
1.376114e-08	0.8197235	0.1	1.376114e-08	3.56679e-108	0.1	1.376114e-08	7.458202e-05	0.1	1.376114e-08	0.02346905	0.1	1.376114e-08	0.000496203	0.1	1.376114e-08	0.0001010933	0.1	1.376114e-08	0.0659973	0.1
1.746795e-08	0.7795159	0.1	1.746795e-08	4.367094e-108	0.1	1.746795e-08	9.238702e-05	0.1	1.746795e-08	0.02885582	0.1	1.746795e-08	0.0006138708700000001	0.1	1.746795e-08	0.0001254424	0.1	1.746795e-08	0.08055453	0.1
2.219479e-08	0.7324342	0.1	2.219479e-08	5.308884e-108	0.1	2.219479e-08	0.0001143855	0.1	2.219479e-08	0.03531172	0.1	2.219479e-08	0.00075840182	0.1	2.219479e-08	0.000155701	0.1	2.219479e-08	0.09744271	0.1
2.760164e-08	0.6836948	0.1	2.760164e-08	6.2912730000000005e-108	0.1	2.760164e-08	0.0001390141	0.1	2.760164e-08	0.04223169	0.1	2.760164e-08	0.00091869889	0.1	2.760164e-08	0.0001898059	0.1	2.760164e-08	0.1146734	0.1
3.398596e-08	0.6322739	0.1	3.398596e-08	7.339293e-108	0.1	3.398596e-08	0.0001679303	0.1	3.398596e-08	0.04990094	0.1	3.398596e-08	0.00110419806	0.1	3.398596e-08	0.0002300917	0.1	3.398596e-08	0.1324599	0.1
4.061466e-08	0.5849446	0.1	4.061466e-08	8.318526e-108	0.1	4.061466e-08	0.000198325	0.1	4.061466e-08	0.05742514	0.1	4.061466e-08	0.00129519899	0.1	4.061466e-08	0.0002725622	0.1	4.061466e-08	0.1483364	0.1
4.782537e-08	0.5394536	0.1	4.782537e-08	9.2778e-108	0.1	4.782537e-08	0.0002323517	0.1	4.782537e-08	0.06523331	0.1	4.782537e-08	0.0015031880600000001	0.1	4.782537e-08	0.0003199849	0.1	4.782537e-08	0.1629843	0.1
5.59091e-08	0.4947578	0.1	5.59091e-08	1.0243565999999999e-107	0.1	5.59091e-08	0.0002722109	0.1	5.59091e-08	0.07364755	0.1	5.59091e-08	0.00173780928	0.1	5.59091e-08	0.000374953	0.1	5.59091e-08	0.1765885	0.1
6.399284e-08	0.4556869	0.1	6.399284e-08	1.1112834000000001e-107	0.1	6.399284e-08	0.000314297	0.1	6.399284e-08	0.08180352	0.1	6.399284e-08	0.0019739181	0.1	6.399284e-08	0.0004318394	0.1	6.399284e-08	0.1876329	0.1
7.207657e-08	0.4213593	0.1	7.207657e-08	1.1901591e-107	0.1	7.207657e-08	0.0003589105	0.1	7.207657e-08	0.08977082	0.1	7.207657e-08	0.0022104282	0.1	7.207657e-08	0.000490415	0.1	7.207657e-08	0.1964897	0.1
8.01603e-08	0.3910521	0.1	8.01603e-08	1.2622527e-107	0.1	8.01603e-08	0.0004062557	0.1	8.01603e-08	0.09759351	0.1	8.01603e-08	0.0024455825	0.1	8.01603e-08	0.0005502844	0.1	8.01603e-08	0.2034782	0.1
8.824404e-08	0.3641682	0.1	8.824404e-08	1.3285794e-107	0.1	8.824404e-08	0.000456466	0.1	8.824404e-08	0.1052977	0.1	8.824404e-08	0.0026772773999999997	0.1	8.824404e-08	0.0006109502	0.1	8.824404e-08	0.2088734	0.1
9.632777e-08	0.3402118	0.1	9.632777e-08	1.3899573e-107	0.1	9.632777e-08	0.0005096186	0.1	9.632777e-08	0.1128969	0.1	9.632777e-08	0.0029032957	0.1	9.632777e-08	0.0006718627	0.1	9.632777e-08	0.2129122	0.1
1.044115e-07	0.3187693	0.1	1.044115e-07	1.4470490999999998e-107	0.1	1.044115e-07	0.0005657431	0.1	1.044115e-07	0.1203966	0.1	1.044115e-07	0.0031214983	0.1	1.044115e-07	0.0007324572	0.1	1.044115e-07	0.2157989	0.1
1.124952e-07	0.2994939	0.1	1.124952e-07	1.5003965999999998e-107	0.1	1.124952e-07	0.000624826	0.1	1.124952e-07	0.1277966	0.1	1.124952e-07	0.0033299481	0.1	1.124952e-07	0.0007921826	0.1	1.124952e-07	0.2177092	0.1
1.20579e-07	0.2820943	0.1	1.20579e-07	1.550445e-107	0.1	1.20579e-07	0.0006868124	0.1	1.20579e-07	0.1350936	0.1	1.20579e-07	0.0035269955	0.1	1.20579e-07	0.0008505221	0.1	1.20579e-07	0.2187946	0.1
1.286627e-07	0.2663241	0.1	1.286627e-07	1.5975636e-107	0.1	1.286627e-07	0.0007516086	0.1	1.286627e-07	0.1422824	0.1	1.286627e-07	0.0037113245	0.1	1.286627e-07	0.0009070083	0.1	1.286627e-07	0.2191852	0.1
1.367464e-07	0.2519749	0.1	1.367464e-07	1.6420611e-107	0.1	1.367464e-07	0.0008190831	0.1	1.367464e-07	0.1493571	0.1	1.367464e-07	0.0038819691	0.1	1.367464e-07	0.0009612334	0.1	1.367464e-07	0.2189927	0.1
1.45873e-07	0.2372617	0.1	1.45873e-07	1.6894716e-107	0.1	1.45873e-07	0.000898272	0.1	1.45873e-07	0.1571998	0.1	1.45873e-07	0.0040574197	0.1	1.45873e-07	0.001019309	0.1	1.45873e-07	0.218194	0.1
1.556947e-07	0.2229541	0.1	1.556947e-07	1.7374872e-107	0.1	1.556947e-07	0.0009867429	0.1	1.556947e-07	0.1654594	0.1	1.556947e-07	0.0042254246	0.1	1.556947e-07	0.00107766	0.1	1.556947e-07	0.2167733	0.1
1.668241e-07	0.2083811	0.1	1.668241e-07	1.7885274e-107	0.1	1.668241e-07	0.001090558	0.1	1.668241e-07	0.174582	0.1	1.668241e-07	0.0043898591	0.1	1.668241e-07	0.001138166	0.1	1.668241e-07	0.2146083	0.1
1.788252e-07	0.1943264	0.1	1.788252e-07	1.8399866999999998e-107	0.1	1.788252e-07	0.001206021	0.1	1.788252e-07	0.1841264	0.1	1.788252e-07	0.0045373069	0.1	1.788252e-07	0.001196418	0.1	1.788252e-07	0.2117701	0.1
1.908263e-07	0.1817308	0.1	1.908263e-07	1.8881271e-107	0.1	1.908263e-07	0.001324278	0.1	1.908263e-07	0.1933587	0.1	1.908263e-07	0.0046556155999999994	0.1	1.908263e-07	0.001247318	0.1	1.908263e-07	0.2085481	0.1
2.028274e-07	0.1703759	0.1	2.028274e-07	1.9332854999999998e-107	0.1	2.028274e-07	0.001444438	0.1	2.028274e-07	0.2022742	0.1	2.028274e-07	0.0047471968	0.1	2.028274e-07	0.001290988	0.1	2.028274e-07	0.2050546	0.1
2.148285e-07	0.1600842	0.1	2.148285e-07	1.9757457e-107	0.1	2.148285e-07	0.001565624	0.1	2.148285e-07	0.2108716	0.1	2.148285e-07	0.0048147468	0.1	2.148285e-07	0.001327725	0.1	2.148285e-07	0.2013775	0.1
