Batch	m_SP	4	N7a_L	T1a_L	T4a_L	N1a_L					
4.500407e-12	9.788998356117198e-06	0.1	4.500407e-12	5.9698112000000005e-18	0.1	4.500407e-12	2.1080770800000002e-07	0.1	4.500407e-12	6.1364599853e-38	0.1
9.986376e-12	9.5381535131144e-06	0.1	9.986376e-12	1.30739052e-17	0.1	9.986376e-12	4.6165954000000004e-07	0.1	9.986376e-12	2.9524765416e-37	0.1
2.069315e-11	9.0673013603458e-06	0.1	2.069315e-11	2.64094575e-17	0.1	2.069315e-11	9.325245829999999e-07	0.1	2.069315e-11	1.2119306813000001e-36	0.1
3.97274e-11	8.2878638694074e-06	0.1	3.97274e-11	4.8486187000000005e-17	0.1	3.97274e-11	1.71198314e-06	0.1	3.97274e-11	4.1265895841e-36	0.1
6.598799e-11	7.3229316284381995e-06	0.1	6.598799e-11	7.5817398e-17	0.1	6.598799e-11	2.6769428e-06	0.1	6.598799e-11	1.022328058e-35	0.1
1.021196e-10	6.178459978328999e-06	0.1	1.021196e-10	1.08230331e-16	0.1	1.021196e-10	3.82144588e-06	0.1	1.021196e-10	2.1180413557e-35	0.1
1.382512e-10	5.2147144436252e-06	0.1	1.382512e-10	1.3551682000000004e-16	0.1	1.382512e-10	4.785217539999999e-06	0.1	1.382512e-10	3.3705822134e-35	0.1
1.913881e-10	4.065770362966399e-06	0.1	1.913881e-10	1.68028424e-16	0.1	1.913881e-10	5.9341931e-06	0.1	1.913881e-10	5.2828139707e-35	0.1
2.445249e-10	3.1714818090951997e-06	0.1	2.445249e-10	1.9331119e-16	0.1	2.445249e-10	6.82850629e-06	0.1	2.445249e-10	7.108408331999999e-35	0.1
2.976617e-10	2.4747808643927794e-06	0.1	2.976617e-10	2.12986436e-16	0.1	2.976617e-10	7.525226730000001e-06	0.1	2.976617e-10	8.750793646999999e-35	0.1
3.507985e-10	1.9316432863616e-06	0.1	3.507985e-10	2.28306197e-16	0.1	3.507985e-10	8.06837926e-06	0.1	3.507985e-10	1.0174770519e-34	0.1
4.039354e-10	1.5080095082066201e-06	0.1	4.039354e-10	2.40239535e-16	0.1	4.039354e-10	8.492024780000002e-06	0.1	4.039354e-10	1.1379048104e-34	0.1
4.570722e-10	1.1774591903452e-06	0.1	4.570722e-10	2.49537921e-16	0.1	4.570722e-10	8.822584220000002e-06	0.1	4.570722e-10	1.2379673652e-34	0.1
5.10209e-10	9.194670141919219e-07	0.1	5.10209e-10	2.56784927e-16	0.1	5.10209e-10	9.080583029999999e-06	0.1	5.10209e-10	1.3200345372000002e-34	0.1
5.633458e-10	7.180633015467379e-07	0.1	5.633458e-10	2.6243414400000003e-16	0.1	5.633458e-10	9.28199215e-06	0.1	5.633458e-10	1.3866809487999998e-34	0.1
6.273826e-10	5.3308860051475e-07	0.1	6.273826e-10	2.67614251e-16	0.1	6.273826e-10	9.46697157e-06	0.1	6.273826e-10	1.4500219669e-34	0.1
6.914193e-10	3.9578930925549595e-07	0.1	6.914193e-10	2.71452416e-16	0.1	6.914193e-10	9.60427534e-06	0.1	6.914193e-10	1.4984514369999998e-34	0.1
7.55456e-10	2.9386560553034084e-07	0.1	7.55456e-10	2.74296644e-16	0.1	7.55456e-10	9.70620264e-06	0.1	7.55456e-10	1.5352400004000001e-34	0.1
8.220762e-10	2.155912822981158e-07	0.1	8.220762e-10	2.7647702999999995e-16	0.1	8.220762e-10	9.78447818e-06	0.1	8.220762e-10	1.5640104216e-34	0.1
8.990305e-10	1.507511750061982e-07	0.1	8.990305e-10	2.7827968799999998e-16	0.1	8.990305e-10	9.849320070000001e-06	0.1	8.990305e-10	1.5882069404999999e-34	0.1
9.759847e-10	1.0541445801567306e-07	0.1	9.759847e-10	2.7953754e-16	0.1	9.759847e-10	9.89465917e-06	0.1	9.759847e-10	1.6053340333e-34	0.1
