Batch	m_SP	2	P2_L	W4_L	
3.296215e-11	9.7860193184166e-06	0.1	3.296215e-11	4.9869060000000005e-118	0.1
6.959354e-11	9.5552580243244e-06	0.1	6.959354e-11	1.0449747e-117	0.1
1.58118e-10	9.0256761646359e-06	0.1	1.58118e-10	2.3317287e-117	0.1
2.906392e-10	8.301084183140699e-06	0.1	2.906392e-10	4.173774e-117	0.1
3.726509e-10	7.889722578311201e-06	0.1	3.726509e-10	5.2658759999999995e-117	0.1
4.900217e-10	7.3452326667705e-06	0.1	4.900217e-10	6.768875999999999e-117	0.1
6.630841e-10	6.6267525693018995e-06	0.1	6.630841e-10	8.864414999999999e-117	0.1
8.673811e-10	5.889452772553e-06	0.1	8.673811e-10	1.1168267999999999e-116	0.1
1.106265e-09	5.153454314128e-06	0.1	1.106265e-09	1.3651857000000002e-116	0.1
1.397029e-09	4.4054121836313e-06	0.1	1.397029e-09	1.6403574000000002e-116	0.1
1.687794e-09	3.7860108328822002e-06	0.1	1.687794e-09	1.8894099000000002e-116	0.1
1.978558e-09	3.2682033513408e-06	0.1	1.978558e-09	2.1156759e-116	0.1
2.269323e-09	2.83163444287712e-06	0.1	2.269323e-09	2.3220084e-116	0.1
2.560087e-09	2.4608218021128e-06	0.1	2.560087e-09	2.5108656e-116	0.1
2.874251e-09	2.12038761183785e-06	0.1	2.874251e-09	2.6977296e-116	0.1
3.223515e-09	1.8017100714295199e-06	0.1	3.223515e-09	2.8872522e-116	0.1
3.572779e-09	1.5342673393116e-06	0.1	3.572779e-09	3.060225e-116	0.1
3.964683e-09	1.28365427155602e-06	0.1	3.964683e-09	3.237486e-116	0.1
4.385013e-09	1.0619666268858e-06	0.1	4.385013e-09	3.410868e-116	0.1
4.82269e-09	8.728667607132799e-07	0.1	4.82269e-09	3.576009e-116	0.1
5.329753e-09	6.9627153790862e-07	0.1	5.329753e-09	3.751152e-116	0.1
5.857416e-09	5.5078756145159e-07	0.1	5.857416e-09	3.918444e-116	0.1
6.467483e-09	4.2030644262728e-07	0.1	6.467483e-09	4.0967609999999997e-116	0.1
7.103193e-09	3.1723377960216804e-07	0.1	7.103193e-09	4.2691229999999996e-116	0.1
7.84147e-09	2.28860822631686e-07	0.1	7.84147e-09	4.4561880000000004e-116	0.1
8.579747e-09	1.65115759403736e-07	0.1	8.579747e-09	4.632684e-116	0.1
9.437991e-09	1.1296653349698e-07	0.1	9.437991e-09	4.828107e-116	0.1
