Batch	m_SP	4	W1	Pr1	Pr2	Pr3					
12637440000.0	0.9893534	0.1	12637440000.0	0.001312355	0.1	12637440000.0	0.00401093	0.1	12637440000.0	6.374499e-14	0.1
13671670000.0	0.9886565	0.1	13671670000.0	0.001334968	0.1	13671670000.0	0.004336787	0.1	13671670000.0	1.039401e-13	0.1
14784070000.0	0.9879192	0.1	14784070000.0	0.001353478	0.1	14784070000.0	0.004686916	0.1	14784070000.0	9.195602e-14	0.1
16272270000.0	0.9869482	0.1	16272270000.0	0.001371142	0.1	16272270000.0	0.005154758	0.1	16272270000.0	6.77445e-15	0.1
17826570000.0	0.9859479	0.1	17826570000.0	0.001383374	0.1	17826570000.0	0.005642679	0.1	17826570000.0	0.0	0.1
19645220000.0	0.9847901	0.1	19645220000.0	0.001392276	0.1	19645220000.0	0.006212681	0.1	19645220000.0	6.76036e-15	0.1
21463860000.0	0.9836418	0.1	21463860000.0	0.0013974	0.1	21463860000.0	0.006781709	0.1	21463860000.0	6.34631e-14	0.1
23282510000.0	0.9825002	0.1	23282510000.0	0.00140015	0.1	23282510000.0	0.007349764	0.1	23282510000.0	1.158715e-13	0.1
25101160000.0	0.9813635	0.1	25101160000.0	0.001401414	0.1	25101160000.0	0.007916845	0.1	25101160000.0	6.726698e-15	0.1
26919800000.0	0.9802306	0.1	26919800000.0	0.001401748	0.1	26919800000.0	0.008482954	0.1	26919800000.0	0.0	0.1
28738450000.0	0.9791008	0.1	28738450000.0	0.001401504	0.1	28738450000.0	0.009048092	0.1	28738450000.0	0.0	0.1
30779710000.0	0.9778359	0.1	30779710000.0	0.001400808	0.1	30779710000.0	0.00968125	0.1	30779710000.0	0.0	0.1
32969370000.0	0.9764823	0.1	32969370000.0	0.001399766	0.1	32969370000.0	0.01035909	0.1	32969370000.0	0.0	0.1
35350400000.0	0.975014	0.1	35350400000.0	0.001398439	0.1	35350400000.0	0.01109457	0.1	35350400000.0	0.0	0.1
38018470000.0	0.9733728	0.1	38018470000.0	0.001396825	0.1	38018470000.0	0.01191677	0.1	38018470000.0	0.0	0.1
41017720000.0	0.971533	0.1	41017720000.0	0.001394931	0.1	41017720000.0	0.01283856	0.1	41017720000.0	0.0	0.1
44237740000.0	0.9695637	0.1	44237740000.0	0.001392858	0.1	44237740000.0	0.01382531	0.1	44237740000.0	0.0	0.1
47373710000.0	0.9676515	0.1	47373710000.0	0.001390825	0.1	47373710000.0	0.01478343	0.1	47373710000.0	0.0	0.1
47373990000.0	0.9676513	0.1	47373990000.0	0.001390825	0.1	47373990000.0	0.01478352	0.1	47373990000.0	0.0	0.1
47374100000.0	0.9676513	0.1	47374100000.0	0.001390825	0.1	47374100000.0	0.01478355	0.1	47374100000.0	4.617173e-15	0.1
