	T[K]	P2	P5
600 0.97077 0.02369
700 0.96453 0.02996
800 0.95960 0.03489
900 0.95524 0.03878
1000 0.95225 0.04180
1100 0.94966 0.04446
1200 0.94802 0.04650
1300 0.94618 0.04829
1400 0.94521 0.04979
1500 0.94393 0.05168
1600 0.94314 0.05309
1700 0.94264 0.05446
1800 0.94135 0.05578
1900 0.93993 0.05721
2000 0.93872 0.05843
2100 0.93743 0.05973
2200 0.93672 0.06043
2300 0.93595 0.06121
2400 0.93562 0.06157
2500 0.93510 0.06209
