Batch	m_SP	7	W4_L	W3	R	P1	P2_L	P3	P4											
1.375284e-08	0.9888479	0.1	1.375284e-08	7.86813e-06	0.1	1.375284e-08	0.0005771877	0.1	1.375284e-08	0.001653983	0.1	1.375284e-08	0.0022882739	0.1	1.375284e-08	0.0005225909	0.1	1.375284e-08	1.590592e-07	0.1
1.622138e-08	0.9872134	0.1	1.622138e-08	9.521337e-06	0.1	1.622138e-08	0.0006846535	0.1	1.622138e-08	0.002035503	0.1	1.622138e-08	0.0025413996	0.1	1.622138e-08	0.0005786754	0.1	1.622138e-08	2.094998e-07	0.1
1.759279e-08	0.9863336	0.1	1.759279e-08	1.046923e-05	0.1	1.759279e-08	0.0007447124	0.1	1.759279e-08	0.002258631	0.1	1.759279e-08	0.0026612787	0.1	1.759279e-08	0.000604948	0.1	1.759279e-08	2.404354e-07	0.1
1.942109e-08	0.9851894	0.1	1.942109e-08	1.176241e-05	0.1	1.942109e-08	0.0008250237	0.1	1.942109e-08	0.002567372	0.1	1.942109e-08	0.0028001817	0.1	1.942109e-08	0.0006350865	0.1	1.942109e-08	2.846257e-07	0.1
2.155398e-08	0.983892	0.1	2.155398e-08	1.330897e-05	0.1	2.155398e-08	0.0009188466	0.1	2.155398e-08	0.002942131	0.1	2.155398e-08	0.0029352283	0.1	2.155398e-08	0.0006639883	0.1	2.155398e-08	3.400019e-07	0.1
2.368687e-08	0.9826299	0.1	2.368687e-08	1.489069e-05	0.1	2.368687e-08	0.00101254	0.1	2.368687e-08	0.003330472	0.1	2.368687e-08	0.0030451830000000004	0.1	2.368687e-08	0.0006871337	0.1	2.368687e-08	3.989554e-07	0.1
2.581976e-08	0.9813979	0.1	2.581976e-08	1.650196e-05	0.1	2.581976e-08	0.00110583	0.1	2.581976e-08	0.003730277	0.1	2.581976e-08	0.0031340271	0.1	2.581976e-08	0.0007054937	0.1	2.581976e-08	4.609464e-07	0.1
2.795265e-08	0.9801915	0.1	2.795265e-08	1.81377e-05	0.1	2.795265e-08	0.001198463	0.1	2.795265e-08	0.004139627	0.1	2.795265e-08	0.0032053695	0.1	2.795265e-08	0.0007199387	0.1	2.795265e-08	5.254862e-07	0.1
3.007031e-08	0.9790152	0.1	3.007031e-08	1.978162e-05	0.1	3.007031e-08	0.001289556	0.1	3.007031e-08	0.004553835	0.1	3.007031e-08	0.0032620037999999997	0.1	3.007031e-08	0.0007311515	0.1	3.007031e-08	5.916654e-07	0.1
3.147954e-08	0.9782427	0.1	3.147954e-08	2.088471e-05	0.1	3.147954e-08	0.001349592	0.1	3.147954e-08	0.004833074	0.1	3.147954e-08	0.0032931715	0.1	3.147954e-08	0.0007371977	0.1	3.147954e-08	6.366874e-07	0.1
3.421993e-08	0.9767603	0.1	3.421993e-08	2.30467e-05	0.1	3.421993e-08	0.001464778	0.1	3.421993e-08	0.005382816	0.1	3.421993e-08	0.0033416773	0.1	3.421993e-08	0.0007463733	0.1	3.421993e-08	7.261068e-07	0.1
3.729641e-08	0.9751224	0.1	3.729641e-08	2.549459e-05	0.1	3.729641e-08	0.001591294	0.1	3.729641e-08	0.006008371	0.1	3.729641e-08	0.0033812217	0.1	3.729641e-08	0.0007535664	0.1	3.729641e-08	8.288815e-07	0.1
3.968348e-08	0.9738675	0.1	3.968348e-08	2.740519e-05	0.1	3.968348e-08	0.00168718	0.1	3.968348e-08	0.00649841	0.1	3.968348e-08	0.0034037653	0.1	3.968348e-08	0.0007575026	0.1	3.968348e-08	9.100043e-07	0.1
4.288266e-08	0.9722038	0.1	4.288266e-08	2.997699e-05	0.1	4.288266e-08	0.001812284	0.1	4.288266e-08	0.007159983	0.1	4.288266e-08	0.0034257885	0.1	4.288266e-08	0.0007611851	0.1	4.288266e-08	1.020226e-06	0.1
4.662326e-08	0.970281	0.1	4.662326e-08	3.299537e-05	0.1	4.662326e-08	0.00195328	0.1	4.662326e-08	0.007938707	0.1	4.662326e-08	0.0034430081	0.1	4.662326e-08	0.0007639097	0.1	4.662326e-08	1.150838e-06	0.1
5.036386e-08	0.9683793	0.1	5.036386e-08	3.602162e-05	0.1	5.036386e-08	0.002088275	0.1	5.036386e-08	0.008721435	0.1	5.036386e-08	0.0034539726	0.1	5.036386e-08	0.0007655521	0.1	5.036386e-08	1.282944e-06	0.1
5.410446e-08	0.966496	0.1	5.410446e-08	3.905254e-05	0.1	5.410446e-08	0.002217048	0.1	5.410446e-08	0.00950702	0.1	5.410446e-08	0.0034607724	0.1	5.410446e-08	0.0007665371	0.1	5.410446e-08	1.416272e-06	0.1
5.784505e-08	0.9646298	0.1	5.784505e-08	4.208596e-05	0.1	5.784505e-08	0.002339472	0.1	5.784505e-08	0.01029468	0.1	5.784505e-08	0.0034647919	0.1	5.784505e-08	0.0007671317	0.1	5.784505e-08	1.550643e-06	0.1
6.158565e-08	0.9627794	0.1	6.158565e-08	4.512036e-05	0.1	6.158565e-08	0.002455495	0.1	6.158565e-08	0.01108387	0.1	6.158565e-08	0.0034669447	0.1	6.158565e-08	0.0007675003	0.1	6.158565e-08	1.685936e-06	0.1
6.532625e-08	0.9609442	0.1	6.532625e-08	4.815465e-05	0.1	6.532625e-08	0.002565129	0.1	6.532625e-08	0.01187421	0.1	6.532625e-08	0.003467832	0.1	6.532625e-08	0.0007677415	0.1	6.532625e-08	1.822066e-06	0.1
6.982321e-08	0.9587572	0.1	6.982321e-08	5.180126e-05	0.1	6.982321e-08	0.002688569	0.1	6.982321e-08	0.01282549	0.1	6.982321e-08	0.0034677729	0.1	6.982321e-08	0.000767942	0.1	6.982321e-08	1.986743e-06	0.1
7.432017e-08	0.9565904	0.1	7.432017e-08	5.54456e-05	0.1	7.432017e-08	0.00280307	0.1	7.432017e-08	0.01377766	0.1	7.432017e-08	0.0034668852	0.1	7.432017e-08	0.0007680919	0.1	7.432017e-08	2.152456e-06	0.1
7.939194e-08	0.9541701	0.1	7.939194e-08	5.955212e-05	0.1	7.939194e-08	0.002921823	0.1	7.939194e-08	0.01485227	0.1	7.939194e-08	0.0034652167	0.1	7.939194e-08	0.0007682263	0.1	7.939194e-08	2.340511e-06	0.1
8.484691e-08	0.9515936	0.1	8.484691e-08	6.396365e-05	0.1	8.484691e-08	0.003037792	0.1	8.484691e-08	0.01600857	0.1	8.484691e-08	0.0034628713	0.1	8.484691e-08	0.0007683368	0.1	8.484691e-08	2.544049e-06	0.1
9.103153e-08	0.9487044	0.1	9.103153e-08	6.895755e-05	0.1	9.103153e-08	0.003155376	0.1	9.103153e-08	0.01731973	0.1	9.103153e-08	0.0034597114	0.1	9.103153e-08	0.0007684111	0.1	9.103153e-08	2.776283e-06	0.1
9.770257e-08	0.945624	0.1	9.770257e-08	7.433378e-05	0.1	9.770257e-08	0.003266843	0.1	9.770257e-08	0.01873375	0.1	9.770257e-08	0.0034558388	0.1	9.770257e-08	0.0007684123	0.1	9.770257e-08	3.02837e-06	0.1
1.054819e-07	0.9420762	0.1	1.054819e-07	8.05877e-05	0.1	1.054819e-07	0.003378518	0.1	1.054819e-07	0.02038165	0.1	1.054819e-07	0.0034508198	0.1	1.054819e-07	0.0007682849	0.1	1.054819e-07	3.324174e-06	0.1
1.135382e-07	0.9384487	0.1	1.135382e-07	8.704481e-05	0.1	1.135382e-07	0.003475651	0.1	1.135382e-07	0.02208631	0.1	1.135382e-07	0.0034451262	0.1	1.135382e-07	0.0007679852	0.1	1.135382e-07	3.632305e-06	0.1
1.222615e-07	0.9345702	0.1	1.222615e-07	9.401169e-05	0.1	1.222615e-07	0.003562298	0.1	1.222615e-07	0.02392894	0.1	1.222615e-07	0.0034384581999999998	0.1	1.222615e-07	0.0007674558	0.1	1.222615e-07	3.967645e-06	0.1
1.31985e-07	0.9303018	0.1	1.31985e-07	0.0001017443	0.1	1.31985e-07	0.003639515	0.1	1.31985e-07	0.02597798	0.1	1.31985e-07	0.0034304835	0.1	1.31985e-07	0.0007666159	0.1	1.31985e-07	4.343088e-06	0.1
1.417086e-07	0.926086	0.1	1.417086e-07	0.0001094393	0.1	1.417086e-07	0.003699667	0.1	1.417086e-07	0.02802077	0.1	1.417086e-07	0.0034220137	0.1	1.417086e-07	0.0007655283	0.1	1.417086e-07	4.719823e-06	0.1
1.52738e-07	0.9213615	0.1	1.52738e-07	0.0001181188	0.1	1.52738e-07	0.003751049	0.1	1.52738e-07	0.03032913	0.1	1.52738e-07	0.0034119021999999997	0.1	1.52738e-07	0.0007640266	0.1	1.52738e-07	5.148205e-06	0.1
1.651204e-07	0.9161229	0.1	1.651204e-07	0.0001277976	0.1	1.651204e-07	0.00379178	0.1	1.651204e-07	0.0329081	0.1	1.651204e-07	0.0034000371000000003	0.1	1.651204e-07	0.000762052	0.1	1.651204e-07	5.629871e-06	0.1
1.794322e-07	0.9101457	0.1	1.794322e-07	0.0001388943	0.1	1.794322e-07	0.003821812	0.1	1.794322e-07	0.0358707	0.1	1.794322e-07	0.0033858088	0.1	1.794322e-07	0.0007594649	0.1	1.794322e-07	6.186833e-06	0.1
1.964334e-07	0.9031425	0.1	1.964334e-07	0.0001519459	0.1	1.964334e-07	0.003840274	0.1	1.964334e-07	0.03936247	0.1	1.964334e-07	0.0033684081000000003	0.1	1.964334e-07	0.0007560753	0.1	1.964334e-07	6.847882e-06	0.1
2.14107e-07	0.8959639	0.1	2.14107e-07	0.0001653597	0.1	2.14107e-07	0.003845785	0.1	2.14107e-07	0.04295862	0.1	2.14107e-07	0.0033499676	0.1	2.14107e-07	0.0007523007	0.1	2.14107e-07	7.533535e-06	0.1
2.317807e-07	0.8888805	0.1	2.317807e-07	0.0001786144	0.1	2.317807e-07	0.003842009	0.1	2.317807e-07	0.04651894	0.1	2.317807e-07	0.0033313415	0.1	2.317807e-07	0.0007483632	0.1	2.317807e-07	8.216938e-06	0.1
2.494543e-07	0.8818864	0.1	2.494543e-07	0.0001917095	0.1	2.494543e-07	0.003832134	0.1	2.494543e-07	0.05004248	0.1	2.494543e-07	0.0033126551	0.1	2.494543e-07	0.0007443294	0.1	2.494543e-07	8.897612e-06	0.1
