Batch	m_SP	7	P1	R	W4_L	W3	P2_L	P3	P4											
910662.8	9.88728312618e-06	0.1	910662.8	5.318741e-14	0.1	910662.8	5.6012115e-08	0.1	910662.8	4.466561e-08	0.1	910662.8	3.272848468329e-09	0.1	910662.8	5.301183e-14	0.1	910662.8	5.684458e-17	0.1
1882279.0	9.777664222379999e-06	0.1	1882279.0	1.093254e-13	0.1	1882279.0	1.15131473e-07	0.1	1882279.0	9.180903e-08	0.1	1882279.0	6.72725546191e-09	0.1	1882279.0	1.089644e-13	0.1	1882279.0	1.168426e-16	0.1
3825512.0	9.56205937845e-06	0.1	3825512.0	2.19741e-13	0.1	3825512.0	2.3141112e-07	0.1	3825512.0	1.845336e-07	0.1	3825512.0	1.352159911789e-08	0.1	3825512.0	2.190155e-13	0.1	3825512.0	2.348503e-16	0.1
7226170.0	9.19612603782e-06	0.1	7226170.0	4.07142e-13	0.1	7226170.0	4.2876481e-07	0.1	7226170.0	3.419089e-07	0.1	7226170.0	2.505318247869e-08	0.1	7226170.0	4.057979e-13	0.1	7226170.0	4.35137e-16	0.1
13055870.0	8.601095988180001e-06	0.1	13055870.0	7.118681e-13	0.1	13055870.0	7.4967458e-07	0.1	13055870.0	5.978113e-07	0.1	13055870.0	4.3804286725499996e-08	0.1	13055870.0	7.09518e-13	0.1	13055870.0	7.608161e-16	0.1
22772030.0	7.6936982928624e-06	0.1	22772030.0	1.176563e-12	0.1	22772030.0	1.23904846e-06	0.1	22772030.0	9.880515e-07	0.1	22772030.0	7.23989194496e-08	0.1	22772030.0	1.172678e-12	0.1	22772030.0	1.257463e-15	0.1
38552170.0	6.4194531628682e-06	0.1	38552170.0	1.829127e-12	0.1	38552170.0	1.9262701e-06	0.1	38552170.0	1.536061e-06	0.1	38552170.0	1.12554025618e-07	0.1	38552170.0	1.823089e-12	0.1	38552170.0	1.954898e-15	0.1
54332300.0	5.3562509013195e-06	0.1	54332300.0	2.373613e-12	0.1	54332300.0	2.4996730000000003e-06	0.1	54332300.0	1.993308e-06	0.1	54332300.0	1.460585225464e-07	0.1	54332300.0	2.365777e-12	0.1	54332300.0	2.536822e-15	0.1
76660080.0	4.1456707137274e-06	0.1	76660080.0	2.993573e-12	0.1	76660080.0	3.1525583e-06	0.1	76660080.0	2.513937e-06	0.1	76660080.0	1.8420733291059998e-07	0.1	76660080.0	2.983691e-12	0.1	76660080.0	3.199411e-15	0.1
100624800.0	3.1489918799552e-06	0.1	100624800.0	3.503991e-12	0.1	100624800.0	3.6900843000000003e-06	0.1	100624800.0	2.942575e-06	0.1	100624800.0	2.156155237743e-07	0.1	100624800.0	3.492424e-12	0.1	100624800.0	3.744925e-15	0.1
124589500.0	2.3919296020692004e-06	0.1	124589500.0	3.891697e-12	0.1	124589500.0	4.0983806999999995e-06	0.1	124589500.0	3.268162e-06	0.1	124589500.0	2.39472792793e-07	0.1	124589500.0	3.87885e-12	0.1	124589500.0	4.15929e-15	0.1
148554200.0	1.8168752859918e-06	0.1	148554200.0	4.186193e-12	0.1	148554200.0	4.4085164e-06	0.1	148554200.0	3.515473e-06	0.1	148554200.0	2.575943452187e-07	0.1	148554200.0	4.172373e-12	0.1	148554200.0	4.474035e-15	0.1
172518900.0	1.3800717851142e-06	0.1	172518900.0	4.409888e-12	0.1	172518900.0	4.6440916e-06	0.1	172518900.0	3.703327e-06	0.1	172518900.0	2.713592850404e-07	0.1	172518900.0	4.39533e-12	0.1	172518900.0	4.713111e-15	0.1
196483600.0	1.0482832025718e-06	0.1	196483600.0	4.579803e-12	0.1	196483600.0	4.8230307e-06	0.1	196483600.0	3.846019e-06	0.1	196483600.0	2.818148152885e-07	0.1	196483600.0	4.564684e-12	0.1	196483600.0	4.89471e-15	0.1
220448200.0	7.962607984293e-07	0.1	220448200.0	4.708869e-12	0.1	220448200.0	4.9589509000000005e-06	0.1	220448200.0	3.954405e-06	0.1	220448200.0	2.897568382644e-07	0.1	220448200.0	4.693323e-12	0.1	220448200.0	5.03265e-15	0.1
244412900.0	6.0482827020465e-07	0.1	244412900.0	4.806905e-12	0.1	244412900.0	5.062193500000001e-06	0.1	244412900.0	4.036734e-06	0.1	244412900.0	2.957893557167e-07	0.1	244412900.0	4.791036e-12	0.1	244412900.0	5.137427e-15	0.1
269378400.0	4.5417342196557e-07	0.1	269378400.0	4.884058e-12	0.1	269378400.0	5.1434446e-06	0.1	269378400.0	4.101525e-06	0.1	269378400.0	3.005369694513e-07	0.1	269378400.0	4.867934e-12	0.1	269378400.0	5.219885e-15	0.1
298346900.0	3.2573404490478e-07	0.1	298346900.0	4.949834e-12	0.1	298346900.0	5.212713000000001e-06	0.1	298346900.0	4.156763e-06	0.1	298346900.0	3.045844811607e-07	0.1	298346900.0	4.933494e-12	0.1	298346900.0	5.290184e-15	0.1
327315400.0	2.3361699372018e-07	0.1	327315400.0	4.997009e-12	0.1	327315400.0	5.262393799999999e-06	0.1	327315400.0	4.196379e-06	0.1	327315400.0	3.0748728955870004e-07	0.1	327315400.0	4.980513e-12	0.1	327315400.0	5.340603e-15	0.1
356283900.0	1.6755057421131e-07	0.1	356283900.0	5.030843e-12	0.1	356283900.0	5.2980257e-06	0.1	356283900.0	4.224792e-06	0.1	356283900.0	3.095692955817e-07	0.1	356283900.0	5.014235e-12	0.1	356283900.0	5.376763e-15	0.1
388950700.0	1.1517471368823001e-07	0.1	388950700.0	5.057666e-12	0.1	388950700.0	5.3262721e-06	0.1	388950700.0	4.247317e-06	0.1	388950700.0	3.112198003567e-07	0.1	388950700.0	5.040969e-12	0.1	388950700.0	5.40543e-15	0.1
