Batch	m_SP	4	W1	Pr1	Pr2	Pr3					
4.398858e-07	0.9895205	0.1	4.398858e-07	0.002277617	0.1	4.398858e-07	0.002027443	0.1	4.398858e-07	0.0008264046	0.1
4.843212e-07	0.9884681	0.1	4.843212e-07	0.002517278	0.1	4.843212e-07	0.002230657	0.1	4.843212e-07	0.0009093258	0.1
5.359207e-07	0.9872481	0.1	5.359207e-07	0.002795343	0.1	5.359207e-07	0.002466232	0.1	5.359207e-07	0.001005453	0.1
5.875201e-07	0.9860304	0.1	5.875201e-07	0.003073057	0.1	5.875201e-07	0.002701374	0.1	5.875201e-07	0.001101406	0.1
6.495038e-07	0.9845704	0.1	6.495038e-07	0.003406106	0.1	6.495038e-07	0.002983266	0.1	6.495038e-07	0.001216436	0.1
7.114875e-07	0.9831137	0.1	7.114875e-07	0.003738494	0.1	7.114875e-07	0.003264535	0.1	7.114875e-07	0.001331213	0.1
7.869505e-07	0.9813446	0.1	7.869505e-07	0.004142227	0.1	7.869505e-07	0.003606131	0.1	7.869505e-07	0.001470608	0.1
8.658027e-07	0.979501	0.1	8.658027e-07	0.004562963	0.1	8.658027e-07	0.003962089	0.1	8.658027e-07	0.001615863	0.1
9.582109e-07	0.9773471	0.1	9.582109e-07	0.005054548	0.1	9.582109e-07	0.004377971	0.1	9.582109e-07	0.001785572	0.1
1.066759e-06	0.9748261	0.1	1.066759e-06	0.005629941	0.1	1.066759e-06	0.004864747	0.1	1.066759e-06	0.00198421	0.1
1.191108e-06	0.9719499	0.1	1.191108e-06	0.006286377	0.1	1.191108e-06	0.00542008	0.1	1.191108e-06	0.002210825	0.1
1.333106e-06	0.968681	0.1	1.333106e-06	0.007032455	0.1	1.333106e-06	0.006051248	0.1	1.333106e-06	0.002468385	0.1
1.523587e-06	0.9643217	0.1	1.523587e-06	0.008027403	0.1	1.523587e-06	0.006892954	0.1	1.523587e-06	0.00281186	0.1
1.765513e-06	0.9588271	0.1	1.765513e-06	0.009281473	0.1	1.765513e-06	0.007953871	0.1	1.765513e-06	0.003244788	0.1
2.091108e-06	0.9515055	0.1	2.091108e-06	0.01095253	0.1	2.091108e-06	0.009367548	0.1	2.091108e-06	0.003821666	0.1
2.614193e-06	0.939916	0.1	2.614193e-06	0.01359769	0.1	2.614193e-06	0.0116053	0.1	2.614193e-06	0.004734826	0.1
3.660363e-06	0.9173565	0.1	3.660363e-06	0.01874658	0.1	3.660363e-06	0.01596116	0.1	3.660363e-06	0.006512321	0.1
5.543469e-06	0.8787174	0.1	5.543469e-06	0.02756542	0.1	5.543469e-06	0.02342172	0.1	5.543469e-06	0.009556749	0.1
8.891212e-06	0.8156822	0.1	8.891212e-06	0.04195234	0.1	8.891212e-06	0.03559276	0.1	8.891212e-06	0.01452338	0.1
1.331701e-05	0.7419445	0.1	1.331701e-05	0.05878195	0.1	1.331701e-05	0.04983027	0.1	1.331701e-05	0.02033328	0.1
1.870727e-05	0.6643434	0.1	1.870727e-05	0.07649333	0.1	1.870727e-05	0.06481374	0.1	1.870727e-05	0.02644757	0.1
2.590201e-05	0.5773819	0.1	2.590201e-05	0.0963411	0.1	2.590201e-05	0.08160455	0.1	2.590201e-05	0.03329939	0.1
3.354787e-05	0.5011509	0.1	3.354787e-05	0.1137398	0.1	3.354787e-05	0.09632347	0.1	3.354787e-05	0.03930574	0.1
4.119373e-05	0.4377783	0.1	4.119373e-05	0.1282037	0.1	4.119373e-05	0.1085597	0.1	4.119373e-05	0.04429896	0.1
4.977634e-05	0.3785279	0.1	4.977634e-05	0.1417268	0.1	4.977634e-05	0.1199999	0.1	4.977634e-05	0.04896738	0.1
5.898345e-05	0.3258635	0.1	5.898345e-05	0.1537467	0.1	5.898345e-05	0.1301685	0.1	5.898345e-05	0.05311688	0.1
6.819056e-05	0.2820256	0.1	6.819056e-05	0.1637521	0.1	6.819056e-05	0.1386329	0.1	6.819056e-05	0.05657093	0.1
7.739768e-05	0.2451759	0.1	7.739768e-05	0.1721625	0.1	7.739768e-05	0.1457479	0.1	7.739768e-05	0.05947437	0.1
8.660479e-05	0.2139446	0.1	8.660479e-05	0.1792907	0.1	8.660479e-05	0.1517782	0.1	8.660479e-05	0.06193513	0.1
9.58119e-05	0.1872902	0.1	9.58119e-05	0.1853742	0.1	9.58119e-05	0.1569247	0.1	9.58119e-05	0.06403527	0.1
0.000105019	0.1644063	0.1	0.000105019	0.1905971	0.1	0.000105019	0.1613432	0.1	0.000105019	0.06583832	0.1
0.0001142261	0.1446592	0.1	0.0001142261	0.1951041	0.1	0.0001142261	0.165156	0.1	0.0001142261	0.06739422	0.1
0.0001234332	0.1275439	0.1	0.0001234332	0.1990104	0.1	0.0001234332	0.1684607	0.1	0.0001234332	0.06874277	0.1
0.0001326404	0.1126528	0.1	0.0001326404	0.2024091	0.1	0.0001326404	0.1713359	0.1	0.0001326404	0.06991605	0.1
0.0001418475	0.09965403	0.1	0.0001418475	0.2053759	0.1	0.0001418475	0.1738458	0.1	0.0001418475	0.07094025	0.1
0.0001510546	0.08827417	0.1	0.0001510546	0.2079732	0.1	0.0001510546	0.176043	0.1	0.0001510546	0.07183688	0.1
0.0001602617	0.07828634	0.1	0.0001602617	0.2102528	0.1	0.0001602617	0.1779715	0.1	0.0001602617	0.07262384	0.1
0.0001694688	0.06950078	0.1	0.0001694688	0.212258	0.1	0.0001694688	0.1796679	0.1	0.0001694688	0.07331606	0.1
0.0001786759	0.06175765	0.1	0.0001786759	0.2140252	0.1	0.0001786759	0.1811629	0.1	0.0001786759	0.07392615	0.1
0.000187883	0.05492149	0.1	0.000187883	0.2155855	0.1	0.000187883	0.1824829	0.1	0.000187883	0.07446479	0.1
0.0001970901	0.0488769	0.1	0.0001970901	0.2169651	0.1	0.0001970901	0.18365	0.1	0.0001970901	0.07494105	0.1
0.0002062973	0.04352501	0.1	0.0002062973	0.2181866	0.1	0.0002062973	0.1846834	0.1	0.0002062973	0.07536273	0.1
0.0002155044	0.03878082	0.1	0.0002155044	0.2192694	0.1	0.0002155044	0.1855994	0.1	0.0002155044	0.07573653	0.1
0.0002247115	0.03457087	0.1	0.0002247115	0.2202302	0.1	0.0002247115	0.1864122	0.1	0.0002247115	0.07606824	0.1
0.0002339186	0.03083151	0.1	0.0002339186	0.2210837	0.1	0.0002339186	0.1871343	0.1	0.0002339186	0.07636287	0.1
0.0002445989	0.02701073	0.1	0.0002445989	0.2219557	0.1	0.0002445989	0.187872	0.1	0.0002445989	0.07666391	0.1
0.0002556474	0.0235671	0.1	0.0002556474	0.2227417	0.1	0.0002556474	0.1885369	0.1	0.0002556474	0.07693524	0.1
0.000266696	0.0205713	0.1	0.000266696	0.2234255	0.1	0.000266696	0.1891153	0.1	0.000266696	0.07717128	0.1
0.0002777445	0.01796301	0.1	0.0002777445	0.2240208	0.1	0.0002777445	0.1896189	0.1	0.0002777445	0.0773768	0.1
0.0002887931	0.01569051	0.1	0.0002887931	0.2245394	0.1	0.0002887931	0.1900577	0.1	0.0002887931	0.07755585	0.1
0.0002998416	0.01370938	0.1	0.0002998416	0.2249916	0.1	0.0002998416	0.1904403	0.1	0.0002998416	0.07771195	0.1
0.0003108902	0.01198134	0.1	0.0003108902	0.225386	0.1	0.0003108902	0.1907739	0.1	0.0003108902	0.0778481	0.1
