Batch	m_SP	5	W1	W2	Pr1	Pr2	Pr3							
0.5626682	0.9866875	0.1	0.5626682	1.118013e-06	0.1	0.5626682	0.003000854	0.1	0.5626682	0.003653864	0.1	0.5626682	9.536035e-07	0.1
0.9985754	0.9765565	0.1	0.9985754	1.106546e-06	0.1	0.9985754	0.005285382	0.1	0.9985754	0.00643488	0.1	0.9985754	9.462751e-07	0.1
1.87039	0.956755	0.1	1.87039	1.084155e-06	0.1	1.87039	0.0097505	0.1	1.87039	0.0118705	0.1	1.87039	9.319355e-07	0.1
3.398647	0.923458	0.1	3.398647	1.046568e-06	0.1	3.398647	0.01725852	0.1	3.398647	0.02101106	0.1	3.398647	9.077726e-07	0.1
5.841576	0.87369	0.1	5.841576	9.905461e-07	0.1	5.841576	0.02847918	0.1	5.841576	0.03467445	0.1	5.841576	8.715301e-07	0.1
9.622367	0.8040958	0.1	9.622367	9.125518e-07	0.1	9.622367	0.04416481	0.1	9.622367	0.05378601	0.1	9.622367	8.205591e-07	0.1
15.50488	0.7108149	0.1	15.50488	8.0872e-07	0.1	15.50488	0.06517128	0.1	15.50488	0.0794201	0.1	15.50488	7.515985e-07	0.1
22.62656	0.6172451	0.1	22.62656	7.055063e-07	0.1	22.62656	0.0862035	0.1	22.62656	0.1051729	0.1	22.62656	6.814801e-07	0.1
30.57436	0.5319388	0.1	30.57436	6.123646e-07	0.1	30.57436	0.1053147	0.1	30.57436	0.128715	0.1	30.57436	6.16456e-07	0.1
38.52216	0.4619803	0.1	38.52216	5.367655e-07	0.1	38.52216	0.1209092	0.1	38.52216	0.1480999	0.1	38.52216	5.620834e-07	0.1
47.46683	0.397259	0.1	47.46683	4.675388e-07	0.1	47.46683	0.1352327	0.1	47.46683	0.166137	0.1	47.46683	5.10657e-07	0.1
57.07607	0.3404221	0.1	57.07607	4.073702e-07	0.1	57.07607	0.1476812	0.1	57.07607	0.1821071	0.1	57.07607	4.643084e-07	0.1
66.68531	0.2937233	0.1	66.68531	3.58405e-07	0.1	66.68531	0.1577682	0.1	66.68531	0.1953696	0.1	66.68531	4.251243e-07	0.1
76.29455	0.2549436	0.1	76.29455	3.180794e-07	0.1	76.29455	0.1659994	0.1	76.29455	0.2065283	0.1	76.29455	3.915939e-07	0.1
87.85057	0.2165221	0.1	87.85057	2.784262e-07	0.1	87.85057	0.1739615	0.1	87.85057	0.2177769	0.1	87.85057	3.572139e-07	0.1
99.4066	0.1851377	0.1	99.4066	2.462427e-07	0.1	99.4066	0.1802545	0.1	99.4066	0.2271762	0.1	99.4066	3.280133e-07	0.1
110.9626	0.1592765	0.1	110.9626	2.198392e-07	0.1	110.9626	0.1852296	0.1	110.9626	0.2351318	0.1	110.9626	3.029647e-07	0.1
115.585	0.1502159	0.1	115.585	2.106068e-07	0.1	115.585	0.186912	0.1	115.585	0.2379797	0.1	115.585	2.939316e-07	0.1
117.0295	0.1475186	0.1	117.0295	2.078596e-07	0.1	117.0295	0.1874055	0.1	117.0295	0.2388348	0.1	117.0295	2.912117e-07	0.1
119.076	0.1438011	0.1	119.076	2.04074e-07	0.1	119.076	0.1880797	0.1	119.076	0.2400194	0.1	119.076	2.874408e-07	0.1
122.503	0.1378375	0.1	122.503	1.980023e-07	0.1	122.503	0.1891457	0.1	122.503	0.2419351	0.1	122.503	2.813328e-07	0.1
128.1498	0.1286784	0.1	128.1498	1.88678e-07	0.1	128.1498	0.1907415	0.1	128.1498	0.244919	0.1	128.1498	2.717994e-07	0.1
136.8009	0.1160964	0.1	136.8009	1.758623e-07	0.1	136.8009	0.1928361	0.1	136.8009	0.2491153	0.1	136.8009	2.583652e-07	0.1
146.9599	0.1032651	0.1	146.9599	1.627685e-07	0.1	146.9599	0.1948257	0.1	146.9599	0.2535414	0.1	146.9599	2.441962e-07	0.1
158.1242	0.09120783	0.1	158.1242	1.504188e-07	0.1	158.1242	0.1965169	0.1	158.1242	0.2578789	0.1	158.1242	2.303659e-07	0.1
169.2884	0.08094054	0.1	169.2884	1.39842e-07	0.1	169.2884	0.1977738	0.1	169.2884	0.2617557	0.1	169.2884	2.181138e-07	0.1
180.4526	0.07216985	0.1	180.4526	1.307373e-07	0.1	180.4526	0.1986677	0.1	180.4526	0.2652471	0.1	180.4526	2.072315e-07	0.1
191.6168	0.06465639	0.1	191.6168	1.228624e-07	0.1	191.6168	0.199257	0.1	191.6168	0.2684146	0.1	191.6168	1.975451e-07	0.1
202.7811	0.05820339	0.1	202.7811	1.1602e-07	0.1	202.7811	0.1995901	0.1	202.7811	0.2713079	0.1	202.7811	1.889078e-07	0.1
213.9453	0.05264803	0.1	213.9453	1.100487e-07	0.1	213.9453	0.1997074	0.1	213.9453	0.2739684	0.1	213.9453	1.811945e-07	0.1
225.1095	0.04785483	0.1	225.1095	1.048152e-07	0.1	225.1095	0.1996424	0.1	225.1095	0.2764299	0.1	225.1095	1.742972e-07	0.1
236.2737	0.04371049	0.1	236.2737	1.002089e-07	0.1	236.2737	0.1994236	0.1	236.2737	0.2787209	0.1	236.2737	1.681223e-07	0.1
247.4379	0.04011984	0.1	247.4379	9.613755e-08	0.1	247.4379	0.1990748	0.1	247.4379	0.2808651	0.1	247.4379	1.625877e-07	0.1
258.6022	0.03700264	0.1	258.6022	9.252395e-08	0.1	258.6022	0.1986163	0.1	258.6022	0.2828822	0.1	258.6022	1.576211e-07	0.1
269.7664	0.03429103	0.1	269.7664	8.930302e-08	0.1	269.7664	0.1980653	0.1	269.7664	0.284789	0.1	269.7664	1.531588e-07	0.1
280.9306	0.03192741	0.1	280.9306	8.64198e-08	0.1	280.9306	0.1974364	0.1	280.9306	0.2865997	0.1	280.9306	1.49144e-07	0.1
