Batch	m_SP	7	W3	W4_L	R	P1	P2_L	P3	P4											
1.569142e-06	0.8925065	0.1	1.569142e-06	0.00043614492000000003	0.1	1.569142e-06	2.350903e-05	0.1	1.569142e-06	0.05249217	0.1	1.569142e-06	3.5902871999999995e-05	0.1	1.569142e-06	5.135471e-06	0.1	1.569142e-06	0.0006169523	0.1
1.810192e-06	0.8776214	0.1	1.810192e-06	0.00048502616	0.1	1.810192e-06	2.670774e-05	0.1	1.810192e-06	0.05991949	0.1	1.810192e-06	3.6563761e-05	0.1	1.810192e-06	5.457507e-06	0.1	1.810192e-06	0.0006093835	0.1
2.133052e-06	0.8582442	0.1	2.133052e-06	0.00054422738	0.1	2.133052e-06	3.010175e-05	0.1	2.133052e-06	0.06959143	0.1	2.133052e-06	3.7305337e-05	0.1	2.133052e-06	5.821111e-06	0.1	2.133052e-06	0.0005995109	0.1
2.455912e-06	0.8394816	0.1	2.455912e-06	0.00059678196	0.1	2.455912e-06	3.262318e-05	0.1	2.455912e-06	0.07895991	0.1	2.455912e-06	3.7903926e-05	0.1	2.455912e-06	6.121092e-06	0.1	2.455912e-06	0.0005899296	0.1
2.778772e-06	0.8213064	0.1	2.778772e-06	0.00064317298	0.1	2.778772e-06	3.448285e-05	0.1	2.778772e-06	0.08803814	0.1	2.778772e-06	3.8378429e-05	0.1	2.778772e-06	6.368736e-06	0.1	2.778772e-06	0.0005806266	0.1
3.148047e-06	0.8012055	0.1	3.148047e-06	0.00068926442	0.1	3.148047e-06	3.60345e-05	0.1	3.148047e-06	0.09808157	0.1	3.148047e-06	3.8789505e-05	0.1	3.148047e-06	6.598963e-06	0.1	3.148047e-06	0.000570312	0.1
3.494139e-06	0.7830013	0.1	3.494139e-06	0.00072629154	0.1	3.494139e-06	3.709945e-05	0.1	3.494139e-06	0.1071801	0.1	3.494139e-06	3.9064846000000005e-05	0.1	3.494139e-06	6.772103e-06	0.1	3.494139e-06	0.0005609461	0.1
3.759043e-06	0.7694649	0.1	3.759043e-06	0.00075095099	0.1	3.759043e-06	3.772985e-05	0.1	3.759043e-06	0.1139474	0.1	3.759043e-06	3.9213209000000004e-05	0.1	3.759043e-06	6.881102e-06	0.1	3.759043e-06	0.0005539658	0.1
4.110667e-06	0.752007	0.1	4.110667e-06	0.00077919721	0.1	4.110667e-06	3.837903e-05	0.1	4.110667e-06	0.1226771	0.1	4.110667e-06	3.933741e-05	0.1	4.110667e-06	6.998912e-06	0.1	4.110667e-06	0.0005449424	0.1
4.557034e-06	0.7306453	0.1	4.557034e-06	0.0008084392	0.1	4.557034e-06	3.896571e-05	0.1	4.557034e-06	0.1333621	0.1	4.557034e-06	3.9392456e-05	0.1	4.557034e-06	7.111134e-06	0.1	4.557034e-06	0.0005338677	0.1
5.112997e-06	0.7052203	0.1	5.112997e-06	0.0008358797400000001	0.1	5.112997e-06	3.941692e-05	0.1	5.112997e-06	0.1460836	0.1	5.112997e-06	3.9328687e-05	0.1	5.112997e-06	7.203368e-06	0.1	5.112997e-06	0.0005206354	0.1
5.738402e-06	0.6780828	0.1	5.738402e-06	0.0008567506699999999	0.1	5.738402e-06	3.96486e-05	0.1	5.738402e-06	0.1596667	0.1	5.738402e-06	3.9117836999999995e-05	0.1	5.738402e-06	7.257464e-06	0.1	5.738402e-06	0.0005064461	0.1
6.457487e-06	0.648652	0.1	6.457487e-06	0.0008701325	0.1	6.457487e-06	3.964962e-05	0.1	6.457487e-06	0.1744028	0.1	6.457487e-06	3.8736824e-05	0.1	6.457487e-06	7.270051e-06	0.1	6.457487e-06	0.0004909746	0.1
7.366111e-06	0.613941	0.1	7.366111e-06	0.00087443581	0.1	7.366111e-06	3.936164e-05	0.1	7.366111e-06	0.1917891	0.1	7.366111e-06	3.8102705000000004e-05	0.1	7.366111e-06	7.230386e-06	0.1	7.366111e-06	0.0004726053	0.1
8.422812e-06	0.5767095	0.1	8.422812e-06	0.00086647755	0.1	8.422812e-06	3.875215e-05	0.1	8.422812e-06	0.210445	0.1	8.422812e-06	3.7222888e-05	0.1	8.422812e-06	7.130292e-06	0.1	8.422812e-06	0.0004527384	0.1
9.516531e-06	0.5413412	0.1	9.516531e-06	0.00084814326	0.1	9.516531e-06	3.792384e-05	0.1	9.516531e-06	0.2281732	0.1	9.516531e-06	3.6216131000000005e-05	0.1	9.516531e-06	6.986989e-06	0.1	9.516531e-06	0.0004336886	0.1
1.061025e-05	0.5088385	0.1	1.061025e-05	0.00082312154	0.1	1.061025e-05	3.697569e-05	0.1	1.061025e-05	0.2444697	0.1	1.061025e-05	3.5159434e-05	0.1	1.061025e-05	6.818922e-06	0.1	1.061025e-05	0.0004160098	0.1
1.170397e-05	0.4788914	0.1	1.170397e-05	0.0007939866	0.1	1.170397e-05	3.596198e-05	0.1	1.170397e-05	0.2594883	0.1	1.170397e-05	3.4085212e-05	0.1	1.170397e-05	6.636728e-06	0.1	1.170397e-05	0.0003995556	0.1
1.279769e-05	0.4512326	0.1	1.279769e-05	0.0007625506299999999	0.1	1.279769e-05	3.491895e-05	0.1	1.279769e-05	0.2733619	0.1	1.279769e-05	3.3015013e-05	0.1	1.279769e-05	6.447594e-06	0.1	1.279769e-05	0.0003841999	0.1
1.406894e-05	0.4216546	0.1	1.406894e-05	0.00072477342	0.1	1.406894e-05	3.370144e-05	0.1	1.406894e-05	0.2882007	0.1	1.406894e-05	3.1794626e-05	0.1	1.406894e-05	6.225391e-06	0.1	1.406894e-05	0.0003675879	0.1
1.538458e-05	0.3936367	0.1	1.538458e-05	0.00068560514	0.1	1.538458e-05	3.246007e-05	0.1	1.538458e-05	0.3022589	0.1	1.538458e-05	3.057194e-05	0.1	1.538458e-05	5.997725e-06	0.1	1.538458e-05	0.0003516458	0.1
1.670021e-05	0.3679625	0.1	1.670021e-05	0.00064728173	0.1	1.670021e-05	3.125387e-05	0.1	1.670021e-05	0.3151426	0.1	1.670021e-05	2.9398597e-05	0.1	1.670021e-05	5.775745e-06	0.1	1.670021e-05	0.0003368362	0.1
1.806976e-05	0.3434518	0.1	1.806976e-05	0.00060888516	0.1	1.806976e-05	3.004565e-05	0.1	1.806976e-05	0.3274437	0.1	1.806976e-05	2.8233858e-05	0.1	1.806976e-05	5.55283e-06	0.1	1.806976e-05	0.0003224933	0.1
1.965495e-05	0.3175848	0.1	1.965495e-05	0.0005667889	0.1	1.965495e-05	2.871419e-05	0.1	1.965495e-05	0.3404266	0.1	1.965495e-05	2.6959398e-05	0.1	1.965495e-05	5.30669e-06	0.1	1.965495e-05	0.0003071092	0.1
2.124014e-05	0.2940933	0.1	2.124014e-05	0.00052742603	0.1	2.124014e-05	2.745698e-05	0.1	2.124014e-05	0.3522181	0.1	2.124014e-05	2.5762546e-05	0.1	2.124014e-05	5.073923e-06	0.1	2.124014e-05	0.0002928843	0.1
