Batch	m_SP	7	P1	R	W4_L	W3	P2_L	P3	P4											
20.35405	9.8559774536223e-06	0.1	20.35405	3.316383e-09	0.1	20.35405	2.06071e-08	0.1	20.35405	2.979763e-08	0.1	20.35405	8.44394505e-08	0.1	20.35405	3.726807e-09	0.1	20.35405	2.035725e-09	0.1
41.30054	9.7100289566944e-06	0.1	41.30054	6.679481e-09	0.1	41.30054	4.15044e-08	0.1	41.30054	6.001489e-08	0.1	41.30054	1.7006802e-07	0.1	41.30054	7.506117e-09	0.1	41.30054	4.100118e-09	0.1
74.16239	9.4854002993706e-06	0.1	74.16239	1.185558e-08	0.1	74.16239	7.366727e-08	0.1	74.16239	1.06522e-07	0.1	74.16239	3.01858291e-07	0.1	74.16239	1.332279e-08	0.1	74.16239	7.277409e-09	0.1
115.2531	9.2118202748715e-06	0.1	115.2531	1.815968e-08	0.1	115.2531	1.128391e-07	0.1	115.2531	1.631641e-07	0.1	115.2531	4.62368519e-07	0.1	115.2531	2.040707e-08	0.1	115.2531	1.11471e-08	0.1
173.7925	8.835639574062e-06	0.1	173.7925	2.6828e-08	0.1	173.7925	1.667016e-07	0.1	173.7925	2.410486e-07	0.1	173.7925	6.83074958e-07	0.1	173.7925	3.014816e-08	0.1	173.7925	1.646805e-08	0.1
226.9491	8.507374417852e-06	0.1	226.9491	3.43922e-08	0.1	226.9491	2.137034e-07	0.1	226.9491	3.090127e-07	0.1	226.9491	8.75669206e-07	0.1	226.9491	3.864849e-08	0.1	226.9491	2.111124e-08	0.1
242.5834	8.413168454129e-06	0.1	242.5834	3.656301e-08	0.1	242.5834	2.271922e-07	0.1	242.5834	3.285173e-07	0.1	242.5834	9.30940668e-07	0.1	242.5834	4.108795e-08	0.1	242.5834	2.244376e-08	0.1
273.852	8.2278718468032e-06	0.1	273.852	4.083277e-08	0.1	273.852	2.537233e-07	0.1	273.852	3.66881e-07	0.1	273.852	1.03965444e-06	0.1	273.852	4.588611e-08	0.1	273.852	2.506471e-08	0.1
336.3892	7.8694342874264e-06	0.1	336.3892	4.909224e-08	0.1	336.3892	3.050454e-07	0.1	336.3892	4.410922e-07	0.1	336.3892	1.2499515e-06	0.1	336.3892	5.516775e-08	0.1	336.3892	3.013469e-08	0.1
448.9561	7.2631382939568e-06	0.1	448.9561	6.30631e-08	0.1	448.9561	3.918566e-07	0.1	448.9561	5.666202e-07	0.1	448.9561	1.60566809e-06	0.1	448.9561	7.08676e-08	0.1	448.9561	3.871056e-08	0.1
