Batch	m_SP	6	R	W4_L	W3	P1	P2_L	P3	
4.473265000000e-10	9.757665446584e-06	1.000000000000e-01	4.473265000000e-10	1.727520500000e-07	1.000000000000e-01	4.473265000000e-10	9.100716000000e-11	1.000000000000e-01	4.473265000000e-10	2.654824000000e-08	1.000000000000e-01	4.473265000000e-10	3.674750900000e-08	1.000000000000e-01	4.473265000000e-10	6.085094000000e-09	1.000000000000e-01
1.026588000000e-09	9.452684581634e-06	1.000000000000e-01	1.026588000000e-09	3.902524000000e-07	1.000000000000e-01	1.026588000000e-09	2.055881000000e-10	1.000000000000e-01	1.026588000000e-09	5.997333000000e-08	1.000000000000e-01	1.026588000000e-09	8.301378400000e-08	1.000000000000e-01	1.026588000000e-09	1.374642000000e-08	1.000000000000e-01
2.418701000000e-09	8.758151914273e-06	1.000000000000e-01	2.418701000000e-09	8.855663500000e-07	1.000000000000e-01	2.418701000000e-09	4.665235000000e-10	1.000000000000e-01	2.418701000000e-09	1.360923000000e-07	1.000000000000e-01	2.418701000000e-09	1.883761040000e-07	1.000000000000e-01	2.418701000000e-09	3.119358000000e-08	1.000000000000e-01
4.924505000000e-09	7.634060314681e-06	1.000000000000e-01	4.924505000000e-09	1.687224800000e-06	1.000000000000e-01	4.924505000000e-09	8.888436000000e-10	1.000000000000e-01	4.924505000000e-09	2.592899000000e-07	1.000000000000e-01	4.924505000000e-09	3.589034100000e-07	1.000000000000e-01	4.924505000000e-09	5.943154000000e-08	1.000000000000e-01
7.310586000000e-09	6.698060990339e-06	1.000000000000e-01	7.310586000000e-09	2.354745000000e-06	1.000000000000e-01	7.310586000000e-09	1.240499000000e-09	1.000000000000e-01	7.310586000000e-09	3.618733000000e-07	1.000000000000e-01	7.310586000000e-09	5.008968500000e-07	1.000000000000e-01	7.310586000000e-09	8.294453000000e-08	1.000000000000e-01
9.099451000000e-09	6.072405595550e-06	1.000000000000e-01	9.099451000000e-09	2.800938000000e-06	1.000000000000e-01	9.099451000000e-09	1.475557000000e-09	1.000000000000e-01	9.099451000000e-09	4.304436000000e-07	1.000000000000e-01	9.099451000000e-09	5.958101900000e-07	1.000000000000e-01	9.099451000000e-09	9.866142000000e-08	1.000000000000e-01
1.152037000000e-08	5.317712909165e-06	1.000000000000e-01	1.152037000000e-08	3.339157000000e-06	1.000000000000e-01	1.152037000000e-08	1.759095000000e-09	1.000000000000e-01	1.152037000000e-08	5.131564000000e-07	1.000000000000e-01	1.152037000000e-08	7.102989700000e-07	1.000000000000e-01	1.152037000000e-08	1.176198000000e-07	1.000000000000e-01
1.504601000000e-08	4.383171154625e-06	1.000000000000e-01	1.504601000000e-08	4.005637000000e-06	1.000000000000e-01	1.504601000000e-08	2.110203000000e-09	1.000000000000e-01	1.504601000000e-08	6.155802000000e-07	1.000000000000e-01	1.504601000000e-08	8.520707900000e-07	1.000000000000e-01	1.504601000000e-08	1.410961000000e-07	1.000000000000e-01
1.999170000000e-08	3.342292226249e-06	1.000000000000e-01	1.999170000000e-08	4.747956200000e-06	1.000000000000e-01	1.999170000000e-08	2.501262000000e-09	1.000000000000e-01	1.999170000000e-08	7.296588000000e-07	1.000000000000e-01	1.999170000000e-08	1.009974010000e-06	1.000000000000e-01	1.999170000000e-08	1.672436000000e-07	1.000000000000e-01
2.493740000000e-08	2.548592161662e-06	1.000000000000e-01	2.493740000000e-08	5.313994500000e-06	1.000000000000e-01	2.493740000000e-08	2.799457000000e-09	1.000000000000e-01	2.493740000000e-08	8.166474000000e-07	1.000000000000e-01	2.493740000000e-08	1.130379050000e-06	1.000000000000e-01	2.493740000000e-08	1.871817000000e-07	1.000000000000e-01
2.988309000000e-08	1.943374096205e-06	1.000000000000e-01	2.988309000000e-08	5.745615400000e-06	1.000000000000e-01	2.988309000000e-08	3.026839000000e-09	1.000000000000e-01	2.988309000000e-08	8.829790000000e-07	1.000000000000e-01	2.988309000000e-08	1.222190910000e-06	1.000000000000e-01	2.988309000000e-08	2.023850000000e-07	1.000000000000e-01
3.482878000000e-08	1.481877624490e-06	1.000000000000e-01	3.482878000000e-08	6.074739100000e-06	1.000000000000e-01	3.482878000000e-08	3.200224000000e-09	1.000000000000e-01	3.482878000000e-08	9.335590000000e-07	1.000000000000e-01	3.482878000000e-08	1.292199160000e-06	1.000000000000e-01	3.482878000000e-08	2.139778000000e-07	1.000000000000e-01
3.977447000000e-08	1.129973875150e-06	1.000000000000e-01	3.977447000000e-08	6.325705500000e-06	1.000000000000e-01	3.977447000000e-08	3.332436000000e-09	1.000000000000e-01	3.977447000000e-08	9.721282000000e-07	1.000000000000e-01	3.977447000000e-08	1.345580940000e-06	1.000000000000e-01	3.977447000000e-08	2.228175000000e-07	1.000000000000e-01
4.472016000000e-08	8.616375432302e-07	1.000000000000e-01	4.472016000000e-08	6.517074900000e-06	1.000000000000e-01	4.472016000000e-08	3.433252000000e-09	1.000000000000e-01	4.472016000000e-08	1.001539000000e-06	1.000000000000e-01	4.472016000000e-08	1.386286430000e-06	1.000000000000e-01	4.472016000000e-08	2.295579000000e-07	1.000000000000e-01
4.966585000000e-08	6.570232556987e-07	1.000000000000e-01	4.966585000000e-08	6.663001100000e-06	1.000000000000e-01	4.966585000000e-08	3.510128000000e-09	1.000000000000e-01	4.966585000000e-08	1.023965000000e-06	1.000000000000e-01	4.966585000000e-08	1.417324260000e-06	1.000000000000e-01	4.966585000000e-08	2.346976000000e-07	1.000000000000e-01
