Batch	m_SP	13	W2	W1	W3	W4	W5	W6	R	P1	P2	P3	P4	P5	P6																							
12.73484	0.2823607	0.1	12.73484	3.142405e-09	0.1	12.73484	0.7176351	0.1	12.73484	1.111703e-06	0.1	12.73484	1.39657e-06	0.1	12.73484	1.391156e-06	0.1	12.73484	3.441747e-12	0.1	12.73484	1.655185e-07	0.1	12.73484	3.336094e-11	0.1	12.73484	1.351052e-12	0.1	12.73484	1.436399e-14	0.1	12.73484	2.639411e-13	0.1	12.73484	1.878822e-24	0.1
14.06978	0.2473059	0.1	14.06978	3.295861e-09	0.1	14.06978	0.7526895	0.1	14.06978	1.166008e-06	0.1	14.06978	1.46479e-06	0.1	14.06978	1.605181e-06	0.1	14.06978	3.597549e-12	0.1	14.06978	1.815862e-07	0.1	14.06978	3.173406e-11	0.1	14.06978	1.28936e-12	0.1	14.06978	1.508183e-14	0.1	14.06978	2.592013e-13	0.1	14.06978	1.886885e-24	0.1
15.40473	0.2166032	0.1	15.40473	3.430266e-09	0.1	15.40473	0.7833918	0.1	15.40473	1.213572e-06	0.1	15.40473	1.52454e-06	0.1	15.40473	1.826588e-06	0.1	15.40473	3.730805e-12	0.1	15.40473	1.975214e-07	0.1	15.40473	3.013939e-11	0.1	15.40473	1.228003e-12	0.1	15.40473	1.57143e-14	0.1	15.40473	2.534163e-13	0.1	15.40473	1.884028e-24	0.1
16.73967	0.1897123	0.1	16.73967	3.547986e-09	0.1	16.73967	0.8102824	0.1	16.73967	1.255231e-06	0.1	16.73967	1.576873e-06	0.1	16.73967	2.054457e-06	0.1	16.73967	3.844302e-12	0.1	16.73967	2.133425e-07	0.1	16.73967	2.860177e-11	0.1	16.73967	1.168172e-12	0.1	16.73967	1.627198e-14	0.1	16.73967	2.469549e-13	0.1	16.73967	1.872826e-24	0.1
18.07461	0.1661599	0.1	18.07461	3.65109e-09	0.1	18.07461	0.8338345	0.1	18.07461	1.291719e-06	0.1	18.07461	1.622709e-06	0.1	18.07461	2.287984e-06	0.1	18.07461	3.940493e-12	0.1	18.07461	2.290655e-07	0.1	18.07461	2.71337e-11	0.1	18.07461	1.110527e-12	0.1	18.07461	1.676417e-14	0.1	18.07461	2.400825e-13	0.1	18.07461	1.855288e-24	0.1
19.40956	0.1455315	0.1	19.40956	3.741395e-09	0.1	19.40956	0.8544625	0.1	19.40956	1.323676e-06	0.1	19.40956	1.662854e-06	0.1	19.40956	2.526466e-06	0.1	19.40956	4.021535e-12	0.1	19.40956	2.447046e-07	0.1	19.40956	2.574054e-11	0.1	19.40956	1.055414e-12	0.1	19.40956	1.719898e-14	0.1	19.40956	2.329914e-13	0.1	19.40956	1.832991e-24	0.1
20.7445	0.1274641	0.1	20.7445	3.820489e-09	0.1	20.7445	0.8725295	0.1	20.7445	1.351666e-06	0.1	20.7445	1.698016e-06	0.1	20.7445	2.769285e-06	0.1	20.7445	4.089327e-12	0.1	20.7445	2.602721e-07	0.1	20.7445	2.442356e-11	0.1	20.7445	1.002984e-12	0.1	20.7445	1.758355e-14	0.1	20.7445	2.258212e-13	0.1	20.7445	1.807178e-24	0.1
22.07944	0.1116398	0.1	22.07944	3.889763e-09	0.1	22.07944	0.8883535	0.1	22.07944	1.376181e-06	0.1	22.07944	1.728812e-06	0.1	22.07944	3.015901e-06	0.1	22.07944	4.145534e-12	0.1	22.07944	2.757787e-07	0.1	22.07944	2.318169e-11	0.1	22.07944	9.532765e-13	0.1	22.07944	1.79241e-14	0.1	22.07944	2.186735e-13	0.1	22.07944	1.778835e-24	0.1
23.41439	0.09778015	0.1	23.41439	3.950438e-09	0.1	23.41439	0.9022128	0.1	23.41439	1.397653e-06	0.1	23.41439	1.755785e-06	0.1	23.41439	3.26584e-06	0.1	23.41439	4.191619e-12	0.1	23.41439	2.912339e-07	0.1	23.41439	2.201254e-11	0.1	23.41439	9.06258e-13	0.1	23.41439	1.82261e-14	0.1	23.41439	2.116218e-13	0.1	23.41439	1.74874e-24	0.1
24.74933	0.08564115	0.1	24.74933	4.00358e-09	0.1	24.74933	0.9143515	0.1	24.74933	1.416459e-06	0.1	24.74933	1.77941e-06	0.1	24.74933	3.518688e-06	0.1	24.74933	4.228867e-12	0.1	24.74933	3.066461e-07	0.1	24.74933	2.091303e-11	0.1	24.74933	8.618534e-13	0.1	24.74933	1.849434e-14	0.1	24.74933	2.047187e-13	0.1	24.74933	1.717513e-24	0.1
