	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
600 0.41953 0.35473 0.02076 0.00181 0.00021 0.19782 0.00013 0.00005
700 0.38200 0.35334 0.02926 0.00274 0.00043 0.22693 0.00031 0.00011
800 0.35343 0.35090 0.03747 0.00377 0.00074 0.24804 0.00058 0.00021
900 0.33052 0.34907 0.04513 0.00489 0.00114 0.26315 0.00094 0.00032
1000 0.31045 0.34945 0.05213 0.00608 0.00166 0.27360 0.00138 0.00043
1100 0.29116 0.35243 0.05835 0.00730 0.00229 0.27993 0.00187 0.00053
1200 0.27181 0.36022 0.06397 0.00855 0.00308 0.28328 0.00238 0.00059
1300 0.25330 0.37029 0.06897 0.00976 0.00398 0.28408 0.00288 0.00061
1400 0.23812 0.37875 0.07359 0.01089 0.00496 0.28356 0.00335 0.00065
1500 0.22741 0.38246 0.07840 0.01197 0.00600 0.28302 0.00386 0.00072
1600 0.21921 0.38142 0.08446 0.01321 0.00734 0.28294 0.00459 0.00087
1700 0.21248 0.37456 0.09236 0.01511 0.00942 0.28299 0.00592 0.00117
1800 0.20505 0.36395 0.10206 0.01809 0.01286 0.28198 0.00828 0.00170
1900 0.19465 0.34990 0.11397 0.02297 0.01915 0.27834 0.01271 0.00270
2000 0.18478 0.33339 0.12374 0.02928 0.02754 0.27248 0.01901 0.00419
