	T[K]	W4	W5	W1
600 0.37052 0.56553 0.05850
700 0.36766 0.57168 0.05526
800 0.36587 0.57525 0.05351
900 0.36515 0.57655 0.05296
1000 0.36194 0.57779 0.05494
1100 0.35630 0.57729 0.06111
1200 0.34308 0.57657 0.07505
1300 0.31872 0.57061 0.10538
1400 0.41733 0.57740 0.00000
1500 0.00000 0.99522 0.00000
1600 0.00000 0.99391 0.00000
1700 0.00000 0.99388 0.00000
1800 0.00000 0.99386 0.00000
1900 0.00000 0.99385 0.00000
2000 0.00000 0.99384 0.00000
2100 0.00000 0.99384 0.00000
2200 0.00000 0.99384 0.00000
2300 0.00000 0.99385 0.00000
2400 0.00000 0.99385 0.00000
