	T[K]	W4	W5	W1
600 0.44260 0.20394 0.34931
700 0.44688 0.28515 0.26387
800 0.43543 0.36356 0.19700
900 0.41780 0.42846 0.14985
1000 0.39927 0.47913 0.11784
1100 0.38229 0.51488 0.09922
1200 0.36874 0.53717 0.09059
1300 0.35569 0.55119 0.08975
1400 0.34185 0.55827 0.09665
1500 0.32284 0.55976 0.11430
1600 0.28494 0.55871 0.15309
1700 0.44825 0.54888 0.00000
1800 0.00000 0.99724 0.00000
1900 0.00000 0.99734 0.00000
2000 0.00000 0.99740 0.00000
2100 0.00000 0.99735 0.00000
2200 0.00000 0.99754 0.00000
2300 0.00000 0.99761 0.00000
2400 0.00000 0.99768 0.00000
