	T[K]	W4	W5	W1
600 0.37762 0.58399 0.03249
700 0.37628 0.58533 0.03257
800 0.37555 0.58419 0.03477
900 0.36687 0.58389 0.04340
1000 0.34717 0.57655 0.07067
1100 0.39359 0.60093 0.00000
1200 0.00000 0.99472 0.00000
1300 0.00000 0.99496 0.00000
1400 0.00000 0.99517 0.00000
1500 0.00000 0.99535 0.00000
1600 0.00000 0.99552 0.00000
1700 0.00000 0.99563 0.00000
1800 0.00000 0.99574 0.00000
1900 0.00000 0.99583 0.00000
2000 0.00000 0.99612 0.00000
2100 0.00000 0.99622 0.00000
2200 0.33204 0.33204 0.33204
2300 0.33207 0.33207 0.33207
2400 0.33210 0.33210 0.33210
