Batch	m_SP	8	W1_L	R	P1	P2	P3	P4	P5	P6													
0.0	1.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
1.042217e-08	0.9999999600000001	0.1	1.042217e-08	0.0	0.1	1.042217e-08	0.0	0.1	1.042217e-08	0.0	0.1	1.042217e-08	0.0	0.1	1.042217e-08	0.0	0.1	1.042217e-08	0.0	0.1	1.042217e-08	0.0	0.1
5.657927e-07	0.9999999700000001	0.1	5.657927e-07	0.0	0.1	5.657927e-07	0.0	0.1	5.657927e-07	0.0	0.1	5.657927e-07	0.0	0.1	5.657927e-07	0.0	0.1	5.657927e-07	0.0	0.1	5.657927e-07	0.0	0.1
2.100021e-06	0.9999999600000001	0.1	2.100021e-06	0.0	0.1	2.100021e-06	0.0	0.1	2.100021e-06	0.0	0.1	2.100021e-06	0.0	0.1	2.100021e-06	0.0	0.1	2.100021e-06	0.0	0.1	2.100021e-06	0.0	0.1
4.089353e-06	1.0000000199999999	0.1	4.089353e-06	0.0	0.1	4.089353e-06	0.0	0.1	4.089353e-06	0.0	0.1	4.089353e-06	0.0	0.1	4.089353e-06	0.0	0.1	4.089353e-06	0.0	0.1	4.089353e-06	0.0	0.1
6.603721e-06	1.00000002	0.1	6.603721e-06	0.0	0.1	6.603721e-06	0.0	0.1	6.603721e-06	0.0	0.1	6.603721e-06	0.0	0.1	6.603721e-06	0.0	0.1	6.603721e-06	0.0	0.1	6.603721e-06	0.0	0.1
1.062671e-05	1.00000001	0.1	1.062671e-05	0.0	0.1	1.062671e-05	0.0	0.1	1.062671e-05	0.0	0.1	1.062671e-05	0.0	0.1	1.062671e-05	0.0	0.1	1.062671e-05	0.0	0.1	1.062671e-05	0.0	0.1
1.624345e-05	1.00000004	0.1	1.624345e-05	0.0	0.1	1.624345e-05	0.0	0.1	1.624345e-05	0.0	0.1	1.624345e-05	0.0	0.1	1.624345e-05	0.0	0.1	1.624345e-05	0.0	0.1	1.624345e-05	0.0	0.1
2.421219e-05	1.00000001	0.1	2.421219e-05	0.0	0.1	2.421219e-05	0.0	0.1	2.421219e-05	0.0	0.1	2.421219e-05	0.0	0.1	2.421219e-05	0.0	0.1	2.421219e-05	0.0	0.1	2.421219e-05	0.0	0.1
3.366514e-05	1.0	0.1	3.366514e-05	0.0	0.1	3.366514e-05	0.0	0.1	3.366514e-05	0.0	0.1	3.366514e-05	0.0	0.1	3.366514e-05	0.0	0.1	3.366514e-05	0.0	0.1	3.366514e-05	0.0	0.1
4.348915e-05	1.00000003	0.1	4.348915e-05	0.0	0.1	4.348915e-05	0.0	0.1	4.348915e-05	0.0	0.1	4.348915e-05	0.0	0.1	4.348915e-05	0.0	0.1	4.348915e-05	0.0	0.1	4.348915e-05	0.0	0.1
5.331316e-05	1.0000000500000001	0.1	5.331316e-05	0.0	0.1	5.331316e-05	0.0	0.1	5.331316e-05	0.0	0.1	5.331316e-05	0.0	0.1	5.331316e-05	0.0	0.1	5.331316e-05	0.0	0.1	5.331316e-05	0.0	0.1
6.526863e-05	0.99999998	0.1	6.526863e-05	0.0	0.1	6.526863e-05	0.0	0.1	6.526863e-05	0.0	0.1	6.526863e-05	0.0	0.1	6.526863e-05	0.0	0.1	6.526863e-05	0.0	0.1	6.526863e-05	0.0	0.1
7.820851e-05	0.9999999800000001	0.1	7.820851e-05	0.0	0.1	7.820851e-05	0.0	0.1	7.820851e-05	0.0	0.1	7.820851e-05	0.0	0.1	7.820851e-05	0.0	0.1	7.820851e-05	0.0	0.1	7.820851e-05	0.0	0.1
9.2625e-05	0.99999995	0.1	9.2625e-05	0.0	0.1	9.2625e-05	0.0	0.1	9.2625e-05	0.0	0.1	9.2625e-05	0.0	0.1	9.2625e-05	0.0	0.1	9.2625e-05	0.0	0.1	9.2625e-05	0.0	0.1
0.000110797	1.0	0.1	0.000110797	0.0	0.1	0.000110797	0.0	0.1	0.000110797	0.0	0.1	0.000110797	0.0	0.1	0.000110797	0.0	0.1	0.000110797	0.0	0.1	0.000110797	0.0	0.1
0.000132258	0.9999999800000001	0.1	0.000132258	0.0	0.1	0.000132258	0.0	0.1	0.000132258	0.0	0.1	0.000132258	0.0	0.1	0.000132258	0.0	0.1	0.000132258	0.0	0.1	0.000132258	0.0	0.1
0.0001578208	0.9999999800000001	0.1	0.0001578208	0.0	0.1	0.0001578208	0.0	0.1	0.0001578208	0.0	0.1	0.0001578208	0.0	0.1	0.0001578208	0.0	0.1	0.0001578208	0.0	0.1	0.0001578208	0.0	0.1
0.0001910201	0.9999999800000001	0.1	0.0001910201	0.0	0.1	0.0001910201	0.0	0.1	0.0001910201	0.0	0.1	0.0001910201	0.0	0.1	0.0001910201	0.0	0.1	0.0001910201	0.0	0.1	0.0001910201	0.0	0.1
0.0002417525	0.9999999800000001	0.1	0.0002417525	0.0	0.1	0.0002417525	0.0	0.1	0.0002417525	0.0	0.1	0.0002417525	0.0	0.1	0.0002417525	0.0	0.1	0.0002417525	0.0	0.1	0.0002417525	0.0	0.1
0.0003299375	0.9999999800000001	0.1	0.0003299375	0.0	0.1	0.0003299375	0.0	0.1	0.0003299375	0.0	0.1	0.0003299375	0.0	0.1	0.0003299375	0.0	0.1	0.0003299375	0.0	0.1	0.0003299375	0.0	0.1
0.0005063076	0.9999999800000001	0.1	0.0005063076	0.0	0.1	0.0005063076	0.0	0.1	0.0005063076	0.0	0.1	0.0005063076	0.0	0.1	0.0005063076	0.0	0.1	0.0005063076	0.0	0.1	0.0005063076	0.0	0.1
0.0009913251	0.9999999800000001	0.1	0.0009913251	0.0	0.1	0.0009913251	0.0	0.1	0.0009913251	0.0	0.1	0.0009913251	0.0	0.1	0.0009913251	0.0	0.1	0.0009913251	0.0	0.1	0.0009913251	0.0	0.1
0.002402285	0.9999999800000001	0.1	0.002402285	0.0	0.1	0.002402285	0.0	0.1	0.002402285	0.0	0.1	0.002402285	0.0	0.1	0.002402285	0.0	0.1	0.002402285	0.0	0.1	0.002402285	0.0	0.1
