Batch	m_SP	5	N1a_L	C5H5	T1a_L	T4a_L	N7a_L							
1.850122e-11	9.740090820239341e-06	0.1	1.850122e-11	2.536023e-07	0.1	1.850122e-11	1.3268163799999998e-07	0.1	1.850122e-11	2.2679279569999998e-11	0.1	1.850122e-11	7.993372e-15	0.1
3.961656e-11	9.451918822152789e-06	0.1	3.961656e-11	5.349848e-07	0.1	3.961656e-11	2.79908284e-07	0.1	3.961656e-11	4.811838474e-11	0.1	3.961656e-11	3.6273519e-14	0.1
8.846126e-11	8.81757815414812e-06	0.1	8.846126e-11	1.154344e-06	0.1	8.846126e-11	6.040145300000001e-07	0.1	8.846126e-11	1.052215805e-10	0.1	8.846126e-11	1.7661672000000002e-13	0.1
1.763817e-10	7.781166613920122e-06	0.1	1.763817e-10	2.166156e-06	0.1	1.763817e-10	1.13361842e-06	0.1	1.763817e-10	2.0230302969999996e-10	0.1	1.763817e-10	6.7320365e-13	0.1
2.870608e-10	6.6479479012236e-06	0.1	2.870608e-10	3.272276e-06	0.1	2.870608e-10	1.71279357e-06	0.1	2.870608e-10	3.1520795e-10	0.1	2.870608e-10	1.6930021999999998e-12	0.1
4.063997e-10	5.610321659151135e-06	0.1	4.063997e-10	4.28488e-06	0.1	4.063997e-10	2.24322218e-06	0.1	4.063997e-10	4.2690368800000006e-10	0.1	4.063997e-10	3.2130823e-12	0.1
5.451779e-10	4.605640720167295e-06	0.1	5.451779e-10	5.265108e-06	0.1	5.451779e-10	2.75692693e-06	0.1	5.451779e-10	5.457195877e-10	0.1	5.451779e-10	5.4362094e-12	0.1
6.969158e-10	3.7119189526914297e-06	0.1	6.969158e-10	6.136853e-06	0.1	6.969158e-10	3.21401403e-06	0.1	6.969158e-10	6.64310381e-10	0.1	6.969158e-10	8.3212098e-12	0.1
8.486536e-10	2.991688802843846e-06	0.1	8.486536e-10	6.839189e-06	0.1	8.486536e-10	3.58246958e-06	0.1	8.486536e-10	7.732039810000001e-10	0.1	8.486536e-10	1.1582544699999999e-11	0.1
1.000391e-09	2.4112558518819e-06	0.1	1.000391e-09	7.405051e-06	0.1	1.000391e-09	3.87948589e-06	0.1	1.000391e-09	8.741719250000001e-10	0.1	1.000391e-09	1.51382724e-11	0.1
1.158398e-09	1.926238291804513e-06	0.1	1.158398e-09	7.877769e-06	0.1	1.158398e-09	4.12774427e-06	0.1	1.158398e-09	9.72419293e-10	0.1	1.158398e-09	1.9082708e-11	0.1
1.341481e-09	1.484945533448426e-06	0.1	1.341481e-09	8.30775e-06	0.1	1.341481e-09	4.35368916e-06	0.1	1.341481e-09	1.0791219979999998e-09	0.1	1.341481e-09	2.3884502e-11	0.1
1.524563e-09	1.144785671032193e-06	0.1	1.524563e-09	8.639091e-06	0.1	1.524563e-09	4.5279087e-06	0.1	1.524563e-09	1.179649743e-09	0.1	1.524563e-09	2.8865267e-11	0.1
1.707646e-09	8.825734146832199e-07	0.1	1.707646e-09	8.89443e-06	0.1	1.707646e-09	4.66224879e-06	0.1	1.707646e-09	1.275211318e-09	0.1	1.707646e-09	3.3968332e-11	0.1
1.890728e-09	6.804409057893636e-07	0.1	1.890728e-09	9.091207e-06	0.1	1.890728e-09	4.7658417800000005e-06	0.1	1.890728e-09	1.3667360750000002e-09	0.1	1.890728e-09	3.9149994000000005e-11	0.1
2.103784e-09	5.027505390324878e-07	0.1	2.103784e-09	9.264139e-06	0.1	2.103784e-09	4.85693991e-06	0.1	2.103784e-09	1.469101439e-09	0.1	2.103784e-09	4.5234639e-11	0.1
2.324334e-09	3.675446774222268e-07	0.1	2.324334e-09	9.395682e-06	0.1	2.324334e-09	4.92628502e-06	0.1	2.324334e-09	1.57122401e-09	0.1	2.324334e-09	5.1554989e-11	0.1
2.544883e-09	2.687114216639427e-07	0.1	2.544883e-09	9.491808e-06	0.1	2.544883e-09	4.97699565e-06	0.1	2.544883e-09	1.6701184000000001e-09	0.1	2.544883e-09	5.7865219e-11	0.1
2.774284e-09	1.9400917545312237e-07	0.1	2.774284e-09	9.564442e-06	0.1	2.774284e-09	5.0153416899999995e-06	0.1	2.774284e-09	1.770098051e-09	0.1	2.774284e-09	6.4392487e-11	0.1
3.039091e-09	1.3321398021135682e-07	0.1	3.039091e-09	9.623538e-06	0.1	3.039091e-09	5.04656589e-06	0.1	3.039091e-09	1.882377558e-09	0.1	3.039091e-09	7.1856795e-11	0.1
