	T[K]	N1a	N1b	N1c
600 0.00001 0.96180 0.03819
700 0.00004 0.93855 0.06141
800 0.00014 0.91261 0.08725
900 0.00041 0.88561 0.11398
1000 0.00099 0.85883 0.14018
1100 0.00202 0.83151 0.16647
1200 0.00357 0.80680 0.18963
1300 0.00576 0.78331 0.21093
1400 0.00865 0.76108 0.23028
1500 0.01226 0.74003 0.24771
1600 0.01652 0.72012 0.26336
1700 0.01963 0.70119 0.27919
1800 0.02354 0.68298 0.29347
1900 0.02739 0.66575 0.30686
2000 0.03103 0.64949 0.31948
