	T[K]	P2	P5
600 0.98301 0.01109
700 0.97700 0.01717
800 0.97107 0.02344
900 0.96480 0.02937
1000 0.95884 0.03556
1100 0.95285 0.04167
1200 0.94671 0.04802
1300 0.93997 0.05499
1400 0.93261 0.06256
1500 0.92476 0.07059
1600 0.91579 0.07973
1700 0.90709 0.08855
1800 0.89776 0.09799
1900 0.88843 0.10740
2000 0.87927 0.11685
2100 0.86991 0.12632
2200 0.86085 0.13528
2300 0.85245 0.14377
2400 0.84399 0.15231
2500 0.83546 0.16093
