	T[K]	P2	P5
600 0.98490 0.00966
700 0.97711 0.01749
800 0.96734 0.02729
900 0.95658 0.03807
1000 0.94562 0.04906
1100 0.93527 0.05943
1200 0.92546 0.06924
1300 0.91708 0.07763
1400 0.90889 0.08584
1500 0.90179 0.09343
1600 0.89338 0.10052
1700 0.88631 0.10757
1800 0.87929 0.11457
1900 0.87269 0.12116
2000 0.86489 0.12895
2100 0.85805 0.13580
2200 0.85062 0.14322
2300 0.84322 0.15063
2400 0.83602 0.15783
2500 0.82942 0.16443
