	T[K]	P2	P5
600 0.99178 0.00407
700 0.98672 0.00919
800 0.97888 0.01712
900 0.96848 0.02763
1000 0.95611 0.04013
1100 0.94314 0.05324
1200 0.93007 0.06643
1300 0.91733 0.07929
1400 0.90601 0.09075
1500 0.89608 0.10081
1600 0.88575 0.11099
1700 0.87773 0.11940
1800 0.87014 0.12710
1900 0.86264 0.13470
2000 0.85562 0.14178
2100 0.84926 0.14810
2200 0.84203 0.15551
2300 0.83640 0.16121
2400 0.83059 0.16709
2500 0.82447 0.17328
