	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
600 0.02772 0.35545 0.27213 0.13715 0.09458 0.10837
700 0.02686 0.31854 0.26461 0.15089 0.11340 0.12076
800 0.02582 0.28836 0.26060 0.16206 0.12870 0.12954
900 0.02466 0.25954 0.26189 0.17286 0.14098 0.13422
1000 0.02338 0.22894 0.27047 0.18589 0.15128 0.13418
1100 0.02181 0.19569 0.28505 0.20190 0.16052 0.12916
1200 0.01989 0.16495 0.29940 0.21806 0.16976 0.12199
1300 0.01781 0.14036 0.30915 0.23151 0.17961 0.11560
1400 0.01627 0.12581 0.31032 0.23932 0.18888 0.11340
1500 0.01539 0.11740 0.30704 0.24371 0.19688 0.11398
1600 0.01563 0.11739 0.29852 0.24303 0.20072 0.11901
1700 0.01614 0.11846 0.29053 0.24196 0.20336 0.12453
1800 0.01581 0.10922 0.28619 0.24902 0.21306 0.12648
1900 0.01705 0.11521 0.27688 0.24478 0.21170 0.13435
2000 0.01842 0.12217 0.26850 0.23981 0.20900 0.14203
