Batch	m_SP	7	R	W4_L	W3	P1	P2_L	P3	P4											
6.311159e-12	9.77794521957e-06	0.1	6.311159e-12	1.8904873e-07	0.1	6.311159e-12	6.844881e-11	0.1	6.311159e-12	6.62757e-09	0.1	6.311159e-12	1.9263415e-08	0.1	6.311159e-12	6.790542e-09	0.1	6.311159e-12	3.476758e-12	0.1
1.406458e-11	9.5119999278304e-06	0.1	1.406458e-11	4.1556560000000003e-07	0.1	1.406458e-11	1.504641e-10	0.1	1.406458e-11	1.456869e-08	0.1	1.406458e-11	4.2344702000000004e-08	0.1	1.406458e-11	1.492693e-08	0.1	1.406458e-11	7.642587e-12	0.1
2.919411e-11	9.013701960690699e-06	0.1	2.919411e-11	8.399885e-07	0.1	2.919411e-11	3.041367e-10	0.1	2.919411e-11	2.94479e-08	0.1	2.919411e-11	8.5591936e-08	0.1	2.919411e-11	3.0172e-08	0.1	2.919411e-11	1.544806e-11	0.1
5.609104e-11	8.1914146275603e-06	0.1	5.609104e-11	1.5403674e-06	0.1	5.609104e-11	5.577298e-10	0.1	5.609104e-11	5.400147e-08	0.1	5.609104e-11	1.5695811e-07	0.1	5.609104e-11	5.532929e-08	0.1	5.609104e-11	2.83286e-11	0.1
9.340508e-11	7.173393395932801e-06	0.1	9.340508e-11	2.407462e-06	0.1	9.340508e-11	8.716954e-10	0.1	9.340508e-11	8.439974e-08	0.1	9.340508e-11	2.4531205999999997e-07	0.1	9.340508e-11	8.647492e-08	0.1	9.340508e-11	4.427516e-11	0.1
1.454906e-10	5.9603908191876e-06	0.1	1.454906e-10	3.440631e-06	0.1	1.454906e-10	1.24581e-09	0.1	1.454906e-10	1.206203e-07	0.1	1.454906e-10	3.5058842e-07	0.1	1.454906e-10	1.235859e-07	0.1	1.454906e-10	6.327597e-11	0.1
1.975762e-10	4.9525040076401e-06	0.1	1.975762e-10	4.299094e-06	0.1	1.975762e-10	1.556681e-09	0.1	1.975762e-10	1.507162e-07	0.1	1.975762e-10	4.3806277999999997e-07	0.1	1.975762e-10	1.544215e-07	0.1	1.975762e-10	7.90638e-11	0.1
2.764293e-10	3.7413682186418998e-06	0.1	2.764293e-10	5.330673e-06	0.1	2.764293e-10	1.930274e-09	0.1	2.764293e-10	1.868815e-07	0.1	2.764293e-10	5.4317716e-07	0.1	2.764293e-10	1.914753e-07	0.1	2.764293e-10	9.803538e-11	0.1
3.552825e-10	2.8264166264271995e-06	0.1	3.552825e-10	6.109979e-06	0.1	3.552825e-10	2.212544e-09	0.1	3.552825e-10	2.142028e-07	0.1	3.552825e-10	6.2258578e-07	0.1	3.552825e-10	2.194676e-07	0.1	3.552825e-10	1.123675e-10	0.1
4.341356e-10	2.135216085312e-06	0.1	4.341356e-10	6.698706e-06	0.1	4.341356e-10	2.425823e-09	0.1	4.341356e-10	2.348431e-07	0.1	4.341356e-10	6.8257502e-07	0.1	4.341356e-10	2.406144e-07	0.1	4.341356e-10	1.231946e-10	0.1
5.129888e-10	1.6130489336496e-06	0.1	5.129888e-10	7.143460000000001e-06	0.1	5.129888e-10	2.586984e-09	0.1	5.129888e-10	2.50436e-07	0.1	5.129888e-10	7.2789398e-07	0.1	5.129888e-10	2.565898e-07	0.1	5.129888e-10	1.31374e-10	0.1
5.91842e-10	1.2185782299104e-06	0.1	5.91842e-10	7.479449000000001e-06	0.1	5.91842e-10	2.708772e-09	0.1	5.91842e-10	2.62216e-07	0.1	5.91842e-10	7.6213007e-07	0.1	5.91842e-10	2.686584e-07	0.1	5.91842e-10	1.375531e-10	0.1
6.706951e-10	9.2057509738385e-07	0.1	6.706951e-10	7.733273e-06	0.1	6.706951e-10	2.800815e-09	0.1	6.706951e-10	2.711155e-07	0.1	6.706951e-10	7.8799377e-07	0.1	6.706951e-10	2.777756e-07	0.1	6.706951e-10	1.422212e-10	0.1
7.495483e-10	6.9544847179704e-07	0.1	7.495483e-10	7.925023e-06	0.1	7.495483e-10	2.870387e-09	0.1	7.495483e-10	2.77839e-07	0.1	7.495483e-10	8.0753255e-07	0.1	7.495483e-10	2.846632e-07	0.1	7.495483e-10	1.457476e-10	0.1
8.284014e-10	5.2537661063836e-07	0.1	8.284014e-10	8.069881e-06	0.1	8.284014e-10	2.922985e-09	0.1	8.284014e-10	2.829185e-07	0.1	8.284014e-10	8.222931e-07	0.1	8.284014e-10	2.898664e-07	0.1	8.284014e-10	1.484117e-10	0.1
9.105534e-10	3.9226652811059996e-07	0.1	9.105534e-10	8.183258e-06	0.1	9.105534e-10	2.964192e-09	0.1	9.105534e-10	2.868944e-07	0.1	9.105534e-10	8.3384573e-07	0.1	9.105534e-10	2.939388e-07	0.1	9.105534e-10	1.504968e-10	0.1
1.005901e-09	2.7945391418906e-07	0.1	1.005901e-09	8.279345e-06	0.1	1.005901e-09	2.999166e-09	0.1	1.005901e-09	2.902645e-07	0.1	1.005901e-09	8.436367399999999e-07	0.1	1.005901e-09	2.973903e-07	0.1	1.005901e-09	1.522639e-10	0.1
1.101249e-09	1.9908533040136e-07	0.1	1.101249e-09	8.347798e-06	0.1	1.101249e-09	3.024137e-09	0.1	1.101249e-09	2.926657e-07	0.1	1.101249e-09	8.5061196e-07	0.1	1.101249e-09	2.998491e-07	0.1	1.101249e-09	1.535229e-10	0.1
1.196596e-09	1.4183006893544998e-07	0.1	1.196596e-09	8.396566e-06	0.1	1.196596e-09	3.041981e-09	0.1	1.196596e-09	2.943769e-07	0.1	1.196596e-09	8.555810700000001e-07	0.1	1.196596e-09	3.016008e-07	0.1	1.196596e-09	1.544197e-10	0.1
